id	NbrIndRandom1	NbrIndRandom2	nbrRandomDE	nbrPseudotimeDE	overlap	percent_overlap	r2	pval
1	126	140	431	13039	12206	92.9556012489529	0.975846864835044	0
2	133	133	3	13046	12133	92.3996649150864	0.973258138260376	0
3	121	145	6477	13036	11868	90.3815398674892	0.950374590099087	0
4	163	103	1	13625	12610	96.0322900007615	0.983320311176595	0
5	150	116	375	13460	12454	94.8442616708552	0.983849996797775	0
6	147	119	185	13349	12357	94.1055517477724	0.97093674365889	0
7	100	166	875	13269	12346	94.0217805193816	0.976313933854512	0
8	145	121	0	13474	12589	95.8723631101972	0.984194061959367	0
9	118	148	2289	13139	12191	92.8413677556926	0.979130674679659	0
10	111	155	1	13160	12192	92.84898332191	0.976249241123915	0
11	92	174	1623	12117	11199	85.2867260680832	0.96179828214293	0
12	135	131	11	13628	12459	94.882339501942	0.977636618245455	0
13	119	147	1	13102	12095	92.1102733988272	0.968330949743595	0
14	146	120	2	13212	12400	94.4330210951184	0.97788474971941	0
15	155	111	5085	12503	11475	87.3886223440713	0.945488137118291	0
16	157	109	0	13711	12565	95.6895895209809	0.980201894369551	0
17	148	118	1	13837	12620	96.108445662935	0.976182374852267	0
18	117	149	42	13319	12387	94.3340187342929	0.982224968191585	0
19	165	101	1215	13384	12428	94.6462569492042	0.983075095833258	0
20	106	160	1	13200	12289	93.5876932449928	0.97532003571028	0
21	178	88	1	13682	12620	96.108445662935	0.984778960260592	0
22	132	134	18	13315	12191	92.8413677556926	0.968371616338744	0
23	162	104	82	13434	12307	93.724773436905	0.977782007629753	0
24	121	145	2	13219	11959	91.0745563932678	0.95753733510635	0
25	105	161	0	12783	11845	90.2063818444901	0.966975163069185	0
26	147	119	119	13548	11624	88.5233417104562	0.711591959241492	0
27	125	141	0	13031	11748	89.4676719214074	0.964877334394814	0
28	91	175	0	12547	11605	88.3786459523266	0.951973229140411	0
29	141	125	3	13105	12227	93.1155281395172	0.972719853520584	0
30	79	187	0	12190	11673	88.8965044551062	0.969825517738746	0
31	105	161	0	13025	12104	92.1788134947833	0.974535029159092	0
32	174	92	558	13495	12428	94.6462569492042	0.973078409655844	0
33	153	113	3524	13136	12348	94.0370116518163	0.981623275441102	0
34	134	132	4960	13555	11568	88.0968700022847	0.658870956412968	0
35	141	125	2	13451	12276	93.4886908841672	0.968962887763771	0
36	148	118	312	13492	11516	87.7008605589826	0.639261127765293	0
37	132	134	5	13268	12273	93.4658441855152	0.971260551967255	0
38	162	104	545	13501	12480	95.0422663925063	0.983216604687522	0
39	88	178	5955	11304	10278	78.2727895819054	0.881356891033449	0
40	147	119	0	13852	12465	94.9280328992461	0.973007372492818	0
41	129	137	338	13151	12123	92.323509252913	0.970762220627952	0
42	142	124	1651	13328	12399	94.4254055289011	0.977677954086585	0
43	120	146	0	13299	11949	90.9984007310943	0.954681398013258	0
44	94	172	1757	12515	11293	86.0025892925139	0.912187718812835	0
45	128	138	6	13049	12167	92.6585941664763	0.971837771415522	0
46	91	175	9	12518	11693	89.0488157794532	0.963736364677339	0
47	96	170	5	12522	11619	88.4852638793694	0.958261406032884	0
48	158	108	505	12900	11950	91.0060162973117	0.974168802003298	0
49	146	120	2488	13280	12312	93.7628512679918	0.980954916154887	0
50	151	115	0	13257	12255	93.3287639936029	0.979884012569523	0
