gene_id gene_name gene_type chr logFC AveExpr t P.Value adj.P.Val B qvalue Male VarMale Female VarFemale
ENSG00000229807 XIST lincRNA X 10.6043495682722 -1.3039159372834 55.252829972752 8.67067199622793e-114 1.38314559683828e-109 243.918123316067 7.5826402068831e-110 -4.38335475991163 3.67203473115706 6.19871683057448 0.850970411954779
ENSG00000114374 USP9Y protein_coding Y -8.47386724369644 3.53937658714596 -53.4191414379574 2.47533950291707e-111 1.28244361079932e-107 237.362729729965 7.03057473380673e-108 6.02983811622721 0.139386624299937 -2.52829332007017 3.58389206667317
ENSG00000129824 RPS4Y1 protein_coding Y -8.12987893672972 3.61161392317979 -51.1115790944183 3.9066553181386e-108 1.24637931269894e-104 231.277900999734 6.83286409695546e-105 5.98359654744867 0.0733629062335044 -2.16739828867528 3.59705393445445
ENSG00000154620 TMSB4Y protein_coding Y -7.63242549675037 -0.498841226194205 -54.86447414094 2.8314884050671e-113 2.25839515188152e-109 230.821986875141 1.23809076360664e-109 1.72253050109287 0.143861834840779 -5.91091052540272 1.79141102636839
ENSG00000176728 TTTY14 lincRNA Y -7.60490697554503 -0.592930056454168 -53.3355964113458 3.21575629588595e-111 1.28244361079932e-107 227.071684020292 7.03057473380673e-108 1.6167834090273 0.116560147945331 -5.97659559053628 2.11260221915146
ENSG00000067048 DDX3Y protein_coding Y -8.4615508494311 3.53380360921168 -48.4427992430788 2.82935935159471e-104 6.44770576809126e-101 222.374640301333 3.53474233739669e-101 6.00646742690818 0.0624400736364373 -2.49050460117617 3.86367426905221
ENSG00000067646 ZFY protein_coding Y -8.04812053716647 1.00092088842207 -49.8848144834693 2.2071313356228e-106 5.8680265109758e-103 219.807576392892 3.21695227594927e-103 3.32149845959463 0.128309089315609 -4.6528499213438 3.19057114658749
ENSG00000012817 KDM5D protein_coding Y -8.85868749947157 3.31992087634032 -46.5445827750975 2.04252929300962e-101 3.62026969800994e-98 215.078737525632 1.98469363128807e-98 5.91463170230239 0.0723247853446971 -3.00173822691273 4.58565748326632
ENSG00000165246 NLGN4Y protein_coding Y -7.21799825629331 2.81231899571219 -45.6638508318444 4.68041170803865e-100 7.46619275666326e-97 213.584569421538 4.09309428583848e-97 4.99209608692123 0.0887174828050437 -2.49841064468803 3.99625297758144
ENSG00000183878 UTY protein_coding Y -8.42887465835036 1.24922529114336 -46.9139757265506 5.57449325373657e-102 1.11155395479507e-98 211.583229821919 6.09372847588547e-99 3.70069470460133 0.116819950789956 -4.72344564346333 3.72943498165083
ENSG00000233864 TTTY15 lincRNA Y -8.3274518110139 1.3129829923043 -45.4020905552421 1.19893250470948e-99 1.73867011955687e-96 206.930345075508 9.53168631357011e-97 3.75140327578957 0.124043940532219 -4.62789551655073 3.20891329288779
ENSG00000260197 RP11-424G14.1 lincRNA Y -7.47712871875926 -0.696816727773649 -45.2609167128005 1.99498281740919e-99 2.65199715860929e-96 204.80390777178 1.45387010083232e-96 1.45183138938402 0.358581667729907 -5.93170486775778 2.71335423820651
ENSG00000198692 EIF1AY protein_coding Y -8.14045603674644 1.33484033224552 -42.4745806161728 6.12550492077109e-95 7.51646573047234e-92 198.05934251312 4.1206547880297e-92 3.68223056418443 0.19106761880313 -4.38425586920563 4.03365294481572
ENSG00000099715 PCDH11Y protein_coding Y -5.21898734512301 2.18705408116874 -40.5752971405648 9.70218147209341e-92 1.10549427744882e-88 196.884052995992 6.0605082905402e-89 3.74946536339956 0.445919403549194 -1.61954795190273 0.759068241788538
ENSG00000005889 ZFX protein_coding X 0.637760081300261 4.45787787643176 31.9642184601138 1.4591291462764e-75 1.55173520942675e-72 161.880327662808 8.50687723427799e-73 4.2513684661408 0.0996216307362435 4.96100989423157 0.102374346648823
