ensemblID	gene_name	logFC_prenatal	SE_prenatal	logFC_adult	SE_adult	PRENATAL	ADULT	SHARED0.5	SHARED1	SHARED2	OPPOSITE	specificity	sexDE_prenatal_direction	sexDE_adult_direction	sexDE	sexDEsimplified	sexDEfinal	sexDE_origin	annot	Region	annotXCI
ENSG00000000460	C1orf112	0.169377357724237	0.0532988574250944	-0.0192211342160426	0.0256163329030553	0.979	0	0.0145	0	0	0.0065	Prenatal	female-biased	ns	prenatal female-biased	female-biased	NA	prenatal	Autosome	NA	NA
ENSG00000000938	FGR	-0.275029347077895	0.121519240863739	0.162275476059227	0.047407245636846	0.117	0.0185	0.0065	0.004	0.0125	0.8415	Opposite	ns	female-biased	adult female-biased	female-biased	NA	adult	Autosome	NA	NA
ENSG00000001626	CFTR	0.432685369950659	0.144167815643341	0.0168257705636303	0.0390193492761119	0.946	0	0.0505	5e-04	5e-04	0.0025	Prenatal	female-biased	ns	prenatal female-biased	female-biased	NA	prenatal	Autosome	NA	NA
ENSG00000001631	KRIT1	0.0809697454929805	0.0244815249748378	0.00222312472045875	0.00905787126631904	0.9445	5e-04	0.05	5e-04	0	0.0045	Prenatal	female-biased	ns	prenatal female-biased	female-biased	NA	prenatal	Autosome	NA	NA
ENSG00000002330	BAD	-0.473805755667159	0.133537006157818	-0.0449177947971907	0.0141189663152974	0.688	5e-04	0.3055	0.004	0.0015	5e-04	Unclassified	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000002586	CD99	-0.851436478198154	0.121841097546138	-0.849434914098791	0.0189409014871263	0	0	0	0.999	0.001	0	Shared	male-biased	male-biased	common male-biased	male-biased	male-biased	common	X chr	PAR	Escape
ENSG00000003249	DBNDD1	-0.231167734479903	0.0906230596101594	-0.0703245087095395	0.0197190556824889	0.0365	5e-04	0.9375	0.015	0.0085	0.002	Shared	ns	male-biased	adult male-biased	male-biased	male-biased	adult	Autosome	NA	NA
ENSG00000003402	CFLAR	0.153641540162208	0.045175261350297	0.041154442750687	0.0171930731274801	0.4145	0	0.5815	0.003	0	0.001	Unclassified	female-biased	ns	prenatal female-biased	female-biased	NA	prenatal	Autosome	NA	NA
ENSG00000003756	RBM5	0.15314755021037	0.0389392111667531	0.0160200711079349	0.0138164555110545	0.9645	0	0.035	0	0	5e-04	Prenatal	female-biased	ns	prenatal female-biased	female-biased	NA	prenatal	Autosome	NA	NA
ENSG00000003987	MTMR7	-0.0531775379975833	0.0549425482573677	-0.0596831472822243	0.0146028956150155	0.0255	0.014	0.857	0.0345	0.0425	0.0265	Shared	ns	male-biased	adult male-biased	male-biased	male-biased	adult	Autosome	NA	NA
ENSG00000004059	ARF5	-0.321465116740416	0.0779623674744486	-0.0453857194330299	0.0104646729092467	0.4425	0	0.555	0.002	5e-04	0	Unclassified	male-biased	male-biased	common male-biased	male-biased	NA	common	Autosome	NA	NA
ENSG00000004455	AK2	0.0883831277626241	0.0314125207494462	0.0410611284649281	0.0106432902955735	0.0685	0	0.918	0.009	0.004	5e-04	Shared	ns	female-biased	adult female-biased	female-biased	female-biased	adult	Autosome	NA	NA
ENSG00000004660	CAMKK1	-0.144903947177933	0.06450799688576	-0.0792847195157643	0.0187427452801073	0.005	0.0015	0.966	0.021	0.0055	0.001	Shared	ns	male-biased	adult male-biased	male-biased	male-biased	adult	Autosome	NA	NA
ENSG00000004779	NDUFAB1	-0.303797357443451	0.0859446013174907	-0.0265672321263226	0.0107619893738619	0.953	0	0.047	0	0	0	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000005020	SKAP2	-0.240684513640639	0.16768408552072	-0.088180743681882	0.0241167875149023	0.0185	0.0055	0.922	0.0215	0.021	0.0115	Shared	ns	male-biased	adult male-biased	male-biased	male-biased	adult	Autosome	NA	NA
ENSG00000005059	CCDC109B	0.0466135248404241	0.0936730299052779	0.111646367507149	0.0322472912526724	0.048	0.0395	0.7045	0.0595	0.0725	0.076	Shared	ns	female-biased	adult female-biased	female-biased	female-biased	adult	Autosome	NA	NA
ENSG00000005249	PRKAR2B	-0.208494542265864	0.0616132494565011	-0.0385260058178772	0.0183157308600282	0.715	5e-04	0.282	0.0025	0	0	Unclassified	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000005302	MSL3	-0.152927037962778	0.0295840411498829	0.0123924340829171	0.0137069093527328	0.999	0	0.001	0	0	0	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	X chr	nonPAR	Escape
ENSG00000005486	RHBDD2	-0.323479376728156	0.0658815686630751	-0.0399396959908863	0.015198568641727	0.959	0	0.041	0	0	0	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000005844	ITGAL	0.160366182929065	0.0879456647604684	0.165818758523211	0.0402528984246143	0.0035	0.0105	0.8365	0.0895	0.0585	0.0015	Shared	ns	female-biased	adult female-biased	female-biased	female-biased	adult	Autosome	NA	NA
ENSG00000005889	ZFX	0.522802086417735	0.0461271298068906	0.617896518811636	0.0138313549968757	0	0	0	1	0	0	Shared	female-biased	female-biased	common female-biased	female-biased	female-biased	common	X chr	nonPAR	Escape
ENSG00000005981	ASB4	0.294001798449607	0.0762537792232374	-0.133386487216429	0.0533149615973842	0.7405	0	0.001	0	0	0.2585	Unclassified	female-biased	ns	prenatal female-biased	female-biased	NA	prenatal	Autosome	NA	NA
ENSG00000006007	GDE1	-0.17294291279853	0.0464682165957397	-0.0373735243337242	0.013249843774191	0.508	0	0.4905	0.001	5e-04	0	Unclassified	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000006015	C19orf60	-0.398398419333657	0.114480990170155	-0.0510635290052232	0.0175835320400806	0.565	5e-04	0.4285	0.0035	0.0015	0.001	Unclassified	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
