Mixture	Olig	InN	Micro	ExN	OPC	NPC	Endo	Astro	Perc	P-value	Correlation	RMSE
HDBR251	0.07843047641249179	0.22725768844871572	0.01511291911453361	0.10825495258445050	0.11577743699122153	0.35887051682188809	0.02624531529999306	0.04387334916302220	0.02617734516368347	0.00000000000000000	0.68239664839311720	0.86962421708342641
HDBR254	0.09302269520432346	0.40541050385202693	0.00819672561064297	0.09975373204333080	0.10044884540226395	0.20685914876134140	0.03682882037038345	0.04305710393192010	0.00642242482376677	0.00000000000000000	0.70492990814065004	0.89568996691215896
HDBR256	0.04351520902020914	0.18753502934021871	0.00000000000000000	0.11493016548893999	0.11245144290846060	0.46632220759729187	0.01866194796569284	0.04969570111562813	0.00688829656355872	0.00000000000000000	0.84819370209994549	0.80772311902444360
HDBR259	0.01434470284947469	0.07889571836613120	0.07226381424014584	0.05808232256633283	0.04645923034568061	0.51477788882647180	0.08439218711640474	0.03791718620646777	0.09286694948289062	0.00000000000000000	0.41361719986436196	0.91050591698603511
HDBR263	0.09251170172486824	0.39281512230687388	0.00864878672983974	0.12769946574997049	0.08562551097870368	0.21427858179429521	0.03701806525453409	0.03715336380163575	0.00424940165927894	0.00000000000000000	0.69445752751968304	0.89829088055995132
HDBR264	0.07414832698302463	0.32459566867047152	0.00652378963363184	0.20518640317176653	0.07469400866821890	0.25714991256710984	0.03228856789217045	0.02399411647996997	0.00141920593363626	0.00000000000000000	0.69413448122246413	0.89426234198861676
HDBR265	0.03053304618487096	0.09714562437014602	0.00000000000000000	0.13537190053929421	0.22693929371825591	0.43576086715260731	0.02248247390846006	0.04599524302997120	0.00577155109639441	0.00000000000000000	0.83462210625451094	0.80791140043453347
HDBR268	0.07954409595534787	0.34787430641073985	0.00473503517571114	0.21049906350988903	0.07959595133018987	0.23003828979628238	0.02809926000618912	0.01748453432777749	0.00212946348787329	0.00000000000000000	0.69210081944928148	0.89769929616984745
HDBR269	0.07859875329215779	0.35329216424187382	0.00646157203521155	0.25485831296399436	0.08944963877219804	0.16767059311029051	0.02820167416460158	0.01899349497600969	0.00247379644366270	0.00000000000000000	0.66663979821725505	0.90844686159191146
HDBR273	0.01994907625080051	0.08741722759685881	0.00000000000000000	0.14307979408366098	0.21140117763109451	0.47078707667034581	0.02120800299971913	0.03874802459151629	0.00740962017600424	0.00000000000000000	0.81834156032096617	0.80488878497930927
HDBR275	0.02316549881185584	0.11910124767963078	0.01251305908105708	0.29480802170572623	0.10590844575199727	0.35777295355478278	0.01314521493644025	0.06985041844333871	0.00373514003517115	0.00000000000000000	0.79206129248450075	0.85114417392113484
HDBR278	0.07867562136685158	0.33412653358430988	0.00335144010197914	0.18074900630996088	0.07340529091956371	0.29351409678711404	0.02901828855765147	0.00536094315240191	0.00179877922016728	0.00000000000000000	0.71924747163581992	0.88296818607314975
HDBR279	0.07576330062793764	0.34234321019602093	0.01262415809019582	0.15808543559141852	0.09348872915902504	0.21376006962829197	0.03511808969426752	0.06413910520558849	0.00467790180725420	0.00000000000000000	0.70025182795824104	0.89839557685446769
HDBR283	0.01712593704213008	0.08682463953657846	0.00502990400454550	0.10726785774296275	0.15528700552297717	0.55206487411474092	0.02189617381265851	0.03891865454721876	0.01558495367618785	0.00000000000000000	0.81261005839293421	0.78880838824795618
HDBR285	0.02860688702624567	0.06953067178147904	0.00746075583028150	0.16480962186107095	0.18544543542460393	0.42986919215632613	0.03280949735606153	0.06426711837194414	0.01720082019198695	0.00000000000000000	0.79490392489134198	0.82116581208205408
HDBR288	0.05095020940285543	0.16220962250526805	0.00317624107694796	0.17812103538566823	0.18510755955523744	0.34819815093612533	0.01241616446087441	0.05915227590178929	0.00066874077523399	0.00000000000000000	0.83928748314793400	0.83550967013995192
HDBR289	0.06210832393519972	0.31479373037205371	0.00479968551987195	0.23365397410286667	0.10561969341554869	0.23877831980186931	0.02182691665449988	0.01595402068159520	0.00246533551649484	0.00000000000000000	0.69652419385927511	0.89428751572969967
HDBR290	0.12146397799144570	0.48100891887031849	0.01025380127443708	0.11233095063352153	0.09993791941817531	0.06416434963998714	0.03389880541059410	0.07363500817592181	0.00330626858559890	0.00000000000000000	0.68690214404135441	0.90922285008689741
