Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
female-biased	GO:0044282	small molecule catabolic process	25/311	323/13858	7.39378155512362e-08	0.000243329350979118	0.00022959637460647	DPYD/ECHDC2/ABCD3/GLUD1/ABCD2/CSAD/PCCA/ESD/DLST/FAH/ETFA/TP53/FUT1/HAAO/ACADL/HADHA/MCCC1/SULT1B1/MCCC2/MGAT1/CYP39A1/HMGCLL1/SARDH/GLDC/GLUD2	25
female-biased	GO:1901606	alpha-amino acid catabolic process	11/311	80/13858	1.6091688999121e-06	0.00214933860559987	0.00202803463561536	GLUD1/CSAD/DLST/FAH/HAAO/MCCC1/MCCC2/HMGCLL1/SARDH/GLDC/GLUD2	11
female-biased	GO:0009063	amino acid catabolic process	12/311	101/13858	2.64080845572755e-06	0.00214933860559987	0.00202803463561536	GLUD1/CSAD/DLST/FAH/ETFA/HAAO/MCCC1/MCCC2/HMGCLL1/SARDH/GLDC/GLUD2	12
female-biased	GO:0016054	organic acid catabolic process	18/311	225/13858	3.26547949802472e-06	0.00214933860559987	0.00202803463561536	ECHDC2/ABCD3/GLUD1/ABCD2/CSAD/PCCA/DLST/FAH/ETFA/HAAO/ACADL/HADHA/MCCC1/MCCC2/HMGCLL1/SARDH/GLDC/GLUD2	18
female-biased	GO:0046395	carboxylic acid catabolic process	18/311	225/13858	3.26547949802472e-06	0.00214933860559987	0.00202803463561536	ECHDC2/ABCD3/GLUD1/ABCD2/CSAD/PCCA/DLST/FAH/ETFA/HAAO/ACADL/HADHA/MCCC1/MCCC2/HMGCLL1/SARDH/GLDC/GLUD2	18
female-biased	GO:0030335	positive regulation of cell migration	25/311	477/13858	7.60141895851554e-05	0.0416715581035377	0.0393197065059208	FGR/S100A11/RHOD/ATM/TRPV4/ITGA5/FLT1/FERMT2/HIF1A/SEMA4B/CDH5/STAT3/FUT1/ADAM17/EPB41L5/HYAL1/OXSR1/FER/NIPBL/AGER/NEDD9/SEMA3E/CAV1/PODXL/CPNE3	25
female-biased	GO:0007229	integrin-mediated signaling pathway	10/311	101/13858	8.86359485641944e-05	0.0416715581035377	0.0393197065059208	FGR/ITGA5/FERMT2/ITGAL/EMP2/LOXL3/MYH9/LAMB2/MPIG6B/NEDD9	10
female-biased	GO:2000147	positive regulation of cell motility	25/311	493/13858	0.000128003691401182	0.0486204687079996	0.0458764357941431	FGR/S100A11/RHOD/ATM/TRPV4/ITGA5/FLT1/FERMT2/HIF1A/SEMA4B/CDH5/STAT3/FUT1/ADAM17/EPB41L5/HYAL1/OXSR1/FER/NIPBL/AGER/NEDD9/SEMA3E/CAV1/PODXL/CPNE3	25
female-biased	GO:0032092	positive regulation of protein binding	7/311	51/13858	0.000132963907132177	0.0486204687079996	0.0458764357941431	IDE/B2M/CLDN5/DTX3L/NMD3/STK3/USP9X	7
male-biased	GO:0050804	modulation of chemical synaptic transmission	57/539	439/13858	6.93181326285589e-16	1.14721509500265e-12	1.08318703039048e-12	CHRNB2/PLPPR4/RGS4/PRKCZ/DVL1/FBXO2/NCDN/GPR158/SNCG/PPP3CB/INA/SYT12/HRAS/SLC38A1/CLSTN3/SYT1/ITPKA/SV2B/NPTN/GRIN2A/PRKCB/JPH3/NOG/ARHGAP44/DLG4/NETO1/DLGAP1/SYT4/RAB3A/BRSK1/LRRTM1/CACNB4/PPP3R1/PREPL/KCNB1/RIMS4/SNAP25/NEFH/SYNGR1/OXTR/CAMKV/NSG1/CPLX1/SNCAIP/RGS14/MAPK9/GRM4/DGKI/LRRC4/ACHE/CDK5/PRKAR1B/CALB1/KCNQ3/PHF24/FRRS1L/APBA1	57
