Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
female-biased	GO:0044282	small molecule catabolic process	24/278	315/13370	4.24920005465522e-08	0.000134104753724919	0.000125284308979887	DPYD/ECHDC2/ABCD3/GLUD1/ABCD2/CSAD/PCCA/ESD/DLST/FAH/ETFA/TP53/FUT1/HAAO/ACADL/HADHA/MCCC1/SULT1B1/MCCC2/MGAT1/CYP39A1/HMGCLL1/SARDH/GLDC	24
female-biased	GO:0016054	organic acid catabolic process	17/278	220/13370	3.49561867719032e-06	0.00366945018827088	0.00342810018589378	ECHDC2/ABCD3/GLUD1/ABCD2/CSAD/PCCA/DLST/FAH/ETFA/HAAO/ACADL/HADHA/MCCC1/MCCC2/HMGCLL1/SARDH/GLDC	17
female-biased	GO:0046395	carboxylic acid catabolic process	17/278	220/13370	3.49561867719032e-06	0.00366945018827088	0.00342810018589378	ECHDC2/ABCD3/GLUD1/ABCD2/CSAD/PCCA/DLST/FAH/ETFA/HAAO/ACADL/HADHA/MCCC1/MCCC2/HMGCLL1/SARDH/GLDC	17
female-biased	GO:1901606	alpha-amino acid catabolic process	10/278	78/13370	4.65076069489339e-06	0.00366945018827088	0.00342810018589378	GLUD1/CSAD/DLST/FAH/HAAO/MCCC1/MCCC2/HMGCLL1/SARDH/GLDC	10
female-biased	GO:0009063	amino acid catabolic process	11/278	99/13370	6.4257161406367e-06	0.00405591202796989	0.00378914334945756	GLUD1/CSAD/DLST/FAH/ETFA/HAAO/MCCC1/MCCC2/HMGCLL1/SARDH/GLDC	11
female-biased	GO:0030335	positive regulation of cell migration	25/278	466/13370	1.43243298845444e-05	0.00753459751927035	0.00703902596607173	FGR/S100A11/RHOD/ATM/TRPV4/ITGA5/FLT1/FERMT2/HIF1A/SEMA4B/CDH5/STAT3/FUT1/ADAM17/EPB41L5/HYAL1/OXSR1/FER/NIPBL/AGER/NEDD9/SEMA3E/CAV1/PODXL/CPNE3	25
female-biased	GO:2000147	positive regulation of cell motility	25/278	482/13370	2.52644497925921e-05	0.0113906576493458	0.0106414622359475	FGR/S100A11/RHOD/ATM/TRPV4/ITGA5/FLT1/FERMT2/HIF1A/SEMA4B/CDH5/STAT3/FUT1/ADAM17/EPB41L5/HYAL1/OXSR1/FER/NIPBL/AGER/NEDD9/SEMA3E/CAV1/PODXL/CPNE3	25
female-biased	GO:0040017	positive regulation of locomotion	25/278	494/13370	3.79318756035353e-05	0.0137630110271678	0.0128577792966103	FGR/S100A11/RHOD/ATM/TRPV4/ITGA5/FLT1/FERMT2/HIF1A/SEMA4B/CDH5/STAT3/FUT1/ADAM17/EPB41L5/HYAL1/OXSR1/FER/NIPBL/AGER/NEDD9/SEMA3E/CAV1/PODXL/CPNE3	25
female-biased	GO:0007229	integrin-mediated signaling pathway	10/278	99/13370	3.92481303056116e-05	0.0137630110271678	0.0128577792966103	FGR/ITGA5/FERMT2/ITGAL/EMP2/LOXL3/MYH9/LAMB2/MPIG6B/NEDD9	10
female-biased	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	16/278	241/13370	4.46924965056784e-05	0.0141049518971921	0.0131772297592006	FCGR2B/BCL10/NFKB2/IL18BP/TCIRG1/B2M/EMP2/STAT3/LOXL3/ADAM17/HSPD1/MYD88/RFTN1/AGER/HLA-F/HLA-B	16
female-biased	GO:0002831	regulation of response to biotic stimulus	21/278	414/13370	0.000155498831912828	0.0404902429972849	0.0378270864636765	FCGR2B/BCL10/FGR/CLPB/STAT2/RNF135/KLK5/CARD8/HSPD1/ZNFX1/MYD88/DTX3L/RFTN1/PARP9/IL15/DDX60/HLA-F/HLA-B/CAV1/IKBKB/LRSAM1	21
female-biased	GO:0001913	T cell mediated cytotoxicity	6/278	40/13370	0.000162192945738956	0.0404902429972849	0.0378270864636765	FCGR2B/B2M/EMP2/AGER/HLA-F/HLA-B	6
female-biased	GO:0045766	positive regulation of angiogenesis	11/278	142/13370	0.000184816492334684	0.0404902429972849	0.0378270864636765	ECM1/TIE1/ITGA5/FLT1/HIF1A/EMP2/CDH5/STAT3/TMIGD2/FUT1/HYAL1	11
female-biased	GO:0009615	response to virus	18/278	330/13370	0.000190432615385527	0.0404902429972849	0.0378270864636765	FGR/CLPB/IFITM1/STAT2/HIF1A/RNF135/CARD8/BST2/APOB/ZNFX1/HYAL1/MYD88/DTX3L/PARP9/IL15/DDX60/ZC3HAV1/IKBKB	18
female-biased	GO:0002252	immune effector process	23/278	483/13370	0.000192444120709529	0.0404902429972849	0.0378270864636765	FCGR2B/BCL10/FGR/TCIRG1/TMBIM6/B2M/ITGAL/EMP2/TP53/STAT3/KLK5/BST2/AXL/LOXL3/ADAM17/HSPD1/MYD88/RFTN1/DDX60/FER/AGER/HLA-F/HLA-B	23
female-biased	GO:1904018	positive regulation of vasculature development	11/278	145/13370	0.000222059792906915	0.043801294150889	0.0409203605218598	ECM1/TIE1/ITGA5/FLT1/HIF1A/EMP2/CDH5/STAT3/TMIGD2/FUT1/HYAL1	11
male-biased	GO:0050804	modulation of chemical synaptic transmission	57/502	426/13370	3.27874987538978e-17	5.33452604725917e-14	5.02338994066297e-14	CHRNB2/PLPPR4/RGS4/PRKCZ/DVL1/FBXO2/NCDN/GPR158/SNCG/PPP3CB/INA/SYT12/HRAS/SLC38A1/CLSTN3/SYT1/ITPKA/SV2B/NPTN/GRIN2A/PRKCB/JPH3/NOG/ARHGAP44/DLG4/NETO1/DLGAP1/SYT4/RAB3A/BRSK1/LRRTM1/CACNB4/PPP3R1/PREPL/KCNB1/RIMS4/SNAP25/NEFH/SYNGR1/OXTR/CAMKV/NSG1/CPLX1/SNCAIP/RGS14/MAPK9/GRM4/DGKI/LRRC4/ACHE/CDK5/PRKAR1B/CALB1/KCNQ3/PHF24/FRRS1L/APBA1	57
male-biased	GO:0099177	regulation of trans-synaptic signaling	57/502	426/13370	3.27874987538978e-17	5.33452604725917e-14	5.02338994066297e-14	CHRNB2/PLPPR4/RGS4/PRKCZ/DVL1/FBXO2/NCDN/GPR158/SNCG/PPP3CB/INA/SYT12/HRAS/SLC38A1/CLSTN3/SYT1/ITPKA/SV2B/NPTN/GRIN2A/PRKCB/JPH3/NOG/ARHGAP44/DLG4/NETO1/DLGAP1/SYT4/RAB3A/BRSK1/LRRTM1/CACNB4/PPP3R1/PREPL/KCNB1/RIMS4/SNAP25/NEFH/SYNGR1/OXTR/CAMKV/NSG1/CPLX1/SNCAIP/RGS14/MAPK9/GRM4/DGKI/LRRC4/ACHE/CDK5/PRKAR1B/CALB1/KCNQ3/PHF24/FRRS1L/APBA1	57
male-biased	GO:0099003	vesicle-mediated transport in synapse	32/502	195/13370	1.53831907046174e-12	1.6685634184275e-09	1.5712444961804e-09	DVL1/DNAJC6/SV2A/SNCG/PPP3CB/CALY/SYT12/BRSK2/SYT1/SV2B/PRKCB/CDK5R1/SYT4/AP2S1/RAB3A/BRSK1/CACNB4/PPP3R1/BIN1/PREPL/RIMS4/SNPH/DNAJC5/NAPB/SNAP25/CADPS/NSG1/CPLX1/AMPH/CDK5/PRKAR1B/ATP6V1H	32
male-biased	GO:0099504	synaptic vesicle cycle	30/502	174/13370	2.10606254274392e-12	1.71328187852218e-09	1.61335475313883e-09	DVL1/DNAJC6/SV2A/SNCG/PPP3CB/SYT12/BRSK2/SYT1/SV2B/PRKCB/CDK5R1/SYT4/AP2S1/RAB3A/BRSK1/CACNB4/PPP3R1/BIN1/PREPL/RIMS4/SNPH/DNAJC5/NAPB/SNAP25/CADPS/CPLX1/AMPH/CDK5/PRKAR1B/ATP6V1H	30
