Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
male-biased	GO:0097060	synaptic membrane	50/574	369/14492	1.85716266501378e-14	7.76293993975759e-12	6.74443283610266e-12	TMEM240/CHRNB2/PLPPR4/KCND3/DNAJC6/FBXO2/GPR158/ANK3/CHRM4/LRFN4/KCNC1/CNIH2/KCNA1/SCN8A/CLSTN3/SYT1/GABRB3/NPTN/SLC9A5/NETO2/GRIN2A/DLG4/NETO1/LRFN1/LIN7B/LRRC4B/LRRTM1/ADAM23/KCNB1/RIMS4/SNAP25/KCNJ4/LHFPL4/ATP2B2/GLRB/NSG1/CDH9/SNCAIP/PRR7/GABRA1/GABRB2/GABRG2/CLTB/KCNQ5/DGKI/LRRC4/APBA1/ATP2B3/MAGEE1/DLG3	50
male-biased	GO:0098978	glutamatergic synapse	49/574	394/14492	9.33667210238976e-13	1.32014678486168e-10	1.14694193094253e-10	PLPPR4/PRKCZ/DVL1/FBXO2/SV2A/PPP3CB/CALY/LRFN4/HRAS/KCNA1/SCN8A/CLSTN3/SYT1/FAM81A/ITPKA/NETO2/GRIN2A/ARHGAP44/CNTNAP1/DLG4/NETO1/DLGAP1/SYT4/PIN1/LRRC4B/C1QL2/LRRTM1/CACNB4/ADAM23/PPP3R1/BIN1/MAP1LC3A/NAPB/SNAP25/CADPS/ATP2B2/CAMKV/NSG1/CPLX1/PRR7/RGS14/LRRC4/PLXNA4/PRKAR1B/CALB1/ARPC5L/APBA1/ATP2B3/DLG3	49
male-biased	GO:0099572	postsynaptic specialization	44/574	327/14492	9.47473769039483e-13	1.32014678486168e-10	1.14694193094253e-10	CHRNB2/PLPPR4/KCND3/PRKCZ/DVL1/DNAJC6/LRFN4/GNG3/CNIH2/SCN8A/CABP1/ANKS1B/CLSTN3/FAM81A/NPTN/NETO2/GRIN2A/PDPK1/ARHGAP44/CDK5R1/NSF/DLG4/NETO1/DLGAP1/LRFN1/LIN7B/LRRC4B/LRRTM1/SLC8A1/ADD2/KCNB1/NEFH/LHFPL4/ATP2B2/GLRB/PRR7/GABRB2/RGS14/CAP2/DGKI/LRRC4/CDK5/DLG3/ARHGEF9	44
male-biased	GO:0045211	postsynaptic membrane	37/574	255/14492	6.78011826913254e-12	6.18136818086999e-10	5.37036520372739e-10	CHRNB2/PLPPR4/KCND3/FBXO2/GPR158/ANK3/CHRM4/LRFN4/KCNC1/CNIH2/KCNA1/SCN8A/CLSTN3/GABRB3/SLC9A5/NETO2/GRIN2A/DLG4/NETO1/LRFN1/LIN7B/LRRC4B/LRRTM1/KCNB1/KCNJ4/LHFPL4/ATP2B2/GLRB/NSG1/CDH9/PRR7/GABRA1/GABRB2/GABRG2/LRRC4/MAGEE1/DLG3	37
male-biased	GO:0098984	neuron to neuron synapse	44/574	347/14492	7.39398107759568e-12	6.18136818086999e-10	5.37036520372739e-10	PLPPR4/PRKCZ/DVL1/DNAJC6/LRFN4/GNG3/SYT12/CNIH2/SCN8A/CABP1/ANKS1B/CLSTN3/SYT1/FAM81A/NPTN/NETO2/GRIN2A/PDPK1/ARHGAP44/CDK5R1/NSF/DLG4/NETO1/DLGAP1/LRFN1/LIN7B/LRRC4B/C1QL2/SLC8A1/ADD2/PPP3R1/NEFH/ATP2B2/PRR7/RGS14/CAP2/DGKI/LRRC4/PLXNA4/CDK5/PRKAR1B/CALB1/DLG3/ARHGEF9	44
male-biased	GO:1902495	transmembrane transporter complex	44/574	382/14492	1.82029998394615e-10	1.26814232214915e-08	1.10176051659899e-08	BEST4/CHRNB2/KCND3/UQCRH/ATP1B1/KCNIP2/KCNK4/KCNC1/NDUFS8/CNIH2/KCNA1/SCN8A/KCNK10/HSPA2/GABRB3/GRIN2A/CACNA1H/DLG4/SCN1B/UQCR11/NDUFA13/CALM3/KCNS3/CACNB4/UNC80/KCNB1/SNAP25/KCNJ4/KCNH8/KCNAB1/KCNIP4/GLRB/GLRA1/GABRA1/NDUFA2/GABRB2/GABRG2/KCNQ5/KCNH2/KCNV1/KCNQ3/ATP6V1H/ABCA2/DLG3	44
male-biased	GO:0032279	asymmetric synapse	39/574	318/14492	3.25887477775004e-10	1.94601379585645e-08	1.69069443356957e-08	PLPPR4/PRKCZ/DVL1/DNAJC6/LRFN4/GNG3/CNIH2/SCN8A/CABP1/ANKS1B/CLSTN3/FAM81A/NPTN/NETO2/GRIN2A/PDPK1/ARHGAP44/CDK5R1/NSF/DLG4/NETO1/DLGAP1/LRFN1/LIN7B/LRRC4B/C1QL2/SLC8A1/ADD2/NEFH/ATP2B2/PRR7/RGS14/CAP2/DGKI/LRRC4/PLXNA4/CDK5/DLG3/ARHGEF9	39
male-biased	GO:1990351	transporter complex	45/574	409/14492	5.0501375933813e-10	2.63869689254173e-08	2.29249667067967e-08	BEST4/CHRNB2/KCND3/UQCRH/ATP1B1/KCNIP2/KCNK4/KCNC1/NDUFS8/CNIH2/KCNA1/SCN8A/ATP8A2/KCNK10/HSPA2/GABRB3/GRIN2A/CACNA1H/DLG4/SCN1B/UQCR11/NDUFA13/CALM3/KCNS3/CACNB4/UNC80/KCNB1/SNAP25/KCNJ4/KCNH8/KCNAB1/KCNIP4/GLRB/GLRA1/GABRA1/NDUFA2/GABRB2/GABRG2/KCNQ5/KCNH2/KCNV1/KCNQ3/ATP6V1H/ABCA2/DLG3	45
male-biased	GO:0014069	postsynaptic density	37/574	302/14492	9.66250783997529e-10	4.48769808567741e-08	3.89890667227073e-08	PLPPR4/PRKCZ/DVL1/DNAJC6/LRFN4/GNG3/CNIH2/SCN8A/CABP1/ANKS1B/CLSTN3/FAM81A/NPTN/NETO2/GRIN2A/PDPK1/ARHGAP44/CDK5R1/NSF/DLG4/NETO1/DLGAP1/LRFN1/LIN7B/LRRC4B/SLC8A1/ADD2/NEFH/ATP2B2/PRR7/RGS14/CAP2/DGKI/LRRC4/CDK5/DLG3/ARHGEF9	37
male-biased	GO:0034702	monoatomic ion channel complex	36/574	298/14492	2.40432214069779e-09	1.00500665481168e-07	8.73148566884989e-08	BEST4/CHRNB2/KCND3/KCNIP2/KCNK4/KCNC1/CNIH2/KCNA1/SCN8A/KCNK10/HSPA2/GABRB3/GRIN2A/CACNA1H/DLG4/SCN1B/CALM3/KCNS3/CACNB4/UNC80/KCNB1/SNAP25/KCNJ4/KCNH8/KCNAB1/KCNIP4/GLRB/GLRA1/GABRA1/GABRB2/GABRG2/KCNQ5/KCNH2/KCNV1/KCNQ3/DLG3	36
male-biased	GO:0008021	synaptic vesicle	27/574	200/14492	2.39996722305552e-08	9.11838439729133e-07	7.92204134239614e-07	SV2A/SYT12/SVOP/DNM1L/SYT1/SV2B/GRIN2A/RAB40C/SYNGR3/DLG4/SYT4/CBARP/RAB3A/BRSK1/BIN1/LAMP5/DNAJC5/SNAP25/SYNGR1/SNCAIP/RAB3C/CLTB/DGKI/AMPH/ATP6V1H/LGI3/APBA1	27
