Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
male-biased	GO:0097060	synaptic membrane	47/534	369/14492	8.3759308910834e-14	3.45088352712636e-11	2.98888481271292e-11	TMEM240/CHRNB2/PLPPR4/KCND3/DNAJC6/FBXO2/GPR158/ANK3/CHRM4/LRFN4/KCNC1/CNIH2/KCNA1/SCN8A/CLSTN3/SYT1/GABRB3/NPTN/SLC9A5/NETO2/GRIN2A/DLG4/NETO1/LRFN1/LIN7B/LRRC4B/LRRTM1/ADAM23/KCNB1/RIMS4/SNAP25/KCNJ4/LHFPL4/ATP2B2/GLRB/NSG1/CDH9/SNCAIP/PRR7/GABRA1/GABRB2/GABRG2/CLTB/KCNQ5/DGKI/LRRC4/APBA1	47
male-biased	GO:0098978	glutamatergic synapse	47/534	394/14492	9.51824754831993e-13	1.94054600269078e-10	1.680748837282e-10	PLPPR4/PRKCZ/DVL1/FBXO2/SV2A/PPP3CB/CALY/LRFN4/HRAS/KCNA1/SCN8A/CLSTN3/SYT1/FAM81A/ITPKA/NETO2/GRIN2A/ARHGAP44/CNTNAP1/DLG4/NETO1/DLGAP1/SYT4/PIN1/LRRC4B/C1QL2/LRRTM1/CACNB4/ADAM23/PPP3R1/BIN1/MAP1LC3A/NAPB/SNAP25/CADPS/ATP2B2/CAMKV/NSG1/CPLX1/PRR7/RGS14/LRRC4/PLXNA4/PRKAR1B/CALB1/ARPC5L/APBA1	47
male-biased	GO:0099572	postsynaptic specialization	42/534	327/14492	1.41301893399814e-12	1.94054600269078e-10	1.680748837282e-10	CHRNB2/PLPPR4/KCND3/PRKCZ/DVL1/DNAJC6/LRFN4/GNG3/CNIH2/SCN8A/CABP1/ANKS1B/CLSTN3/FAM81A/NPTN/NETO2/GRIN2A/PDPK1/ARHGAP44/CDK5R1/NSF/DLG4/NETO1/DLGAP1/LRFN1/LIN7B/LRRC4B/LRRTM1/SLC8A1/ADD2/KCNB1/NEFH/LHFPL4/ATP2B2/GLRB/PRR7/GABRB2/RGS14/CAP2/DGKI/LRRC4/CDK5	42
male-biased	GO:0098984	neuron to neuron synapse	42/534	347/14492	1.0168238396714e-11	1.04732855486155e-09	9.07113899075278e-10	PLPPR4/PRKCZ/DVL1/DNAJC6/LRFN4/GNG3/SYT12/CNIH2/SCN8A/CABP1/ANKS1B/CLSTN3/SYT1/FAM81A/NPTN/NETO2/GRIN2A/PDPK1/ARHGAP44/CDK5R1/NSF/DLG4/NETO1/DLGAP1/LRFN1/LIN7B/LRRC4B/C1QL2/SLC8A1/ADD2/PPP3R1/NEFH/ATP2B2/PRR7/RGS14/CAP2/DGKI/LRRC4/PLXNA4/CDK5/PRKAR1B/CALB1	42
male-biased	GO:0045211	postsynaptic membrane	35/534	255/14492	1.68071329010905e-11	1.38490775104986e-09	1.19949853757256e-09	CHRNB2/PLPPR4/KCND3/FBXO2/GPR158/ANK3/CHRM4/LRFN4/KCNC1/CNIH2/KCNA1/SCN8A/CLSTN3/GABRB3/SLC9A5/NETO2/GRIN2A/DLG4/NETO1/LRFN1/LIN7B/LRRC4B/LRRTM1/KCNB1/KCNJ4/LHFPL4/ATP2B2/GLRB/NSG1/CDH9/PRR7/GABRA1/GABRB2/GABRG2/LRRC4	35
male-biased	GO:1902495	transmembrane transporter complex	43/534	382/14492	6.26478868847075e-11	4.30182156608325e-09	3.72590064103787e-09	BEST4/CHRNB2/KCND3/UQCRH/ATP1B1/KCNIP2/KCNK4/KCNC1/NDUFS8/CNIH2/KCNA1/SCN8A/KCNK10/HSPA2/GABRB3/GRIN2A/CACNA1H/DLG4/SCN1B/UQCR11/NDUFA13/CALM3/KCNS3/CACNB4/UNC80/KCNB1/SNAP25/KCNJ4/KCNH8/KCNAB1/KCNIP4/GLRB/GLRA1/GABRA1/NDUFA2/GABRB2/GABRG2/KCNQ5/KCNH2/KCNV1/KCNQ3/ATP6V1H/ABCA2	43
male-biased	GO:1990351	transporter complex	44/534	409/14492	1.64482301264998e-10	9.68095830302562e-09	8.38488723741872e-09	BEST4/CHRNB2/KCND3/UQCRH/ATP1B1/KCNIP2/KCNK4/KCNC1/NDUFS8/CNIH2/KCNA1/SCN8A/ATP8A2/KCNK10/HSPA2/GABRB3/GRIN2A/CACNA1H/DLG4/SCN1B/UQCR11/NDUFA13/CALM3/KCNS3/CACNB4/UNC80/KCNB1/SNAP25/KCNJ4/KCNH8/KCNAB1/KCNIP4/GLRB/GLRA1/GABRA1/NDUFA2/GABRB2/GABRG2/KCNQ5/KCNH2/KCNV1/KCNQ3/ATP6V1H/ABCA2	44
male-biased	GO:0032279	asymmetric synapse	37/534	318/14492	5.61217757189005e-10	2.89027144952337e-08	2.5033265748299e-08	PLPPR4/PRKCZ/DVL1/DNAJC6/LRFN4/GNG3/CNIH2/SCN8A/CABP1/ANKS1B/CLSTN3/FAM81A/NPTN/NETO2/GRIN2A/PDPK1/ARHGAP44/CDK5R1/NSF/DLG4/NETO1/DLGAP1/LRFN1/LIN7B/LRRC4B/C1QL2/SLC8A1/ADD2/NEFH/ATP2B2/PRR7/RGS14/CAP2/DGKI/LRRC4/PLXNA4/CDK5	37
male-biased	GO:0034702	monoatomic ion channel complex	35/534	298/14492	1.29235352738879e-09	5.91610725871311e-08	5.12406837175203e-08	BEST4/CHRNB2/KCND3/KCNIP2/KCNK4/KCNC1/CNIH2/KCNA1/SCN8A/KCNK10/HSPA2/GABRB3/GRIN2A/CACNA1H/DLG4/SCN1B/CALM3/KCNS3/CACNB4/UNC80/KCNB1/SNAP25/KCNJ4/KCNH8/KCNAB1/KCNIP4/GLRB/GLRA1/GABRA1/GABRB2/GABRG2/KCNQ5/KCNH2/KCNV1/KCNQ3	35
male-biased	GO:0014069	postsynaptic density	35/534	302/14492	1.84801297481281e-09	7.61381345622879e-08	6.59448840485835e-08	PLPPR4/PRKCZ/DVL1/DNAJC6/LRFN4/GNG3/CNIH2/SCN8A/CABP1/ANKS1B/CLSTN3/FAM81A/NPTN/NETO2/GRIN2A/PDPK1/ARHGAP44/CDK5R1/NSF/DLG4/NETO1/DLGAP1/LRFN1/LIN7B/LRRC4B/SLC8A1/ADD2/NEFH/ATP2B2/PRR7/RGS14/CAP2/DGKI/LRRC4/CDK5	35
male-biased	GO:0008021	synaptic vesicle	27/534	200/14492	5.240006715044e-09	1.96262069690739e-07	1.69986820708126e-07	SV2A/SYT12/SVOP/DNM1L/SYT1/SV2B/GRIN2A/RAB40C/SYNGR3/DLG4/SYT4/CBARP/RAB3A/BRSK1/BIN1/LAMP5/DNAJC5/SNAP25/SYNGR1/SNCAIP/RAB3C/CLTB/DGKI/AMPH/ATP6V1H/LGI3/APBA1	27
male-biased	GO:0044304	main axon	15/534	66/14492	1.21965509517117e-08	4.187482493421e-07	3.62686909879847e-07	GJC2/ANK3/KCNC1/THY1/KCNA1/SCN8A/CNTNAP1/DLG4/SCN1B/BIN1/MAP2/ROBO2/KCNAB1/KCNQ3/LGI3	15
male-biased	GO:0008076	voltage-gated potassium channel complex	16/534	79/14492	2.32296876241565e-08	7.3620240778096e-07	6.37640818185348e-07	KCND3/KCNIP2/KCNC1/KCNA1/DLG4/CALM3/KCNS3/KCNB1/SNAP25/KCNJ4/KCNAB1/KCNIP4/KCNQ5/KCNH2/KCNV1/KCNQ3	16
male-biased	GO:0034705	potassium channel complex	17/534	90/14492	2.54736361719386e-08	7.49652721631335e-07	6.49290425735878e-07	KCND3/KCNIP2/KCNK4/KCNC1/KCNA1/DLG4/CALM3/KCNS3/KCNB1/SNAP25/KCNJ4/KCNAB1/KCNIP4/KCNQ5/KCNH2/KCNV1/KCNQ3	17
male-biased	GO:0070382	exocytic vesicle	27/534	218/14492	3.38393400484903e-08	9.29453873331868e-07	8.05020089574612e-07	SV2A/SYT12/SVOP/DNM1L/SYT1/SV2B/GRIN2A/RAB40C/SYNGR3/DLG4/SYT4/CBARP/RAB3A/BRSK1/BIN1/LAMP5/DNAJC5/SNAP25/SYNGR1/SNCAIP/RAB3C/CLTB/DGKI/AMPH/ATP6V1H/LGI3/APBA1	27
male-biased	GO:0099634	postsynaptic specialization membrane	19/534	116/14492	4.38750520280868e-08	1.12978258972324e-06	9.78529120889568e-07	CHRNB2/PLPPR4/KCND3/LRFN4/SCN8A/CLSTN3/NETO2/GRIN2A/DLG4/NETO1/LRFN1/LIN7B/LRRC4B/LRRTM1/KCNB1/ATP2B2/PRR7/GABRB2/LRRC4	19
male-biased	GO:0030672	synaptic vesicle membrane	19/534	122/14492	1.0099014376378e-07	2.31155217948208e-06	2.00208530619424e-06	SV2A/SYT12/SVOP/DNM1L/SYT1/SV2B/SYNGR3/SYT4/CBARP/RAB3A/BIN1/LAMP5/DNAJC5/SYNGR1/RAB3C/CLTB/DGKI/AMPH/ATP6V1H	19
male-biased	GO:0099501	exocytic vesicle membrane	19/534	122/14492	1.0099014376378e-07	2.31155217948208e-06	2.00208530619424e-06	SV2A/SYT12/SVOP/DNM1L/SYT1/SV2B/SYNGR3/SYT4/CBARP/RAB3A/BIN1/LAMP5/DNAJC5/SYNGR1/RAB3C/CLTB/DGKI/AMPH/ATP6V1H	19
