Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
male-biased	GO:0015079	potassium ion transmembrane transporter activity	21/564	140/14247	1.41383723361321e-07	7.6158187171042e-05	7.2325605993623e-05	KCND3/ATP1B1/KCNIP2/KCNK4/KCNC1/KCNA1/KCNK10/SLC9A5/KCNS3/KCNB1/SLC12A5/SNAP25/KCNJ4/KCNH8/KCNAB1/KCNIP4/KCNQ5/KCNH2/KCNV1/KCNQ3/SLC9A7	21
male-biased	GO:0005249	voltage-gated potassium channel activity	16/564	87/14247	2.56857292313801e-07	7.6158187171042e-05	7.2325605993623e-05	KCND3/KCNIP2/KCNK4/KCNC1/KCNA1/KCNK10/KCNS3/KCNB1/SNAP25/KCNJ4/KCNH8/KCNAB1/KCNQ5/KCNH2/KCNV1/KCNQ3	16
male-biased	GO:0015267	channel activity	38/564	401/14247	5.74326234071094e-07	9.06023187383473e-05	8.60428517351839e-05	BEST4/GJC2/CHRNB2/KCND3/KCNIP2/KCNK4/KCNC1/ANO3/AQP6/KCNA1/SCN8A/KCNK10/NOX5/GABRB3/GRIN2A/CACNA1H/SCN1B/KCNS3/CACNB4/UNC80/KCNB1/SLC12A5/SNAP25/KCNJ4/PANX2/KCNH8/KCNAB1/KCNIP4/GLRB/GLRA1/GABRA1/GABRB2/GABRG2/KCNQ5/KCNH2/ORAI2/KCNV1/KCNQ3	38
male-biased	GO:0022803	passive transmembrane transporter activity	38/564	402/14247	6.11145488960184e-07	9.06023187383473e-05	8.60428517351839e-05	BEST4/GJC2/CHRNB2/KCND3/KCNIP2/KCNK4/KCNC1/ANO3/AQP6/KCNA1/SCN8A/KCNK10/NOX5/GABRB3/GRIN2A/CACNA1H/SCN1B/KCNS3/CACNB4/UNC80/KCNB1/SLC12A5/SNAP25/KCNJ4/PANX2/KCNH8/KCNAB1/KCNIP4/GLRB/GLRA1/GABRA1/GABRB2/GABRG2/KCNQ5/KCNH2/ORAI2/KCNV1/KCNQ3	38
male-biased	GO:0005267	potassium channel activity	17/564	107/14247	9.57967484829212e-07	0.000113614943700745	0.000107897390396553	KCND3/KCNIP2/KCNK4/KCNC1/KCNA1/KCNK10/KCNS3/KCNB1/SNAP25/KCNJ4/KCNH8/KCNAB1/KCNIP4/KCNQ5/KCNH2/KCNV1/KCNQ3	17
male-biased	GO:0005216	monoatomic ion channel activity	34/564	357/14247	2.03733125792019e-06	0.000201356239324446	0.000191223197015316	BEST4/CHRNB2/KCND3/KCNIP2/KCNK4/KCNC1/ANO3/KCNA1/SCN8A/KCNK10/NOX5/GABRB3/GRIN2A/CACNA1H/SCN1B/KCNS3/CACNB4/UNC80/KCNB1/SNAP25/KCNJ4/KCNH8/KCNAB1/KCNIP4/GLRB/GLRA1/GABRA1/GABRB2/GABRG2/KCNQ5/KCNH2/ORAI2/KCNV1/KCNQ3	34
male-biased	GO:0022843	voltage-gated monoatomic cation channel activity	18/564	128/14247	2.86301749436128e-06	0.00024253848202232	0.000230332986388464	KCND3/KCNIP2/KCNK4/KCNC1/KCNA1/KCNK10/CACNA1H/KCNS3/CACNB4/KCNB1/SNAP25/KCNJ4/KCNH8/KCNAB1/KCNQ5/KCNH2/KCNV1/KCNQ3	18
male-biased	GO:0005244	voltage-gated monoatomic ion channel activity	19/564	152/14247	8.93831164051906e-06	0.000648151893031431	0.000615534326390016	KCND3/KCNIP2/KCNK4/KCNC1/KCNA1/KCNK10/GRIN2A/CACNA1H/KCNS3/CACNB4/KCNB1/SNAP25/KCNJ4/KCNH8/KCNAB1/KCNQ5/KCNH2/KCNV1/KCNQ3	19
male-biased	GO:0022832	voltage-gated channel activity	19/564	153/14247	9.8370439077283e-06	0.000648151893031431	0.000615534326390016	KCND3/KCNIP2/KCNK4/KCNC1/KCNA1/KCNK10/GRIN2A/CACNA1H/KCNS3/CACNB4/KCNB1/SNAP25/KCNJ4/KCNH8/KCNAB1/KCNQ5/KCNH2/KCNV1/KCNQ3	19
male-biased	GO:0022836	gated channel activity	26/564	259/14247	1.29608087578261e-05	0.000768575959339087	0.000729898177414417	CHRNB2/KCND3/KCNIP2/KCNK4/KCNC1/KCNA1/KCNK10/GABRB3/GRIN2A/CACNA1H/KCNS3/CACNB4/KCNB1/SNAP25/KCNJ4/KCNH8/KCNAB1/GLRB/GLRA1/GABRA1/GABRB2/GABRG2/KCNQ5/KCNH2/KCNV1/KCNQ3	26
