Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
female-biased	GO:0007059	chromosome segregation	89/813	381/13491	9.44384191528847e-30	1.44182531288428e-26	1.38028992081955e-26	ASPM/ATM/AURKA/BRCA1/BRIP1/BUB1/BUB1B/CCNB1/CCNB2/CDC6/CDCA2/CDCA8/CDK5RAP2/CENPC/CENPE/CENPF/CENPI/CENPJ/CENPK/CENPL/CENPO/CENPP/CEP192/CEP85/CEP97/CHEK2/DDX3X/DLGAP5/DMC1/ECT2/ESCO2/ESPL1/FANCD2/GEN1/GPSM2/HJURP/INCENP/KIF11/KIF14/KIF18A/KIF18B/KIF23/KIF2C/KIF4A/KIFC1/KNTC1/MAP3K20/MKI67/MSH5/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/NDC80/NDE1/NUF2/NUP43/NUSAP1/PLK1/PRC1/RACGAP1/RAD18/SASS6/SGO1/SGO2/SKA1/SKA3/SMARCC1/SMC1A/SMC2/SMC4/SMC5/SPAG5/SPC25/STARD9/STIL/SYCE2/SYCP1/TEX14/TEX15/TOP2A/TOP3A/TPX2/TTK/TUBGCP3/TUBGCP4/USP9X/ZWINT	89
female-biased	GO:0050907	detection of chemical stimulus involved in sensory perception	41/813	78/13491	1.06282646140258e-29	1.44182531288428e-26	1.38028992081955e-26	CA6/OR10G3/OR10H1/OR10H5/OR11A1/OR14J1/OR1D2/OR1I1/OR1M1/OR2A5/OR2AG1/OR2AT4/OR2G6/OR2M3/OR2M4/OR2T12/OR2V2/OR4D9/OR4F17/OR52E4/OR52K1/OR56A1/OR5A1/OR5A2/OR5AN1/OR5AU1/OR5H14/OR6B1/OR6C4/OR6C75/OR6J1/OR6Y1/OR7A17/OR7C1/OR7D4/OR8A1/OR8D1/OR8G1/TAS2R10/TAS2R4/TAS2R5	41
female-biased	GO:0050911	detection of chemical stimulus involved in sensory perception of smell	37/813	62/13491	1.1553087442983e-29	1.44182531288428e-26	1.38028992081955e-26	OR10G3/OR10H1/OR10H5/OR11A1/OR14J1/OR1D2/OR1I1/OR1M1/OR2A5/OR2AG1/OR2AT4/OR2G6/OR2M3/OR2M4/OR2T12/OR2V2/OR4D9/OR4F17/OR52E4/OR52K1/OR56A1/OR5A1/OR5A2/OR5AN1/OR5AU1/OR5H14/OR6B1/OR6C4/OR6C75/OR6J1/OR6Y1/OR7A17/OR7C1/OR7D4/OR8A1/OR8D1/OR8G1	37
female-biased	GO:0007608	sensory perception of smell	41/813	79/13491	2.0855861578557e-29	1.95210864375293e-26	1.86879496513122e-26	CFAP69/NXNL2/OR10G3/OR10H1/OR10H5/OR11A1/OR14J1/OR1D2/OR1I1/OR1M1/OR2A5/OR2AG1/OR2AT4/OR2G6/OR2M3/OR2M4/OR2T12/OR2V2/OR4D9/OR4F17/OR52E4/OR52K1/OR56A1/OR5A1/OR5A2/OR5AN1/OR5AU1/OR5H14/OR6B1/OR6C4/OR6C75/OR6J1/OR6Y1/OR7A17/OR7C1/OR7D4/OR8A1/OR8D1/OR8G1/SYT10/TTC8	41
female-biased	GO:0007606	sensory perception of chemical stimulus	45/813	110/13491	1.50172443522985e-26	1.12449125710011e-23	1.07649930567529e-23	CA6/CFAP69/NXNL2/OR10G3/OR10H1/OR10H5/OR11A1/OR14J1/OR1D2/OR1I1/OR1M1/OR2A5/OR2AG1/OR2AT4/OR2G6/OR2M3/OR2M4/OR2T12/OR2V2/OR4D9/OR4F17/OR52E4/OR52K1/OR56A1/OR5A1/OR5A2/OR5AN1/OR5AU1/OR5H14/OR6B1/OR6C4/OR6C75/OR6J1/OR6Y1/OR7A17/OR7C1/OR7D4/OR8A1/OR8D1/OR8G1/SYT10/TAS2R10/TAS2R4/TAS2R5/TTC8	45
female-biased	GO:0000280	nuclear division	82/813	380/13491	5.79935993615519e-25	3.61880060016084e-22	3.46435448817691e-22	ANLN/ASPM/ATM/AURKA/BORA/BRCA2/BRIP1/BUB1/BUB1B/CCNB1/CCNB2/CDC14A/CDC25C/CDCA2/CDCA8/CDK5RAP2/CENPC/CENPE/CENPF/CENPI/CENPK/CEP192/CEP85/CEP97/CHEK1/CHEK2/DLGAP5/DMC1/EME1/EREG/ESPL1/FANCA/FANCD2/FANCM/GEN1/INCENP/KCTD19/KIF11/KIF14/KIF18A/KIF18B/KIF20B/KIF23/KIF2C/KIF4A/KIFC1/KNTC1/MKI67/MSH5/MTBP/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/NDC80/NDE1/NUF2/NUSAP1/PLK1/PRC1/RACGAP1/RAD51/RAD51AP1/RAD51B/RAD54L/SGO1/SKA1/SKA3/SMC1A/SMC2/SMC4/SPAG5/SPC25/SYCE2/SYCP1/TEX14/TEX15/TOP2A/TPX2/TTK/ZWINT	82
female-biased	GO:0009593	detection of chemical stimulus	42/813	106/13491	3.35961871950585e-24	1.79691606940427e-21	1.72022582555149e-21	CA6/CLEC7A/OR10G3/OR10H1/OR10H5/OR11A1/OR14J1/OR1D2/OR1I1/OR1M1/OR2A5/OR2AG1/OR2AT4/OR2G6/OR2M3/OR2M4/OR2T12/OR2V2/OR4D9/OR4F17/OR52E4/OR52K1/OR56A1/OR5A1/OR5A2/OR5AN1/OR5AU1/OR5H14/OR6B1/OR6C4/OR6C75/OR6J1/OR6Y1/OR7A17/OR7C1/OR7D4/OR8A1/OR8D1/OR8G1/TAS2R10/TAS2R4/TAS2R5	42
female-biased	GO:0050906	detection of stimulus involved in sensory perception	46/813	136/13491	5.65869727864985e-23	2.64827032640813e-20	2.53524529392141e-20	ADGRV1/CA6/CACNA1F/ITGA2/LHFPL5/OR10G3/OR10H1/OR10H5/OR11A1/OR14J1/OR1D2/OR1I1/OR1M1/OR2A5/OR2AG1/OR2AT4/OR2G6/OR2M3/OR2M4/OR2T12/OR2V2/OR4D9/OR4F17/OR52E4/OR52K1/OR56A1/OR5A1/OR5A2/OR5AN1/OR5AU1/OR5H14/OR6B1/OR6C4/OR6C75/OR6J1/OR6Y1/OR7A17/OR7C1/OR7D4/OR8A1/OR8D1/OR8G1/SCN11A/TAS2R10/TAS2R4/TAS2R5	46
female-biased	GO:0048285	organelle fission	83/813	423/13491	2.27659297521652e-22	9.47062677690074e-20	9.06643167323072e-20	ANLN/ASPM/ATM/AURKA/BORA/BRCA2/BRIP1/BUB1/BUB1B/C11orf65/CCNB1/CCNB2/CDC14A/CDC25C/CDCA2/CDCA8/CDK5RAP2/CENPC/CENPE/CENPF/CENPI/CENPK/CEP192/CEP85/CEP97/CHEK1/CHEK2/DLGAP5/DMC1/EME1/EREG/ESPL1/FANCA/FANCD2/FANCM/GEN1/INCENP/KCTD19/KIF11/KIF14/KIF18A/KIF18B/KIF20B/KIF23/KIF2C/KIF4A/KIFC1/KNTC1/MKI67/MSH5/MTBP/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/NDC80/NDE1/NUF2/NUSAP1/PLK1/PRC1/RACGAP1/RAD51/RAD51AP1/RAD51B/RAD54L/SGO1/SKA1/SKA3/SMC1A/SMC2/SMC4/SPAG5/SPC25/SYCE2/SYCP1/TEX14/TEX15/TOP2A/TPX2/TTK/ZWINT	83
female-biased	GO:0140014	mitotic nuclear division	62/813	258/13491	1.23680702797232e-21	4.63060551272838e-19	4.43297676867975e-19	ANLN/ATM/AURKA/BORA/BUB1/BUB1B/CCNB1/CDC14A/CDC25C/CDCA2/CDCA8/CDK5RAP2/CENPC/CENPE/CENPF/CENPI/CENPK/CEP192/CEP85/CEP97/CHEK1/CHEK2/DLGAP5/EREG/ESPL1/GEN1/INCENP/KIF11/KIF14/KIF18A/KIF18B/KIF20B/KIF23/KIF2C/KIF4A/KIFC1/KNTC1/MKI67/MTBP/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/NDC80/NDE1/NUF2/NUSAP1/PLK1/PRC1/RACGAP1/SKA1/SKA3/SMC1A/SMC2/SMC4/SPAG5/SPC25/TEX14/TPX2/TTK/ZWINT	62
