Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
female-biased	GO:0050907	detection of chemical stimulus involved in sensory perception	41/764	78/12994	3.85518369398933e-30	8.39185601931884e-27	8.02192013590602e-27	CA6/OR10G3/OR10H1/OR10H5/OR11A1/OR14J1/OR1D2/OR1I1/OR1M1/OR2A5/OR2AG1/OR2AT4/OR2G6/OR2M3/OR2M4/OR2T12/OR2V2/OR4D9/OR4F17/OR52E4/OR52K1/OR56A1/OR5A1/OR5A2/OR5AN1/OR5AU1/OR5H14/OR6B1/OR6C4/OR6C75/OR6J1/OR6Y1/OR7A17/OR7C1/OR7D4/OR8A1/OR8D1/OR8G1/TAS2R10/TAS2R4/TAS2R5	41
female-biased	GO:0050911	detection of chemical stimulus involved in sensory perception of smell	37/764	62/12994	4.58947553695316e-30	8.39185601931884e-27	8.02192013590602e-27	OR10G3/OR10H1/OR10H5/OR11A1/OR14J1/OR1D2/OR1I1/OR1M1/OR2A5/OR2AG1/OR2AT4/OR2G6/OR2M3/OR2M4/OR2T12/OR2V2/OR4D9/OR4F17/OR52E4/OR52K1/OR56A1/OR5A1/OR5A2/OR5AN1/OR5AU1/OR5H14/OR6B1/OR6C4/OR6C75/OR6J1/OR6Y1/OR7A17/OR7C1/OR7D4/OR8A1/OR8D1/OR8G1	37
female-biased	GO:0007608	sensory perception of smell	41/764	79/12994	7.57735411234583e-30	9.23679466294957e-27	8.82961158143878e-27	CFAP69/NXNL2/OR10G3/OR10H1/OR10H5/OR11A1/OR14J1/OR1D2/OR1I1/OR1M1/OR2A5/OR2AG1/OR2AT4/OR2G6/OR2M3/OR2M4/OR2T12/OR2V2/OR4D9/OR4F17/OR52E4/OR52K1/OR56A1/OR5A1/OR5A2/OR5AN1/OR5AU1/OR5H14/OR6B1/OR6C4/OR6C75/OR6J1/OR6Y1/OR7A17/OR7C1/OR7D4/OR8A1/OR8D1/OR8G1/SYT10/TTC8	41
female-biased	GO:0007059	chromosome segregation	84/764	371/12994	6.82825980490875e-28	6.24273652663782e-25	5.96753968739525e-25	ASPM/ATM/AURKA/BRCA1/BRIP1/BUB1/BUB1B/CCNB1/CCNB2/CDC6/CDCA2/CDCA8/CDK5RAP2/CENPC/CENPE/CENPF/CENPJ/CENPK/CENPL/CENPO/CENPP/CEP192/CEP85/CEP97/CHEK2/DLGAP5/DMC1/ECT2/ESCO2/ESPL1/FANCD2/GEN1/GPSM2/HJURP/INCENP/KIF11/KIF14/KIF18A/KIF18B/KIF23/KIF2C/KIFC1/KNTC1/MAP3K20/MKI67/MSH5/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/NDC80/NDE1/NUF2/NUP43/NUSAP1/PLK1/PRC1/RACGAP1/RAD18/SASS6/SGO1/SGO2/SKA1/SKA3/SMARCC1/SMC2/SMC4/SMC5/SPAG5/SPC25/STARD9/STIL/SYCE2/SYCP1/TEX14/TEX15/TOP2A/TOP3A/TPX2/TTK/TUBGCP3/TUBGCP4/ZWINT	84
female-biased	GO:0007606	sensory perception of chemical stimulus	45/764	110/12994	5.10083487692954e-27	3.73075062898626e-24	3.56628897395431e-24	CA6/CFAP69/NXNL2/OR10G3/OR10H1/OR10H5/OR11A1/OR14J1/OR1D2/OR1I1/OR1M1/OR2A5/OR2AG1/OR2AT4/OR2G6/OR2M3/OR2M4/OR2T12/OR2V2/OR4D9/OR4F17/OR52E4/OR52K1/OR56A1/OR5A1/OR5A2/OR5AN1/OR5AU1/OR5H14/OR6B1/OR6C4/OR6C75/OR6J1/OR6Y1/OR7A17/OR7C1/OR7D4/OR8A1/OR8D1/OR8G1/SYT10/TAS2R10/TAS2R4/TAS2R5/TTC8	45
female-biased	GO:0009593	detection of chemical stimulus	42/764	106/12994	1.23854202023675e-24	7.54891361334298e-22	7.216136928432e-22	CA6/CLEC7A/OR10G3/OR10H1/OR10H5/OR11A1/OR14J1/OR1D2/OR1I1/OR1M1/OR2A5/OR2AG1/OR2AT4/OR2G6/OR2M3/OR2M4/OR2T12/OR2V2/OR4D9/OR4F17/OR52E4/OR52K1/OR56A1/OR5A1/OR5A2/OR5AN1/OR5AU1/OR5H14/OR6B1/OR6C4/OR6C75/OR6J1/OR6Y1/OR7A17/OR7C1/OR7D4/OR8A1/OR8D1/OR8G1/TAS2R10/TAS2R4/TAS2R5	42
female-biased	GO:0000280	nuclear division	79/764	375/12994	4.27479007407935e-24	2.23327247155831e-21	2.13482373473947e-21	ANLN/ASPM/ATM/AURKA/BORA/BRCA2/BRIP1/BUB1/BUB1B/CCNB1/CCNB2/CDC14A/CDC25C/CDCA2/CDCA8/CDK5RAP2/CENPC/CENPE/CENPF/CENPK/CEP192/CEP85/CEP97/CHEK1/CHEK2/DLGAP5/DMC1/EME1/EREG/ESPL1/FANCA/FANCD2/FANCM/GEN1/INCENP/KCTD19/KIF11/KIF14/KIF18A/KIF18B/KIF20B/KIF23/KIF2C/KIFC1/KNTC1/MKI67/MSH5/MTBP/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/NDC80/NDE1/NUF2/NUSAP1/PLK1/PRC1/RACGAP1/RAD51/RAD51AP1/RAD51B/RAD54L/SGO1/SKA1/SKA3/SMC2/SMC4/SPAG5/SPC25/SYCE2/SYCP1/TEX14/TEX15/TOP2A/TPX2/TTK/ZWINT	79
female-biased	GO:0050906	detection of stimulus involved in sensory perception	45/764	134/12994	8.33000577057221e-23	3.80785388787282e-20	3.63999331106188e-20	ADGRV1/CA6/ITGA2/LHFPL5/OR10G3/OR10H1/OR10H5/OR11A1/OR14J1/OR1D2/OR1I1/OR1M1/OR2A5/OR2AG1/OR2AT4/OR2G6/OR2M3/OR2M4/OR2T12/OR2V2/OR4D9/OR4F17/OR52E4/OR52K1/OR56A1/OR5A1/OR5A2/OR5AN1/OR5AU1/OR5H14/OR6B1/OR6C4/OR6C75/OR6J1/OR6Y1/OR7A17/OR7C1/OR7D4/OR8A1/OR8D1/OR8G1/SCN11A/TAS2R10/TAS2R4/TAS2R5	45
female-biased	GO:0048285	organelle fission	80/764	418/12994	1.375531798363e-21	5.58924420734832e-19	5.34285509048365e-19	ANLN/ASPM/ATM/AURKA/BORA/BRCA2/BRIP1/BUB1/BUB1B/C11orf65/CCNB1/CCNB2/CDC14A/CDC25C/CDCA2/CDCA8/CDK5RAP2/CENPC/CENPE/CENPF/CENPK/CEP192/CEP85/CEP97/CHEK1/CHEK2/DLGAP5/DMC1/EME1/EREG/ESPL1/FANCA/FANCD2/FANCM/GEN1/INCENP/KCTD19/KIF11/KIF14/KIF18A/KIF18B/KIF20B/KIF23/KIF2C/KIFC1/KNTC1/MKI67/MSH5/MTBP/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/NDC80/NDE1/NUF2/NUSAP1/PLK1/PRC1/RACGAP1/RAD51/RAD51AP1/RAD51B/RAD54L/SGO1/SKA1/SKA3/SMC2/SMC4/SPAG5/SPC25/SYCE2/SYCP1/TEX14/TEX15/TOP2A/TPX2/TTK/ZWINT	80
female-biased	GO:0140014	mitotic nuclear division	59/764	253/12994	1.70126547826293e-20	6.22152785400754e-18	5.94726595085389e-18	ANLN/ATM/AURKA/BORA/BUB1/BUB1B/CCNB1/CDC14A/CDC25C/CDCA2/CDCA8/CDK5RAP2/CENPC/CENPE/CENPF/CENPK/CEP192/CEP85/CEP97/CHEK1/CHEK2/DLGAP5/EREG/ESPL1/GEN1/INCENP/KIF11/KIF14/KIF18A/KIF18B/KIF20B/KIF23/KIF2C/KIFC1/KNTC1/MKI67/MTBP/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/NDC80/NDE1/NUF2/NUSAP1/PLK1/PRC1/RACGAP1/SKA1/SKA3/SMC2/SMC4/SPAG5/SPC25/TEX14/TPX2/TTK/ZWINT	59
