Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
female-biased	GO:0000793	condensed chromosome	61/846	249/14085	8.24110274468316e-22	3.49422756374566e-19	3.1316190429796e-19	ADD3/AGO3/AHCTF1/AURKA/BLM/BRCA1/BRCA2/BUB1/BUB1B/CBX5/CCNB1/CDK2/CENPC/CENPE/CENPF/CENPI/CENPK/CENPL/CENPO/CENPP/CHEK1/DMC1/ERCC6L/FANCD2/HJURP/HUS1/INCENP/KIF18A/KIF2C/KNTC1/MKI67/MTBP/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/NDC80/NDE1/NUF2/NUP43/ORC2/PLK1/RAD51/SGO1/SGO2/SKA1/SKA3/SMARCC1/SMC1A/SMC2/SMC4/SMC5/SPAG5/SPC25/SYCE2/SYCP1/TEX14/TOP2A/TTK/ZWINT	61
female-biased	GO:0098687	chromosomal region	69/846	351/14085	7.950239612763e-19	1.68545079790576e-16	1.51054552642497e-16	AHCTF1/ATM/AURKA/BLM/BRCA2/BUB1/BUB1B/CBX5/CCNB1/CDCA8/CDK2/CENPC/CENPE/CENPF/CENPI/CENPK/CENPL/CENPO/CENPP/CHEK1/CHEK2/DMC1/DNA2/ERCC6L/ESCO2/EZH2/HELLS/HJURP/INCENP/KIF18A/KIF2C/KNTC1/MIS18BP1/MTBP/NCAPD2/NCAPD3/NCAPG/NDC80/NDE1/NLRP2/NUF2/NUP43/ORC1/ORC2/PIF1/PLK1/PRKDC/RAD51/RAD51AP1/SGO1/SGO2/SKA1/SKA3/SMARCC1/SMC1A/SMC4/SMC5/SPAG5/SPC25/SYCP1/TERT/TEX14/THOC2/THOC5/TOP2A/TTK/UHRF2/WRN/ZWINT	69
female-biased	GO:0000775	chromosome, centromeric region	51/846	225/14085	7.00605955581284e-17	9.90189750554882e-15	8.8743421040296e-15	AHCTF1/AURKA/BUB1/BUB1B/CBX5/CCNB1/CDCA8/CENPC/CENPE/CENPF/CENPI/CENPK/CENPL/CENPO/CENPP/ERCC6L/ESCO2/EZH2/HELLS/HJURP/INCENP/KIF18A/KIF2C/KNTC1/MIS18BP1/MTBP/NCAPD2/NCAPD3/NCAPG/NDC80/NDE1/NUF2/NUP43/ORC2/PLK1/SGO1/SGO2/SKA1/SKA3/SMARCC1/SMC1A/SMC4/SMC5/SPAG5/SPC25/SYCP1/TEX14/TOP2A/TTK/UHRF2/ZWINT	51
female-biased	GO:0000779	condensed chromosome, centromeric region	41/846	168/14085	5.46142503313618e-15	5.78911053512435e-13	5.18835378147937e-13	AHCTF1/AURKA/BUB1/BUB1B/CBX5/CCNB1/CENPC/CENPE/CENPF/CENPI/CENPK/CENPL/CENPO/CENPP/ERCC6L/HJURP/INCENP/KIF18A/KIF2C/KNTC1/MTBP/NCAPD2/NCAPD3/NCAPG/NDC80/NDE1/NUF2/NUP43/ORC2/PLK1/SGO1/SGO2/SKA1/SKA3/SMARCC1/SMC1A/SPAG5/SPC25/TEX14/TTK/ZWINT	41
female-biased	GO:0005819	spindle	65/846	386/14085	2.35021663948081e-14	1.99298371027972e-12	1.78616464600541e-12	ALMS1/ALPK1/ASPM/ATM/AURKA/BORA/BUB1B/CCNB1/CDC14A/CDC6/CDCA8/CDK5RAP2/CENPE/CENPF/CEP85/CKAP2/CKAP2L/CNTRL/DCDC1/DDX11/DLGAP5/ECT2/EFHC1/ESPL1/GPSM2/HMMR/INCENP/INPPL1/INVS/KIF11/KIF14/KIF15/KIF18A/KIF18B/KIF20A/KIF20B/KIF23/KIF2C/KIF4A/KIFC1/KNTC1/MAK/MAP7D3/MID1/NDE1/NEDD1/NUSAP1/PARP4/PLK1/PRC1/PTPN7/RACGAP1/SGO1/SHCBP1/SKA1/SKA3/SMC1A/SPAG5/TBL1X/TFDP2/TPX2/TTK/TUBGCP3/TUBGCP4/WDR62	65
female-biased	GO:0000776	kinetochore	38/846	157/14085	7.27489915493682e-14	5.14092873615535e-12	4.60743613145998e-12	AHCTF1/AURKA/BUB1/BUB1B/CBX5/CCNB1/CENPC/CENPE/CENPF/CENPI/CENPK/CENPL/CENPO/CENPP/ERCC6L/HJURP/INCENP/KIF18A/KIF2C/KNTC1/MTBP/NDC80/NDE1/NUF2/NUP43/ORC2/PLK1/SGO1/SGO2/SKA1/SKA3/SMARCC1/SMC1A/SPAG5/SPC25/TEX14/TTK/ZWINT	38
female-biased	GO:0000228	nuclear chromosome	42/846	203/14085	1.07064060684563e-12	6.48502310432208e-11	5.81204900859054e-11	ADD3/AGO3/ANP32E/BLM/BRCA1/BRCA2/CDC45/CHD1/CHEK1/DMC1/EME1/FIRRE/GINS1/GINS4/HDAC1/HUS1/INCENP/INO80D/MCM10/MMS22L/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/ORC1/ORC2/ORC6/PLK1/POLA1/POLA2/POLE2/RAD51/SETD5/SMC1A/SMC2/SMC4/SYCE2/SYCP1/TIMELESS/TOP2A/WDHD1	42
female-biased	GO:0072686	mitotic spindle	35/846	166/14085	4.82046605477492e-11	2.55484700903071e-09	2.28972137601809e-09	ASPM/AURKA/CDC14A/CDC6/CDK5RAP2/CENPE/CKAP2/CKAP2L/CNTRL/DCDC1/DLGAP5/ECT2/EFHC1/ESPL1/GPSM2/KIF11/KIF18A/KIF18B/KIF20B/KIF23/KIFC1/MAK/NUSAP1/PLK1/PRC1/PTPN7/RACGAP1/SKA1/SKA3/SMC1A/SPAG5/TBL1X/TFDP2/TPX2/WDR62	35
female-biased	GO:0000794	condensed nuclear chromosome	21/846	64/14085	6.13770743554889e-11	2.89154216963637e-09	2.59147647278731e-09	ADD3/AGO3/BLM/BRCA1/BRCA2/CHEK1/DMC1/HUS1/INCENP/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/PLK1/RAD51/SMC1A/SMC2/SMC4/SYCE2/SYCP1	21
female-biased	GO:0000940	outer kinetochore	11/846	19/14085	1.6690363476257e-09	7.07671411393296e-08	6.34233812097765e-08	BUB1/BUB1B/CCNB1/CENPF/NDC80/NUF2/PLK1/SKA1/SKA3/SPC25/ZWINT	11
