Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
female-biased	GO:0004984	olfactory receptor activity	37/820	60/13859	1.07610269458619e-30	7.00542854175608e-28	6.79643807107066e-28	OR10G3/OR10H1/OR10H5/OR11A1/OR14J1/OR1D2/OR1I1/OR1M1/OR2A5/OR2AG1/OR2AT4/OR2G6/OR2M3/OR2M4/OR2T12/OR2V2/OR4D9/OR4F17/OR52E4/OR52K1/OR56A1/OR5A1/OR5A2/OR5AN1/OR5AU1/OR5H14/OR6B1/OR6C4/OR6C75/OR6J1/OR6Y1/OR7A17/OR7C1/OR7D4/OR8A1/OR8D1/OR8G1	37
female-biased	GO:0004930	G protein-coupled receptor activity	55/820	335/13859	3.87550695313901e-12	1.26147751324675e-09	1.22384430099127e-09	ACKR2/ADGRE2/ADGRV1/AR/CCR4/CELSR1/F2RL3/GLP1R/GPR157/GPR63/GRM8/NMUR1/OR10G3/OR10H1/OR10H5/OR11A1/OR14J1/OR1D2/OR1I1/OR1M1/OR2A5/OR2AG1/OR2AT4/OR2G6/OR2M3/OR2M4/OR2T12/OR2V2/OR4D9/OR4F17/OR52E4/OR52K1/OR56A1/OR5A1/OR5A2/OR5AN1/OR5AU1/OR5H14/OR6B1/OR6C4/OR6C75/OR6J1/OR6Y1/OR7A17/OR7C1/OR7D4/OR8A1/OR8D1/OR8G1/RGR/TAS2R10/TAS2R20/TAS2R4/TAS2R5/TSHR	55
female-biased	GO:0003777	microtubule motor activity	20/820	64/13859	3.61834343044752e-10	5.99910106820657e-08	5.82013200893191e-08	CENPE/DNAH11/DNAH12/DNAH14/DNHD1/DYNC2H1/KIF11/KIF14/KIF15/KIF18A/KIF18B/KIF20A/KIF20B/KIF23/KIF24/KIF27/KIF2C/KIF4A/KIFC1/STARD9	20
female-biased	GO:0008094	ATP-dependent activity, acting on DNA	27/820	114/13859	3.68608360565688e-10	5.99910106820657e-08	5.82013200893191e-08	ATAD5/BLM/BRIP1/CECR2/CHD1/CHD6/CHD7/DDX11/DDX3X/DMC1/DNA2/ERCC6L/FANCM/HELLS/MCM8/MSH5/PIF1/POLQ/RAD51/RAD51B/RAD54L/RFC5/TOP2A/TTF2/WRN/XRCC2/ZGRF1	27
female-biased	GO:0016887	ATP hydrolysis activity	53/820	373/13859	2.24604381804933e-09	2.44698188987835e-07	2.37398194506753e-07	ABCB11/ABCC2/ABCC6/ABCG8/ACIN1/AK9/ATAD2/ATAD5/ATP1A4/ATP2B4/ATP9B/BLM/BRIP1/CDC6/CFTR/CHD1/CHD6/CHD7/DDX11/DDX3X/DHX40/DMC1/DNA2/DNAH11/DNAH12/DYNC2H1/ERCC6L/FANCM/KIF14/KIF15/KIF18A/KIF18B/KIF20A/KIF20B/KIF23/KIF27/KIF2C/KIFC1/MCM8/MORC4/MOV10/ORC1/PIF1/POLQ/RAD51/RAD51B/RAD54L/RFC5/SMC1A/SMC2/SMC4/SMC5/WRN	53
female-biased	GO:0015631	tubulin binding	51/820	352/13859	2.30929056249894e-09	2.44698188987835e-07	2.37398194506753e-07	ALMS1/BRCA1/BRCA2/CDK5RAP2/CENPE/CENPF/CENPJ/CEP135/DCDC1/DDX3X/DLGAP5/DNAL1/EFHC1/GTSE1/KIF11/KIF14/KIF15/KIF18A/KIF18B/KIF20A/KIF20B/KIF23/KIF24/KIF27/KIF2C/KIF4A/KIFC1/KRIT1/MAP7D3/MDM1/MID1/MX2/NDC80/NDE1/NEDD1/NUF2/NUSAP1/OFD1/PLK1/PRC1/RACGAP1/SKA1/SKA3/SPAG5/STARD9/STMND1/TBCEL/TOGARAM2/TTLL4/TUBGCP3/TUBGCP4	51
female-biased	GO:0003774	cytoskeletal motor activity	24/820	100/13859	2.63116332244984e-09	2.44698188987835e-07	2.37398194506753e-07	CENPE/DNAH11/DNAH12/DNAH14/DNAI1/DNHD1/DYNC2H1/KIF11/KIF14/KIF15/KIF18A/KIF18B/KIF20A/KIF20B/KIF23/KIF24/KIF27/KIF2C/KIF4A/KIFC1/MYH11/MYO3A/MYO5C/STARD9	24
female-biased	GO:0140097	catalytic activity, acting on DNA	38/820	227/13859	5.04141388360283e-09	4.1024505477818e-07	3.98006359231802e-07	ATAD5/BLM/BRIP1/CECR2/CHD1/CHD6/CHD7/DCLRE1C/DDX11/DDX3X/DMC1/DNA2/EME1/ERCC6L/EXO1/FANCM/GEN1/HELLS/MCM8/METTL4/MSH5/NEIL3/PIF1/POLA1/POLE2/POLH/POLQ/RAD51/RAD51B/RAD54L/RFC5/TERT/TOP2A/TOP3A/TTF2/WRN/XRCC2/ZGRF1	38
female-biased	GO:0008017	microtubule binding	40/820	258/13859	1.89092308615843e-08	1.36776769898793e-06	1.32696356923399e-06	ALMS1/CDK5RAP2/CENPE/CENPF/CEP135/DCDC1/DLGAP5/GTSE1/KIF11/KIF14/KIF15/KIF18A/KIF18B/KIF20A/KIF20B/KIF23/KIF24/KIF27/KIF2C/KIF4A/KIFC1/KRIT1/MAP7D3/MDM1/MID1/MX2/NDC80/NDE1/NUF2/NUSAP1/PLK1/PRC1/RACGAP1/SKA1/SKA3/SPAG5/STARD9/TOGARAM2/TUBGCP3/TUBGCP4	40
female-biased	GO:0003697	single-stranded DNA binding	21/820	111/13859	1.84306369293493e-06	0.000119983446410064	0.00011640402271168	BLM/BRCA2/CDC45/DDX11/DMC1/FAM111A/MCM10/MCM8/MMS22L/NEIL3/POLA1/PURB/RAD18/RAD51/RAD51AP1/RAD51B/RAD54L/SMC2/SMC4/SMC5/TOP3A	21
