Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
prenatal-specific female-biased	GO:0022402	cell cycle process	106/430	269/2555	3.25150391906885e-21	5.5633232055268e-18	4.88410115001184e-18	NCAPD2/ANLN/BRCA1/USP28/ATP2B4/ASPM/RAD18/NDE1/GTSE1/WDR62/SPAG5/CDC14A/RAD54L/AURKA/CLSPN/CDC45/CDC6/EFHC1/CECR2/GINS1/CEP152/CDK6/NCAPG/FOXM1/RAD51AP1/MDM1/TIMELESS/KIF20A/SMC4/ECT2/CENPF/CENPL/NCAPH/KIF18A/GPSM2/ZWINT/STIL/HJURP/TUBGCP3/STK33/CEP85/TOP2A/TEX15/CCNB1/ROCK2/CDCA8/ESPL1/CKAP2/BORA/HUS1/BRIP1/SMC2/CDK5RAP2/MDC1/NUSAP1/KIF23/TUBGCP4/CENPO/KIF11/KIF20B/DNA2/BRCA2/TICRR/PLK4/KIF2C/NUF2/FANCD2/CENPC/SKP2/NCAPG2/MKI67/INCENP/CHEK1/NCAPD3/CENPJ/EME1/SASS6/BUB1B/CCNB2/STARD9/DBF4B/RACGAP1/SYCE2/SGO2/WRN/SKA3/E2F7/PCLAF/PLK1/BUB1/SMARCC1/CEP135/ATAD5/RTTN/TOP3A/GEN1/RAD51B/CEP97/KNTC1/FANCA/CENPP/XRCC2/PRC1/KIFC1/PRKDC/STRADA	106
prenatal-specific female-biased	GO:0007059	chromosome segregation	61/430	112/2555	1.10821611368001e-20	9.4807888525325e-18	8.32328628537566e-18	NCAPD2/BRCA1/ASPM/RAD18/NDE1/SPAG5/AURKA/CDC6/NCAPG/SMC4/ECT2/CENPF/CENPL/NCAPH/KIF18A/GPSM2/ZWINT/STIL/HJURP/TUBGCP3/CEP85/TOP2A/TEX15/CCNB1/CDCA8/ESPL1/BRIP1/SMC2/CDK5RAP2/NUSAP1/KIF23/TUBGCP4/CENPO/KIF11/KIF2C/NUF2/FANCD2/CENPC/NCAPG2/MKI67/INCENP/NCAPD3/CENPJ/SASS6/BUB1B/CCNB2/STARD9/RACGAP1/SYCE2/SGO2/SKA3/PLK1/BUB1/SMARCC1/TOP3A/GEN1/CEP97/KNTC1/CENPP/PRC1/KIFC1	61
prenatal-specific female-biased	GO:0007049	cell cycle	123/430	361/2555	2.16260909543486e-18	1.23340805409635e-15	1.08282216813528e-15	NCAPD2/ANLN/BRCA1/USP28/ATP2B4/HIPK2/ASPM/PRR11/RAD18/NDE1/GTSE1/WDR62/SPAG5/CDC14A/RAD54L/AURKA/CLSPN/CDC45/CDC6/EFHC1/CECR2/GINS1/CEP152/CDK6/NCAPG/FOXM1/RAD51AP1/MDM1/TIMELESS/NR2E1/KIF20A/SMC4/TFDP2/ECT2/INO80D/PARD3B/CENPF/CNTRL/HELLS/CENPL/NCAPH/KIF18A/GPSM2/ZWINT/STIL/HJURP/MCM8/TUBGCP3/AJUBA/STK33/CEP85/TOP2A/TEX15/CCNB1/ROCK2/CDCA8/ESPL1/CKAP2/BORA/HUS1/BRIP1/SMC2/CDK5RAP2/MDC1/NUSAP1/KIF23/TUBGCP4/CENPO/KIF11/KIF20B/DNA2/MNS1/NEDD1/BRCA2/FANCI/TICRR/PLK4/KIF2C/NUF2/FANCD2/CENPC/SKP2/NCAPG2/PARD3/MKI67/INCENP/CHEK1/NCAPD3/CENPJ/EME1/SASS6/BUB1B/CCNB2/STARD9/DBF4B/RACGAP1/SYCE2/SGO2/WRN/SKA3/E2F7/PCLAF/PLK1/BUB1/SMARCC1/STAT5B/CEP135/ATAD5/RTTN/TOP3A/GEN1/RAD51B/CEP97/KNTC1/LMLN/FANCA/CENPP/XRCC2/MDM4/PRC1/KIFC1/PRKDC/STRADA	123
prenatal-specific female-biased	GO:0000280	nuclear division	54/430	110/2555	1.01678284284735e-15	3.46776768249385e-13	3.04439046597479e-13	NCAPD2/ANLN/ASPM/NDE1/SPAG5/CDC14A/RAD54L/AURKA/NCAPG/RAD51AP1/SMC4/CENPF/NCAPH/KIF18A/ZWINT/CEP85/TOP2A/TEX15/CCNB1/CDCA8/ESPL1/BORA/BRIP1/SMC2/CDK5RAP2/NUSAP1/KIF23/KIF11/KIF20B/BRCA2/KIF2C/NUF2/FANCD2/CENPC/NCAPG2/MKI67/INCENP/CHEK1/NCAPD3/EME1/BUB1B/CCNB2/RACGAP1/SYCE2/SKA3/PLK1/BUB1/GEN1/RAD51B/CEP97/KNTC1/FANCA/PRC1/KIFC1	54
prenatal-specific female-biased	GO:0051276	chromosome organization	63/430	141/2555	1.11110337825672e-15	3.46776768249385e-13	3.04439046597479e-13	NCAPD2/POLQ/SPAG5/MAP3K4/RAD54L/CDC45/CDC6/ACIN1/GINS1/NCAPG/RFC5/SMC4/INO80D/CENPF/NCAPH/KIF18A/ZWINT/HJURP/MCM8/TOP2A/TEX15/CCNB1/CDCA8/ESPL1/HUS1/BRIP1/SMC2/CDK5RAP2/NUSAP1/KIF23/CENPO/KIF11/DNA2/ZGRF1/BRCA2/PIF1/KIF2C/NUF2/FANCD2/CENPC/NAF1/NCAPG2/GINS4/INCENP/NCAPD3/DCLRE1C/BUB1B/RACGAP1/SYCE2/SGO2/WRN/SKA3/PLK1/BUB1/SMARCC1/TOP3A/GEN1/CEP97/KNTC1/CENPP/PRC1/KIFC1/PRKDC	63
prenatal-specific female-biased	GO:0010564	regulation of cell cycle process	72/430	174/2555	1.21604945031929e-15	3.46776768249385e-13	3.04439046597479e-13	NCAPD2/ANLN/BRCA1/USP28/ATP2B4/RAD18/GTSE1/WDR62/SPAG5/CDC14A/AURKA/CLSPN/CDC45/CDC6/CDK6/NCAPG/RAD51AP1/MDM1/TIMELESS/KIF20A/SMC4/ECT2/CENPF/NCAPH/GPSM2/ZWINT/STIL/STK33/CEP85/CCNB1/ROCK2/CDCA8/ESPL1/BORA/HUS1/BRIP1/SMC2/CDK5RAP2/MDC1/NUSAP1/KIF23/KIF11/KIF20B/DNA2/BRCA2/TICRR/PLK4/KIF2C/NUF2/FANCD2/NCAPG2/MKI67/INCENP/CHEK1/NCAPD3/CENPJ/EME1/SASS6/BUB1B/DBF4B/RACGAP1/E2F7/PLK1/BUB1/SMARCC1/ATAD5/GEN1/RAD51B/CEP97/KNTC1/PRC1/PRKDC	72
prenatal-specific female-biased	GO:1903047	mitotic cell cycle process	75/430	187/2555	2.21473467553053e-15	5.41344432833248e-13	4.752520875161e-13	NCAPD2/ANLN/BRCA1/NDE1/GTSE1/WDR62/SPAG5/CDC14A/AURKA/CLSPN/CDC45/CDC6/EFHC1/GINS1/CDK6/NCAPG/FOXM1/KIF20A/SMC4/ECT2/CENPF/NCAPH/KIF18A/GPSM2/ZWINT/STIL/STK33/CEP85/CCNB1/ROCK2/CDCA8/ESPL1/CKAP2/BORA/HUS1/SMC2/CDK5RAP2/MDC1/NUSAP1/KIF23/KIF11/KIF20B/DNA2/BRCA2/TICRR/KIF2C/NUF2/FANCD2/CENPC/SKP2/NCAPG2/MKI67/INCENP/CHEK1/NCAPD3/CENPJ/EME1/SASS6/BUB1B/CCNB2/DBF4B/RACGAP1/SKA3/E2F7/PLK1/BUB1/SMARCC1/ATAD5/GEN1/RAD51B/CEP97/KNTC1/PRC1/KIFC1/PRKDC	75
prenatal-specific female-biased	GO:0051726	regulation of cell cycle	84/430	228/2555	1.34403835463894e-14	2.87456203098402e-12	2.52360885798653e-12	NCAPD2/ANLN/BRCA1/USP28/ATP2B4/HIPK2/ASPM/PRR11/RAD18/GTSE1/WDR62/SPAG5/CDC14A/AURKA/CLSPN/CDC45/CDC6/CDK6/NCAPG/FOXM1/RAD51AP1/MDM1/TIMELESS/NR2E1/KIF20A/SMC4/TFDP2/ECT2/INO80D/CENPF/NCAPH/GPSM2/ZWINT/STIL/STK33/CEP85/CCNB1/ROCK2/CDCA8/ESPL1/BORA/HUS1/BRIP1/SMC2/CDK5RAP2/MDC1/NUSAP1/KIF23/KIF11/KIF20B/DNA2/BRCA2/TICRR/PLK4/KIF2C/NUF2/FANCD2/SKP2/NCAPG2/MKI67/INCENP/CHEK1/NCAPD3/CENPJ/EME1/SASS6/BUB1B/CCNB2/DBF4B/RACGAP1/E2F7/PCLAF/PLK1/BUB1/SMARCC1/STAT5B/ATAD5/GEN1/RAD51B/CEP97/KNTC1/MDM4/PRC1/PRKDC	84
prenatal-specific female-biased	GO:0000226	microtubule cytoskeleton organization	64/430	152/2555	2.21035594266862e-14	4.20213224211779e-12	3.68909699437207e-12	BRCA1/ASPM/NDE1/WDR62/SPAG5/CDC14A/AURKA/EFHC1/CEP152/CFAP69/MDM1/KIF20A/PARD3B/DNAL1/KIF18A/GPSM2/DNAI1/STIL/TUBGCP3/CEP85/CCNB1/ROCK2/CDCA8/ESPL1/TTLL4/CKAP2/BORA/CDK5RAP2/NUSAP1/KIF23/TUBGCP4/KIF11/MNS1/NEDD1/BRCA2/SS18/PLK4/KIF2C/NUF2/PARD3/TTC12/INCENP/CHEK1/CENPJ/TBCEL/SASS6/HYDIN/CCNB2/STARD9/RACGAP1/SKA3/PCLAF/PLK1/CEP135/RTTN/GEN1/CEP97/KIF24/FSIP2/TOGARAM2/XRCC2/PRC1/CFAP44/KIFC1	64
prenatal-specific female-biased	GO:0000278	mitotic cell cycle	80/430	215/2555	3.4652580420017e-14	5.9290565098649e-12	5.20518234309097e-12	NCAPD2/ANLN/BRCA1/NDE1/GTSE1/WDR62/SPAG5/CDC14A/AURKA/CLSPN/CDC45/CDC6/EFHC1/GINS1/CDK6/NCAPG/FOXM1/KIF20A/SMC4/ECT2/CENPF/NCAPH/KIF18A/GPSM2/ZWINT/STIL/TUBGCP3/STK33/CEP85/CCNB1/ROCK2/CDCA8/ESPL1/CKAP2/BORA/HUS1/SMC2/CDK5RAP2/MDC1/NUSAP1/KIF23/TUBGCP4/KIF11/KIF20B/DNA2/NEDD1/BRCA2/TICRR/KIF2C/NUF2/FANCD2/CENPC/SKP2/NCAPG2/MKI67/INCENP/CHEK1/NCAPD3/CENPJ/EME1/SASS6/BUB1B/CCNB2/DBF4B/RACGAP1/SKA3/E2F7/PLK1/BUB1/SMARCC1/STAT5B/ATAD5/GEN1/RAD51B/CEP97/KNTC1/XRCC2/PRC1/KIFC1/PRKDC	80
prenatal-specific female-biased	GO:0048285	organelle fission	55/430	123/2555	8.78889602857002e-14	1.36707282771666e-11	1.20016790744205e-11	NCAPD2/ANLN/ASPM/NDE1/SPAG5/CDC14A/RAD54L/AURKA/NCAPG/RAD51AP1/SMC4/CENPF/NCAPH/KIF18A/ZWINT/CEP85/TOP2A/TEX15/CCNB1/CDCA8/ESPL1/BORA/BRIP1/SMC2/CDK5RAP2/NUSAP1/KIF23/KIF11/KIF20B/BRCA2/KIF2C/NUF2/FANCD2/CENPC/NCAPG2/MKI67/INCENP/CHEK1/NCAPD3/EME1/BUB1B/CCNB2/RACGAP1/SYCE2/SKA3/C11orf65/PLK1/BUB1/GEN1/RAD51B/CEP97/KNTC1/FANCA/PRC1/KIFC1	55
prenatal-specific female-biased	GO:0007017	microtubule-based process	80/430	222/2555	2.74524319091522e-13	3.91425924971329e-11	3.43637020476844e-11	BRCA1/ATP2B4/ASPM/NDE1/GTSE1/WDR62/SPAG5/CDC14A/AURKA/EFHC1/CEP152/CFAP69/DNAH11/MDM1/KIF20A/NPHP3/PARD3B/WDR35/DNAL1/KIF18A/GPSM2/DNAI1/STIL/TTC21B/TUBGCP3/CEP85/CCNB1/ROCK2/CDCA8/ESPL1/TTLL4/CKAP2/BORA/CDK5RAP2/NUSAP1/KIF23/TUBGCP4/KIF11/KIF20B/MNS1/NEDD1/BRCA2/SS18/PLK4/KIF2C/NUF2/WDPCP/PARD3/TTC12/INCENP/CHEK1/ENKUR/CENPJ/TBCEL/SASS6/HYDIN/CCNB2/STARD9/RACGAP1/FYCO1/INTU/KIF27/SKA3/PCLAF/PLK1/CEP135/RTTN/GEN1/DNHD1/CEP97/KIF24/DYNC2H1/CFAP54/FSIP2/TOGARAM2/XRCC2/VPS13A/PRC1/CFAP44/KIFC1	80
