Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
prenatal-specific female-biased	GO:0005694	chromosome	108/448	288/2685	8.34169819697376e-20	2.21889172039502e-17	1.87907727805514e-17	NCAPD2/BRCA1/POLQ/RAD18/NDE1/KDM5A/SPAG5/AURKA/RFX2/ORC6/ZFHX4/CDC45/CBX5/CECR2/THOC5/POLE2/NFATC4/VSX1/GINS1/NFAT5/NCAPG/FOXM1/RAD51AP1/RFC5/TIMELESS/NR2E1/SMAD5/SMC4/TFDP2/BBX/INO80D/ORC2/HDAC1/CENPF/TGIF2/PROX2/HELLS/CENPL/NCAPH/LHX4/KIF18A/ZWINT/HJURP/CHD6/MCM8/AGO3/HP1BP3/ICE2/TOP2A/CCNB1/CDCA8/HUS1/SMC2/MDC1/NUSAP1/CENPO/DNA2/ZGRF1/BRCA2/ESR2/PIF1/FANCI/SS18/PLK4/KIF2C/NUF2/RFX5/ANP32E/FANCD2/CENPC/MMS22L/CREB5/NCAPG2/GINS4/ADD3/MKI67/INCENP/CHEK1/NCAPD3/CHD1/EME1/BUB1B/ELK4/SYCE2/SGO2/WRN/SKA3/E2F7/PLK1/SETD5/BUB1/POLH/CHD7/SMARCC1/STAT5B/ATAD5/TOP3A/CREB3L2/RAD51B/KNTC1/SP1/TEAD1/FANCA/CENPP/FAM47E/XRCC2/PRC1/PRKDC	108
prenatal-specific female-biased	GO:0000228	nuclear chromosome	31/448	49/2685	1.88924069329655e-13	2.51269012208441e-11	2.12788162297611e-11	NCAPD2/BRCA1/ORC6/CDC45/POLE2/GINS1/NCAPG/TIMELESS/SMC4/INO80D/ORC2/HDAC1/NCAPH/AGO3/TOP2A/HUS1/SMC2/BRCA2/ANP32E/MMS22L/NCAPG2/GINS4/ADD3/INCENP/CHEK1/NCAPD3/CHD1/EME1/SYCE2/PLK1/SETD5	31
prenatal-specific female-biased	GO:0000793	condensed chromosome	41/448	81/2685	8.16614865376842e-13	7.24065180634134e-11	6.1317747786191e-11	NCAPD2/BRCA1/NDE1/SPAG5/AURKA/CBX5/NCAPG/SMC4/ORC2/CENPF/CENPL/NCAPH/KIF18A/ZWINT/HJURP/AGO3/TOP2A/CCNB1/HUS1/SMC2/CENPO/BRCA2/KIF2C/NUF2/FANCD2/CENPC/NCAPG2/ADD3/MKI67/INCENP/CHEK1/NCAPD3/BUB1B/SYCE2/SGO2/SKA3/PLK1/BUB1/SMARCC1/KNTC1/CENPP	41
prenatal-specific female-biased	GO:0015630	microtubule cytoskeleton	95/448	306/2685	2.26830882455428e-11	1.5084253683286e-09	1.27741602224899e-09	BRCA1/MPHOSPH9/ASPM/RAD18/NDE1/ALPK1/GTSE1/WDR62/SPAG5/CDC14A/AURKA/CDC45/CDC6/EFHC1/PARP4/CEP152/CDK6/DNAH11/ANKRD26/MDM1/KIF20A/TFDP2/ECT2/ORC2/CENPF/TGIF2/WDR35/CNTRL/INVS/DNAL1/KIF18A/GPSM2/DNAI1/STIL/TUBGCP3/AJUBA/CEP85/TOP2A/CCNB1/ROCK2/CDCA8/ESPL1/TTLL4/CKAP2/BORA/CDK5RAP2/NUSAP1/KIF23/TUBGCP4/KIF11/KIF20B/MNS1/SHROOM3/NEDD1/BRCA2/SS18/PLK4/KIF2C/PTPN7/TTC12/INCENP/CHEK1/ENKUR/TEX9/CENPJ/SASS6/BUB1B/CCNB2/STARD9/RACGAP1/INTU/KIF27/WRN/INPPL1/SKA3/TTC8/PCLAF/PLK1/PROSER3/CEP135/LRRC25/RTTN/GEN1/DNHD1/RELL1/CEP97/KNTC1/KIF24/ZNF397/DYNC2H1/TOGARAM2/XRCC2/SFI1/PRC1/KIFC1	95
prenatal-specific female-biased	GO:0005814	centriole	21/448	30/2685	1.00671144455947e-10	5.3557048850564e-09	4.53549998180478e-09	MPHOSPH9/WDR62/AURKA/CEP152/MDM1/STIL/TUBGCP3/CEP85/TOP2A/NEDD1/PLK4/CENPJ/SASS6/STARD9/INTU/PLK1/CEP135/RTTN/CEP97/KIF24/SFI1	21
prenatal-specific female-biased	GO:0000794	condensed nuclear chromosome	16/448	20/2685	7.20129978331079e-10	3.19257623726778e-08	2.70364588355879e-08	NCAPD2/BRCA1/NCAPG/SMC4/NCAPH/AGO3/HUS1/SMC2/BRCA2/NCAPG2/ADD3/INCENP/CHEK1/NCAPD3/SYCE2/PLK1	16
prenatal-specific female-biased	GO:0005813	centrosome	60/448	172/2685	1.42958554328182e-09	5.43242506447092e-08	4.6004707708618e-08	MPHOSPH9/ASPM/RAD18/NDE1/ALPK1/WDR62/SPAG5/CDC14A/AURKA/CDC45/EFHC1/CEP152/CDK6/ANKRD26/MDM1/ECT2/ORC2/CENPF/TGIF2/WDR35/CNTRL/KIF18A/GPSM2/DNAI1/STIL/TUBGCP3/AJUBA/CEP85/CCNB1/ROCK2/ESPL1/CKAP2/CDK5RAP2/KIF23/TUBGCP4/KIF20B/NEDD1/BRCA2/PLK4/KIF2C/TTC12/CHEK1/TEX9/CENPJ/SASS6/BUB1B/CCNB2/WRN/SKA3/TTC8/PCLAF/PLK1/PROSER3/CEP135/RTTN/GEN1/CEP97/KIF24/XRCC2/KIFC1	60
prenatal-specific female-biased	GO:0005815	microtubule organizing center	66/448	198/2685	1.75526608640223e-09	5.83625973728741e-08	4.94245976960627e-08	BRCA1/MPHOSPH9/ASPM/RAD18/NDE1/ALPK1/WDR62/SPAG5/CDC14A/AURKA/CDC45/EFHC1/CEP152/CDK6/ANKRD26/MDM1/ECT2/ORC2/CENPF/TGIF2/WDR35/CNTRL/KIF18A/GPSM2/DNAI1/STIL/TUBGCP3/AJUBA/CEP85/TOP2A/CCNB1/ROCK2/ESPL1/TTLL4/CKAP2/CDK5RAP2/KIF23/TUBGCP4/KIF20B/NEDD1/BRCA2/PLK4/KIF2C/TTC12/CHEK1/TEX9/CENPJ/SASS6/BUB1B/CCNB2/STARD9/INTU/WRN/SKA3/TTC8/PCLAF/PLK1/PROSER3/CEP135/RTTN/GEN1/CEP97/KIF24/XRCC2/SFI1/KIFC1	66
prenatal-specific female-biased	GO:0098687	chromosomal region	39/448	94/2685	5.56948823970926e-09	1.57228433800852e-07	1.33149524469261e-07	NCAPD2/NDE1/SPAG5/AURKA/CBX5/THOC5/NCAPG/RAD51AP1/SMC4/ORC2/CENPF/HELLS/CENPL/KIF18A/ZWINT/HJURP/TOP2A/CCNB1/CDCA8/CENPO/DNA2/BRCA2/PIF1/KIF2C/NUF2/CENPC/INCENP/CHEK1/NCAPD3/BUB1B/SGO2/WRN/SKA3/PLK1/BUB1/SMARCC1/KNTC1/CENPP/PRKDC	39
prenatal-specific female-biased	GO:0032993	protein-DNA complex	57/448	165/2685	5.91084337597188e-09	1.57228433800852e-07	1.33149524469261e-07	KDM5A/RFX2/ZFHX4/CDC45/CBX5/CECR2/NFATC4/VSX1/GINS1/NFAT5/FOXM1/RAD51AP1/TIMELESS/NR2E1/SMAD5/TFDP2/BBX/INO80D/ORC2/HDAC1/CENPF/TGIF2/PROX2/HELLS/LHX4/CHD6/HP1BP3/ICE2/SMC2/ESR2/FANCI/SS18/RFX5/ANP32E/FANCD2/CENPC/MMS22L/CREB5/GINS4/INCENP/CHEK1/NCAPD3/CHD1/EME1/ELK4/E2F7/PLK1/SETD5/CHD7/SMARCC1/STAT5B/CREB3L2/SP1/TEAD1/FANCA/FAM47E/PRKDC	57
