Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
prenatal-specific female-biased	GO:0003677	DNA binding	109/435	328/2641	6.64120663428496e-16	1.70679010501124e-13	1.46106545954269e-13	RBM5/BRCA1/POLQ/RAD18/KDM5A/ZNF638/MLLT10/REST/RAD54L/RFX2/ORC6/ZFHX4/AGO1/CLSPN/CDC45/CDC6/POLE2/NFATC4/VSX1/ZNF516/PARP4/NFAT5/GLI3/POU2AF1/FOXM1/RAD51AP1/RFC5/TIMELESS/NR2E1/SMAD5/SMC4/TFDP2/BBX/ORC2/HDAC1/TTF2/TGIF2/PHF19/PROX2/LHX4/HJURP/BAZ2B/CHD6/ZBP1/ZNF391/MCM8/HP1BP3/ZNF780B/ZNF331/TOP2A/NOTCH2/BRIP1/SMC2/CDK5RAP2/YAP1/NUSAP1/DNA2/BRCA2/ESR2/PIF1/FANCI/KIF2C/RFX5/CENPC/MMS22L/CREB5/PURB/MKI67/TCF7L1/DCLRE1C/CHD1/EME1/GATAD1/ELK4/ZNF589/WRN/BEND7/E2F7/POLH/CHD7/ZNF562/ZNF483/SMARCC1/STAT5B/ZNF169/ATAD5/TOP3A/GEN1/ZNF852/CIITA/CREB3L2/RAD51B/ZNF730/SP1/ZNF732/ZNF397/TEAD1/ZNF573/XRCC2/ZNF98/ZNF841/ZNF587/ZNF805/ZNF726/ZNF90/PRKDC/ZNF234/OTUD7B/RDM1	109
prenatal-specific female-biased	GO:0140657	ATP-dependent activity	48/435	120/2641	2.32190031744868e-10	2.98364190792155e-08	2.55409034919354e-08	CFTR/ABCC2/POLQ/ATP2B4/RAD54L/CDC6/MYO3A/CECR2/ACIN1/DNAH11/DHX40/RFC5/KIF20A/SMC4/TTF2/HELLS/KIF18A/CHD6/MCM8/MYO5C/TOP2A/MYH11/BRIP1/SMC2/KIF23/KIF11/KIF20B/DNA2/ZGRF1/PIF1/KIF2C/ABCG8/CHD1/AK9/MOV10/ATAD2/STARD9/KIF27/WRN/ATP9B/CHD7/ATAD5/DNHD1/RAD51B/KIF24/DYNC2H1/XRCC2/KIFC1	48
prenatal-specific female-biased	GO:0008094	ATP-dependent activity, acting on DNA	19/435	28/2641	1.49173535820141e-09	1.2779199568592e-07	1.09393926268103e-07	POLQ/RAD54L/CECR2/RFC5/TTF2/HELLS/CHD6/MCM8/TOP2A/BRIP1/DNA2/ZGRF1/PIF1/CHD1/WRN/CHD7/ATAD5/RAD51B/XRCC2	19
prenatal-specific female-biased	GO:0140097	catalytic activity, acting on DNA	25/435	46/2641	3.2569105656044e-09	2.09256503840083e-07	1.79130081108242e-07	POLQ/RAD54L/CECR2/POLE2/RFC5/TTF2/HELLS/CHD6/MCM8/TOP2A/BRIP1/DNA2/ZGRF1/PIF1/DCLRE1C/CHD1/EME1/WRN/POLH/CHD7/ATAD5/TOP3A/GEN1/RAD51B/XRCC2	25
prenatal-specific female-biased	GO:0016887	ATP hydrolysis activity	35/435	83/2641	1.49222123592179e-08	7.67001715263798e-07	6.56577343805586e-07	CFTR/ABCC2/POLQ/ATP2B4/RAD54L/CDC6/ACIN1/DNAH11/DHX40/RFC5/KIF20A/SMC4/KIF18A/CHD6/MCM8/BRIP1/SMC2/KIF23/KIF20B/DNA2/PIF1/KIF2C/ABCG8/CHD1/AK9/MOV10/ATAD2/KIF27/WRN/ATP9B/CHD7/ATAD5/RAD51B/DYNC2H1/KIFC1	35
prenatal-specific female-biased	GO:0003690	double-stranded DNA binding	64/435	207/2641	5.26326557069249e-08	2.25443208611328e-06	1.92986404258725e-06	BRCA1/KDM5A/ZNF638/REST/RFX2/ZFHX4/AGO1/CDC45/CDC6/NFATC4/VSX1/ZNF516/NFAT5/GLI3/FOXM1/RAD51AP1/NR2E1/SMAD5/TFDP2/BBX/ORC2/HDAC1/TGIF2/PROX2/LHX4/ZBP1/ZNF391/ZNF780B/ZNF331/NOTCH2/CDK5RAP2/YAP1/ESR2/KIF2C/RFX5/CENPC/CREB5/PURB/TCF7L1/ELK4/ZNF589/E2F7/CHD7/ZNF562/ZNF483/STAT5B/ZNF169/ZNF852/CIITA/CREB3L2/RAD51B/ZNF730/SP1/ZNF732/ZNF397/TEAD1/ZNF573/ZNF98/ZNF841/ZNF587/ZNF805/ZNF726/ZNF90/PRKDC	64
prenatal-specific female-biased	GO:0003682	chromatin binding	32/435	78/2641	1.40237170643872e-07	5.14870755078216e-06	4.40745393452169e-06	POLQ/KDM5A/MLLT10/REST/CDC45/CBX5/NFAT5/GLI3/SMC4/HDAC1/CENPF/PHF19/HELLS/NCAPH/TTC21B/CHD6/MCM8/HP1BP3/AJUBA/TOP2A/BRIP1/SMC2/YAP1/TICRR/CHD1/ATAD2/ELK4/WRN/PCLAF/CHD7/SMARCC1/STAT5B	32
prenatal-specific female-biased	GO:0005524	ATP binding	76/435	271/2641	2.63278185116436e-07	8.27832745873726e-06	7.08650599580622e-06	CFTR/ABCC2/POLQ/ATP2B4/HIPK2/ALPK1/ACACB/MAP3K4/RAD54L/AURKA/TRPM7/XYLB/CDC6/MYO3A/STK4/CDK6/DNAH11/DHX40/MAPK10/RFC5/FRK/KIF20A/SMC4/TTF2/DARS2/HELLS/KIF18A/CHD6/MCM8/MYO5C/STK33/TOP2A/MYH11/ROCK2/TTLL4/BRIP1/SMC2/KIF23/KIF11/KIF20B/DNA2/ZGRF1/PIF1/PLK4/KIF2C/ABCG8/MKI67/CHEK1/MAGI1/CHD1/LRRK1/SLFN13/AK9/MOV10/ATAD2/BUB1B/STARD9/NMNAT3/KIF27/WRN/ATP9B/PLK1/BUB1/CHD7/ATAD5/KCNJ10/DNHD1/CIITA/RAD51B/UBE2G2/KIF24/DYNC2H1/XRCC2/KIFC1/PRKDC/STRADA	76
prenatal-specific female-biased	GO:1990837	sequence-specific double-stranded DNA binding	59/435	193/2641	2.95103094589223e-07	8.27832745873726e-06	7.08650599580622e-06	BRCA1/KDM5A/REST/RFX2/ZFHX4/AGO1/CDC45/CDC6/NFATC4/VSX1/ZNF516/NFAT5/GLI3/FOXM1/NR2E1/SMAD5/TFDP2/BBX/ORC2/HDAC1/TGIF2/PROX2/LHX4/ZNF391/ZNF780B/ZNF331/NOTCH2/CDK5RAP2/YAP1/ESR2/KIF2C/RFX5/CENPC/CREB5/PURB/TCF7L1/ELK4/ZNF589/E2F7/CHD7/ZNF562/ZNF483/STAT5B/ZNF169/ZNF852/CIITA/CREB3L2/ZNF730/SP1/ZNF732/ZNF397/TEAD1/ZNF573/ZNF98/ZNF841/ZNF587/ZNF805/ZNF726/ZNF90	59
prenatal-specific female-biased	GO:0043565	sequence-specific DNA binding	62/435	207/2641	3.22113908900283e-07	8.27832745873726e-06	7.08650599580622e-06	BRCA1/KDM5A/REST/RFX2/ZFHX4/AGO1/CDC45/CDC6/NFATC4/VSX1/ZNF516/NFAT5/GLI3/FOXM1/NR2E1/SMAD5/TFDP2/BBX/ORC2/HDAC1/TGIF2/PROX2/LHX4/ZNF391/ZNF780B/ZNF331/NOTCH2/CDK5RAP2/YAP1/ESR2/PIF1/KIF2C/RFX5/CENPC/CREB5/PURB/TCF7L1/GATAD1/ELK4/ZNF589/WRN/E2F7/CHD7/ZNF562/ZNF483/STAT5B/ZNF169/ZNF852/CIITA/CREB3L2/ZNF730/SP1/ZNF732/ZNF397/TEAD1/ZNF573/ZNF98/ZNF841/ZNF587/ZNF805/ZNF726/ZNF90	62
