Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
prenatal-specific female-biased	GO:0022402	cell cycle process	108/453	278/2707	4.24780984636195e-21	7.4676497099043e-18	6.52374164825482e-18	NCAPD2/ANLN/BRCA1/USP28/ATP2B4/ASPM/RAD18/NDE1/GTSE1/WDR62/SPAG5/CDC14A/RAD54L/AURKA/KIF4A/CLSPN/CDC45/CDC6/EFHC1/CECR2/GINS1/CEP152/CDK6/NCAPG/FOXM1/RAD51AP1/MDM1/TIMELESS/KIF20A/SMC4/ECT2/CENPF/CENPL/NCAPH/KIF18A/GPSM2/ZWINT/STIL/HJURP/TUBGCP3/STK33/CEP85/TOP2A/TEX15/CCNB1/ROCK2/CDCA8/ESPL1/CKAP2/BORA/HUS1/BRIP1/SMC2/CDK5RAP2/MDC1/NUSAP1/KIF23/TUBGCP4/CENPO/KIF11/KIF20B/DNA2/BRCA2/TICRR/PLK4/KIF2C/NUF2/FANCD2/CENPC/SKP2/NCAPG2/MKI67/INCENP/CHEK1/NCAPD3/CENPJ/EME1/SASS6/BUB1B/CCNB2/STARD9/DBF4B/RACGAP1/SYCE2/SGO2/WRN/SKA3/E2F7/PCLAF/PLK1/BUB1/PHF8/SMARCC1/CEP135/ATAD5/RTTN/TOP3A/GEN1/RAD51B/CEP97/KNTC1/FANCA/CENPP/XRCC2/PRC1/KIFC1/PRKDC/STRADA	108
prenatal-specific female-biased	GO:0007059	chromosome segregation	62/453	117/2707	2.98207950178151e-20	2.62124788206595e-17	2.28992315426275e-17	NCAPD2/BRCA1/ASPM/RAD18/NDE1/SPAG5/AURKA/KIF4A/CDC6/NCAPG/SMC4/ECT2/CENPF/CENPL/NCAPH/KIF18A/GPSM2/ZWINT/STIL/HJURP/TUBGCP3/CEP85/TOP2A/TEX15/CCNB1/CDCA8/ESPL1/BRIP1/SMC2/CDK5RAP2/NUSAP1/KIF23/TUBGCP4/CENPO/KIF11/KIF2C/NUF2/FANCD2/CENPC/NCAPG2/MKI67/INCENP/NCAPD3/CENPJ/SASS6/BUB1B/CCNB2/STARD9/RACGAP1/SYCE2/SGO2/SKA3/PLK1/BUB1/SMARCC1/TOP3A/GEN1/CEP97/KNTC1/CENPP/PRC1/KIFC1	62
prenatal-specific female-biased	GO:0007049	cell cycle	125/453	375/2707	7.82562631751751e-18	4.58581702206526e-15	4.00617150780984e-15	NCAPD2/ANLN/BRCA1/USP28/ATP2B4/HIPK2/ASPM/PRR11/RAD18/NDE1/GTSE1/WDR62/SPAG5/CDC14A/RAD54L/AURKA/KIF4A/CLSPN/CDC45/CDC6/EFHC1/CECR2/GINS1/CEP152/CDK6/NCAPG/FOXM1/RAD51AP1/MDM1/TIMELESS/NR2E1/KIF20A/SMC4/TFDP2/ECT2/INO80D/PARD3B/CENPF/CNTRL/HELLS/CENPL/NCAPH/KIF18A/GPSM2/ZWINT/STIL/HJURP/MCM8/TUBGCP3/AJUBA/STK33/CEP85/TOP2A/TEX15/CCNB1/ROCK2/CDCA8/ESPL1/CKAP2/BORA/HUS1/BRIP1/SMC2/CDK5RAP2/MDC1/NUSAP1/KIF23/TUBGCP4/CENPO/KIF11/KIF20B/DNA2/MNS1/NEDD1/BRCA2/FANCI/TICRR/PLK4/KIF2C/NUF2/FANCD2/CENPC/SKP2/NCAPG2/PARD3/MKI67/INCENP/CHEK1/NCAPD3/CENPJ/EME1/SASS6/BUB1B/CCNB2/STARD9/DBF4B/RACGAP1/SYCE2/SGO2/WRN/SKA3/E2F7/PCLAF/PLK1/BUB1/PHF8/SMARCC1/STAT5B/CEP135/ATAD5/RTTN/TOP3A/GEN1/RAD51B/CEP97/KNTC1/LMLN/FANCA/CENPP/XRCC2/MDM4/PRC1/KIFC1/PRKDC/STRADA	125
prenatal-specific female-biased	GO:0051276	chromosome organization	65/453	145/2707	2.53890514137623e-16	1.11584880963485e-13	9.74805947702084e-14	NCAPD2/POLQ/SPAG5/MAP3K4/RAD54L/KIF4A/CDC45/CDC6/ACIN1/GINS1/NCAPG/RFC5/SMC4/INO80D/CENPF/NCAPH/KIF18A/ZWINT/HJURP/MCM8/GNL3L/TOP2A/TEX15/CCNB1/CDCA8/ESPL1/HUS1/BRIP1/SMC2/CDK5RAP2/NUSAP1/KIF23/CENPO/KIF11/DNA2/ZGRF1/BRCA2/PIF1/KIF2C/NUF2/FANCD2/CENPC/NAF1/NCAPG2/GINS4/INCENP/NCAPD3/DCLRE1C/BUB1B/RACGAP1/SYCE2/SGO2/WRN/SKA3/PLK1/BUB1/SMARCC1/TOP3A/GEN1/CEP97/KNTC1/CENPP/PRC1/KIFC1/PRKDC	65
prenatal-specific female-biased	GO:0000280	nuclear division	55/453	112/2707	4.50226647912105e-16	1.58299689405896e-13	1.38290669327108e-13	NCAPD2/ANLN/ASPM/NDE1/SPAG5/CDC14A/RAD54L/AURKA/KIF4A/NCAPG/RAD51AP1/SMC4/CENPF/NCAPH/KIF18A/ZWINT/CEP85/TOP2A/TEX15/CCNB1/CDCA8/ESPL1/BORA/BRIP1/SMC2/CDK5RAP2/NUSAP1/KIF23/KIF11/KIF20B/BRCA2/KIF2C/NUF2/FANCD2/CENPC/NCAPG2/MKI67/INCENP/CHEK1/NCAPD3/EME1/BUB1B/CCNB2/RACGAP1/SYCE2/SKA3/PLK1/BUB1/GEN1/RAD51B/CEP97/KNTC1/FANCA/PRC1/KIFC1	55
prenatal-specific female-biased	GO:1903047	mitotic cell cycle process	77/453	193/2707	1.06057871460122e-15	3.10749563378158e-13	2.71470937649681e-13	NCAPD2/ANLN/BRCA1/NDE1/GTSE1/WDR62/SPAG5/CDC14A/AURKA/KIF4A/CLSPN/CDC45/CDC6/EFHC1/GINS1/CDK6/NCAPG/FOXM1/KIF20A/SMC4/ECT2/CENPF/NCAPH/KIF18A/GPSM2/ZWINT/STIL/STK33/CEP85/CCNB1/ROCK2/CDCA8/ESPL1/CKAP2/BORA/HUS1/SMC2/CDK5RAP2/MDC1/NUSAP1/KIF23/KIF11/KIF20B/DNA2/BRCA2/TICRR/KIF2C/NUF2/FANCD2/CENPC/SKP2/NCAPG2/MKI67/INCENP/CHEK1/NCAPD3/CENPJ/EME1/SASS6/BUB1B/CCNB2/DBF4B/RACGAP1/SKA3/E2F7/PLK1/BUB1/PHF8/SMARCC1/ATAD5/GEN1/RAD51B/CEP97/KNTC1/PRC1/KIFC1/PRKDC	77
prenatal-specific female-biased	GO:0000226	microtubule cytoskeleton organization	67/453	158/2707	2.72004327213126e-15	6.8311943891525e-13	5.96773403614963e-13	BRCA1/ASPM/NDE1/WDR62/SPAG5/CDC14A/AURKA/KIF4A/EFHC1/MID1/CEP152/CFAP69/MDM1/KIF20A/PARD3B/DNAL1/KIF18A/GPSM2/DNAI1/STIL/TUBGCP3/MAP7D3/CEP85/CCNB1/ROCK2/CDCA8/ESPL1/TTLL4/CKAP2/BORA/CDK5RAP2/NUSAP1/KIF23/TUBGCP4/KIF11/MNS1/NEDD1/BRCA2/SS18/PLK4/KIF2C/NUF2/PARD3/TTC12/INCENP/CHEK1/CENPJ/TBCEL/SASS6/HYDIN/CCNB2/STARD9/RACGAP1/SKA3/PCLAF/PLK1/CEP135/RTTN/GEN1/CEP97/KIF24/FSIP2/TOGARAM2/XRCC2/PRC1/CFAP44/KIFC1	67
prenatal-specific female-biased	GO:0010564	regulation of cell cycle process	72/453	177/2707	3.1227486301451e-15	6.86224011474386e-13	5.9948555939233e-13	NCAPD2/ANLN/BRCA1/USP28/ATP2B4/RAD18/GTSE1/WDR62/SPAG5/CDC14A/AURKA/CLSPN/CDC45/CDC6/CDK6/NCAPG/RAD51AP1/MDM1/TIMELESS/KIF20A/SMC4/ECT2/CENPF/NCAPH/GPSM2/ZWINT/STIL/STK33/CEP85/CCNB1/ROCK2/CDCA8/ESPL1/BORA/HUS1/BRIP1/SMC2/CDK5RAP2/MDC1/NUSAP1/KIF23/KIF11/KIF20B/DNA2/BRCA2/TICRR/PLK4/KIF2C/NUF2/FANCD2/NCAPG2/MKI67/INCENP/CHEK1/NCAPD3/CENPJ/EME1/SASS6/BUB1B/DBF4B/RACGAP1/E2F7/PLK1/BUB1/SMARCC1/ATAD5/GEN1/RAD51B/CEP97/KNTC1/PRC1/PRKDC	72
prenatal-specific female-biased	GO:0000278	mitotic cell cycle	82/453	222/2707	2.1578155851659e-14	4.21493310969073e-12	3.68216717983281e-12	NCAPD2/ANLN/BRCA1/NDE1/GTSE1/WDR62/SPAG5/CDC14A/AURKA/KIF4A/CLSPN/CDC45/CDC6/EFHC1/GINS1/CDK6/NCAPG/FOXM1/KIF20A/SMC4/ECT2/CENPF/NCAPH/KIF18A/GPSM2/ZWINT/STIL/TUBGCP3/STK33/CEP85/CCNB1/ROCK2/CDCA8/ESPL1/CKAP2/BORA/HUS1/SMC2/CDK5RAP2/MDC1/NUSAP1/KIF23/TUBGCP4/KIF11/KIF20B/DNA2/NEDD1/BRCA2/TICRR/KIF2C/NUF2/FANCD2/CENPC/SKP2/NCAPG2/MKI67/INCENP/CHEK1/NCAPD3/CENPJ/EME1/SASS6/BUB1B/CCNB2/DBF4B/RACGAP1/SKA3/E2F7/PLK1/BUB1/PHF8/SMARCC1/STAT5B/ATAD5/GEN1/RAD51B/CEP97/KNTC1/XRCC2/PRC1/KIFC1/PRKDC	82
prenatal-specific female-biased	GO:0007017	microtubule-based process	84/453	232/2707	3.75329926543694e-14	6.3051858506655e-12	5.50821277535534e-12	BRCA1/ATP2B4/ASPM/NDE1/GTSE1/WDR62/SPAG5/CDC14A/AURKA/KIF4A/EFHC1/MID1/CEP152/CFAP69/DNAH11/MDM1/KIF20A/NPHP3/PARD3B/WDR35/DNAL1/KIF18A/GPSM2/DNAI1/STIL/TTC21B/TUBGCP3/MAP7D3/CEP85/CCNB1/ROCK2/CDCA8/ESPL1/TTLL4/CKAP2/BORA/CDK5RAP2/NUSAP1/KIF23/TUBGCP4/KIF11/KIF20B/MNS1/NEDD1/BRCA2/SS18/PLK4/KIF2C/NUF2/WDPCP/PARD3/TTC12/INCENP/CHEK1/ENKUR/CENPJ/TBCEL/RPGR/SASS6/HYDIN/CCNB2/STARD9/RACGAP1/FYCO1/INTU/KIF27/SKA3/PCLAF/PLK1/CEP135/RTTN/GEN1/DNHD1/CEP97/KIF24/DYNC2H1/CFAP54/FSIP2/TOGARAM2/XRCC2/VPS13A/PRC1/CFAP44/KIFC1	84
