Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
prenatal-specific female-biased	GO:0005694	chromosome	113/472	305/2854	1.91417306179027e-20	5.16826726683372e-18	4.35222506680735e-18	NCAPD2/BRCA1/POLQ/RAD18/NDE1/KDM5A/SPAG5/AURKA/RFX2/KIF4A/ORC6/ZFHX4/CDC45/CBX5/CECR2/THOC5/POLE2/NFATC4/VSX1/GINS1/NFAT5/NCAPG/FOXM1/RAD51AP1/RFC5/TIMELESS/NR2E1/SMAD5/SMC4/TFDP2/BBX/INO80D/ORC2/HDAC1/CENPF/TGIF2/PROX2/HELLS/CENPL/NCAPH/LHX4/KIF18A/ZWINT/HJURP/CHD6/THOC2/MCM8/AGO3/HP1BP3/ICE2/TOP2A/CCNB1/CDCA8/HUS1/SMC2/MDC1/NUSAP1/CENPO/DNA2/ZGRF1/BRCA2/ESR2/PIF1/FANCI/SS18/PLK4/KIF2C/NUF2/RFX5/ANP32E/FANCD2/CENPC/MMS22L/CREB5/NCAPG2/GINS4/ADD3/MKI67/INCENP/CHEK1/NCAPD3/CHD1/EME1/BUB1B/ELK4/SYCE2/SGO2/WRN/SKA3/E2F7/PLK1/SETD5/AR/BUB1/POLH/CHD7/SMARCC1/STAT5B/ATAD5/TOP3A/FANCB/CREB3L2/RAD51B/KNTC1/SP1/TEAD1/FANCA/CENPP/FAM47E/XRCC2/PRC1/FIRRE/PRKDC	113
prenatal-specific female-biased	GO:0000228	nuclear chromosome	32/472	52/2854	1.88175581148171e-13	2.54037034550031e-11	2.13925923831605e-11	NCAPD2/BRCA1/ORC6/CDC45/POLE2/GINS1/NCAPG/TIMELESS/SMC4/INO80D/ORC2/HDAC1/NCAPH/AGO3/TOP2A/HUS1/SMC2/BRCA2/ANP32E/MMS22L/NCAPG2/GINS4/ADD3/INCENP/CHEK1/NCAPD3/CHD1/EME1/SYCE2/PLK1/SETD5/FIRRE	32
prenatal-specific female-biased	GO:0000793	condensed chromosome	41/472	83/2854	1.81870845806691e-12	1.63683761226022e-10	1.37838956821914e-10	NCAPD2/BRCA1/NDE1/SPAG5/AURKA/CBX5/NCAPG/SMC4/ORC2/CENPF/CENPL/NCAPH/KIF18A/ZWINT/HJURP/AGO3/TOP2A/CCNB1/HUS1/SMC2/CENPO/BRCA2/KIF2C/NUF2/FANCD2/CENPC/NCAPG2/ADD3/MKI67/INCENP/CHEK1/NCAPD3/BUB1B/SYCE2/SGO2/SKA3/PLK1/BUB1/SMARCC1/KNTC1/CENPP	41
prenatal-specific female-biased	GO:0015630	microtubule cytoskeleton	100/472	322/2854	3.885869701319e-12	2.62296204839033e-10	2.20881014601291e-10	BRCA1/MPHOSPH9/ASPM/RAD18/NDE1/ALPK1/GTSE1/WDR62/SPAG5/CDC14A/AURKA/KIF4A/CDC45/CDC6/EFHC1/TBL1X/MID1/PARP4/CEP152/CDK6/DNAH11/ANKRD26/MDM1/KIF20A/TFDP2/ECT2/ORC2/CENPF/TGIF2/WDR35/CNTRL/INVS/DNAL1/KIF18A/GPSM2/DNAI1/STIL/TUBGCP3/AJUBA/MAP7D3/CEP85/TOP2A/CCNB1/ROCK2/CDCA8/ESPL1/TTLL4/CKAP2/BORA/CDK5RAP2/NUSAP1/KIF23/TUBGCP4/KIF11/KIF20B/MNS1/SHROOM3/NEDD1/BRCA2/SS18/PLK4/KIF2C/PTPN7/TTC12/INCENP/CHEK1/ENKUR/TEX9/CENPJ/RPGR/SASS6/BUB1B/CCNB2/STARD9/RACGAP1/INTU/KIF27/WRN/INPPL1/SKA3/TTC8/PCLAF/PLK1/PROSER3/CEP135/LRRC25/RTTN/GEN1/DNHD1/RELL1/CEP97/KNTC1/KIF24/ZNF397/DYNC2H1/TOGARAM2/XRCC2/SFI1/PRC1/KIFC1	100
prenatal-specific female-biased	GO:0005814	centriole	21/472	31/2854	2.26706020876584e-10	1.22421251273355e-08	1.03091580019668e-08	MPHOSPH9/WDR62/AURKA/CEP152/MDM1/STIL/TUBGCP3/CEP85/TOP2A/NEDD1/PLK4/CENPJ/SASS6/STARD9/INTU/PLK1/CEP135/RTTN/CEP97/KIF24/SFI1	21
prenatal-specific female-biased	GO:0005813	centrosome	62/472	178/2854	5.88381276168996e-10	2.64771574276048e-08	2.22965536232462e-08	MPHOSPH9/ASPM/RAD18/NDE1/ALPK1/WDR62/SPAG5/CDC14A/AURKA/CDC45/EFHC1/MID1/CEP152/CDK6/ANKRD26/MDM1/ECT2/ORC2/CENPF/TGIF2/WDR35/CNTRL/KIF18A/GPSM2/DNAI1/STIL/TUBGCP3/AJUBA/CEP85/CCNB1/ROCK2/ESPL1/CKAP2/CDK5RAP2/KIF23/TUBGCP4/KIF20B/NEDD1/BRCA2/PLK4/KIF2C/TTC12/CHEK1/TEX9/CENPJ/RPGR/SASS6/BUB1B/CCNB2/WRN/SKA3/TTC8/PCLAF/PLK1/PROSER3/CEP135/RTTN/GEN1/CEP97/KIF24/XRCC2/KIFC1	62
prenatal-specific female-biased	GO:0005815	microtubule organizing center	68/472	205/2854	9.00790146127962e-10	3.47447627792214e-08	2.92587476035549e-08	BRCA1/MPHOSPH9/ASPM/RAD18/NDE1/ALPK1/WDR62/SPAG5/CDC14A/AURKA/CDC45/EFHC1/MID1/CEP152/CDK6/ANKRD26/MDM1/ECT2/ORC2/CENPF/TGIF2/WDR35/CNTRL/KIF18A/GPSM2/DNAI1/STIL/TUBGCP3/AJUBA/CEP85/TOP2A/CCNB1/ROCK2/ESPL1/TTLL4/CKAP2/CDK5RAP2/KIF23/TUBGCP4/KIF20B/NEDD1/BRCA2/PLK4/KIF2C/TTC12/CHEK1/TEX9/CENPJ/RPGR/SASS6/BUB1B/CCNB2/STARD9/INTU/WRN/SKA3/TTC8/PCLAF/PLK1/PROSER3/CEP135/RTTN/GEN1/CEP97/KIF24/XRCC2/SFI1/KIFC1	68
prenatal-specific female-biased	GO:0000794	condensed nuclear chromosome	16/472	21/2854	2.26568030579296e-09	7.64667103205125e-08	6.43930192172737e-08	NCAPD2/BRCA1/NCAPG/SMC4/NCAPH/AGO3/HUS1/SMC2/BRCA2/NCAPG2/ADD3/INCENP/CHEK1/NCAPD3/SYCE2/PLK1	16
prenatal-specific female-biased	GO:0098687	chromosomal region	40/472	98/2854	4.97472038043516e-09	1.41489248707847e-07	1.19148841017135e-07	NCAPD2/NDE1/SPAG5/AURKA/CBX5/THOC5/NCAPG/RAD51AP1/SMC4/ORC2/CENPF/HELLS/CENPL/KIF18A/ZWINT/HJURP/THOC2/TOP2A/CCNB1/CDCA8/CENPO/DNA2/BRCA2/PIF1/KIF2C/NUF2/CENPC/INCENP/CHEK1/NCAPD3/BUB1B/SGO2/WRN/SKA3/PLK1/BUB1/SMARCC1/KNTC1/CENPP/PRKDC	40
prenatal-specific female-biased	GO:0005819	spindle	47/472	125/2854	5.24034254473509e-09	1.41489248707847e-07	1.19148841017135e-07	ASPM/NDE1/ALPK1/WDR62/SPAG5/CDC14A/AURKA/KIF4A/CDC6/EFHC1/TBL1X/MID1/PARP4/KIF20A/TFDP2/ECT2/CENPF/CNTRL/INVS/KIF18A/GPSM2/TUBGCP3/MAP7D3/CEP85/CCNB1/CDCA8/ESPL1/CKAP2/BORA/CDK5RAP2/NUSAP1/KIF23/TUBGCP4/KIF11/KIF20B/NEDD1/KIF2C/PTPN7/INCENP/BUB1B/RACGAP1/INPPL1/SKA3/PLK1/KNTC1/PRC1/KIFC1	47
