Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
prenatal-specific female-biased	GO:0003677	DNA binding	113/458	342/2803	1.92642385670315e-16	5.29766560593367e-14	4.42063579748724e-14	RBM5/BRCA1/POLQ/RAD18/KDM5A/ZNF638/MLLT10/REST/RAD54L/RFX2/KIF4A/ORC6/ZFHX4/AGO1/CLSPN/CDC45/CDC6/POLE2/NFATC4/VSX1/ZNF516/TBL1X/PARP4/NFAT5/GLI3/POU2AF1/FOXM1/RAD51AP1/RFC5/TIMELESS/NR2E1/SMAD5/SMC4/TFDP2/BBX/ORC2/HDAC1/TTF2/TGIF2/PHF19/PROX2/LHX4/HJURP/BAZ2B/CHD6/ZBP1/ZNF391/MCM8/HP1BP3/ZNF780B/ZNF331/TOP2A/NOTCH2/BRIP1/SMC2/CDK5RAP2/YAP1/NUSAP1/DNA2/BRCA2/ESR2/PIF1/FANCI/KIF2C/RFX5/CENPC/MMS22L/CREB5/PURB/MKI67/TCF7L1/DCLRE1C/CHD1/EME1/GATAD1/ELK4/ZNF589/WRN/BEND7/E2F7/AR/POLH/CHD7/ZNF562/ZNF483/SMARCC1/STAT5B/ZNF169/ATAD5/TOP3A/GEN1/ZNF852/CIITA/CREB3L2/RAD51B/ZNF730/SP1/ZNF732/ZNF397/TEAD1/ZNF573/XRCC2/ZNF98/ZNF841/ZNF587/ZNF805/FIRRE/ZNF726/ZNF90/PRKDC/ZNF234/OTUD7B/RDM1	113
prenatal-specific female-biased	GO:0140657	ATP-dependent activity	49/458	128/2803	7.36024032387964e-10	1.01203304453345e-07	8.4449073189777e-08	CFTR/ABCC2/POLQ/ATP2B4/RAD54L/KIF4A/CDC6/MYO3A/CECR2/ACIN1/DNAH11/DHX40/RFC5/KIF20A/SMC4/TTF2/HELLS/KIF18A/CHD6/MCM8/MYO5C/TOP2A/MYH11/BRIP1/SMC2/KIF23/KIF11/KIF20B/DNA2/ZGRF1/PIF1/KIF2C/ABCG8/CHD1/AK9/MOV10/ATAD2/STARD9/KIF27/WRN/ATP9B/CHD7/ATAD5/DNHD1/RAD51B/KIF24/DYNC2H1/XRCC2/KIFC1	49
prenatal-specific female-biased	GO:0008094	ATP-dependent activity, acting on DNA	19/458	29/2803	3.24402215969860e-09	2.97368697972371e-07	2.48139238882208e-07	POLQ/RAD54L/CECR2/RFC5/TTF2/HELLS/CHD6/MCM8/TOP2A/BRIP1/DNA2/ZGRF1/PIF1/CHD1/WRN/CHD7/ATAD5/RAD51B/XRCC2	19
prenatal-specific female-biased	GO:0140097	catalytic activity, acting on DNA	25/458	48/2803	9.03240335758805e-09	6.20977730834179e-07	5.18174718935315e-07	POLQ/RAD54L/CECR2/POLE2/RFC5/TTF2/HELLS/CHD6/MCM8/TOP2A/BRIP1/DNA2/ZGRF1/PIF1/DCLRE1C/CHD1/EME1/WRN/POLH/CHD7/ATAD5/TOP3A/GEN1/RAD51B/XRCC2	25
prenatal-specific female-biased	GO:0003690	double-stranded DNA binding	67/458	216/2803	1.63089474622751e-08	8.96992110425133e-07	7.48494851952838e-07	BRCA1/KDM5A/ZNF638/REST/RFX2/ZFHX4/AGO1/CDC45/CDC6/NFATC4/VSX1/ZNF516/TBL1X/NFAT5/GLI3/FOXM1/RAD51AP1/NR2E1/SMAD5/TFDP2/BBX/ORC2/HDAC1/TGIF2/PROX2/LHX4/ZBP1/ZNF391/ZNF780B/ZNF331/NOTCH2/CDK5RAP2/YAP1/ESR2/KIF2C/RFX5/CENPC/CREB5/PURB/TCF7L1/ELK4/ZNF589/E2F7/AR/CHD7/ZNF562/ZNF483/STAT5B/ZNF169/ZNF852/CIITA/CREB3L2/RAD51B/ZNF730/SP1/ZNF732/ZNF397/TEAD1/ZNF573/ZNF98/ZNF841/ZNF587/ZNF805/FIRRE/ZNF726/ZNF90/PRKDC	67
prenatal-specific female-biased	GO:0016887	ATP hydrolysis activity	35/458	88/2803	7.55786525057698e-08	3.46402157318112e-06	2.89055197302769e-06	CFTR/ABCC2/POLQ/ATP2B4/RAD54L/CDC6/ACIN1/DNAH11/DHX40/RFC5/KIF20A/SMC4/KIF18A/CHD6/MCM8/BRIP1/SMC2/KIF23/KIF20B/DNA2/PIF1/KIF2C/ABCG8/CHD1/AK9/MOV10/ATAD2/KIF27/WRN/ATP9B/CHD7/ATAD5/RAD51B/DYNC2H1/KIFC1	35
prenatal-specific female-biased	GO:0015631	tubulin binding	38/458	101/2803	1.18024854876206e-07	4.63669072727951e-06	3.86908546812223e-06	KRIT1/BRCA1/NDE1/GTSE1/SPAG5/KIF4A/EFHC1/MID1/MDM1/KIF20A/CENPF/DNAL1/KIF18A/TUBGCP3/MAP7D3/TTLL4/CDK5RAP2/NUSAP1/KIF23/TUBGCP4/KIF11/KIF20B/NEDD1/BRCA2/KIF2C/NUF2/CENPJ/TBCEL/STARD9/RACGAP1/KIF27/SKA3/PLK1/CEP135/KIF24/TOGARAM2/PRC1/KIFC1	38
prenatal-specific female-biased	GO:0003682	chromatin binding	34/458	86/2803	1.39525582782341e-07	4.79619190814296e-06	4.00218119033556e-06	POLQ/KDM5A/MLLT10/REST/CDC45/CBX5/NFAT5/GLI3/SMC4/HDAC1/CENPF/PHF19/HELLS/NCAPH/TTC21B/CHD6/MCM8/HP1BP3/AJUBA/TOP2A/BRIP1/SMC2/YAP1/TICRR/CHD1/ATAD2/ELK4/WRN/PCLAF/AR/CHD7/PHF8/SMARCC1/STAT5B	34
prenatal-specific female-biased	GO:1990837	sequence-specific double-stranded DNA binding	61/458	201/2803	1.91845753294301e-07	5.65258834409005e-06	4.71680099143208e-06	BRCA1/KDM5A/REST/RFX2/ZFHX4/AGO1/CDC45/CDC6/NFATC4/VSX1/ZNF516/TBL1X/NFAT5/GLI3/FOXM1/NR2E1/SMAD5/TFDP2/BBX/ORC2/HDAC1/TGIF2/PROX2/LHX4/ZNF391/ZNF780B/ZNF331/NOTCH2/CDK5RAP2/YAP1/ESR2/KIF2C/RFX5/CENPC/CREB5/PURB/TCF7L1/ELK4/ZNF589/E2F7/AR/CHD7/ZNF562/ZNF483/STAT5B/ZNF169/ZNF852/CIITA/CREB3L2/ZNF730/SP1/ZNF732/ZNF397/TEAD1/ZNF573/ZNF98/ZNF841/ZNF587/ZNF805/ZNF726/ZNF90	61
prenatal-specific female-biased	GO:0043565	sequence-specific DNA binding	64/458	215/2803	2.0554866705782e-07	5.65258834409005e-06	4.71680099143208e-06	BRCA1/KDM5A/REST/RFX2/ZFHX4/AGO1/CDC45/CDC6/NFATC4/VSX1/ZNF516/TBL1X/NFAT5/GLI3/FOXM1/NR2E1/SMAD5/TFDP2/BBX/ORC2/HDAC1/TGIF2/PROX2/LHX4/ZNF391/ZNF780B/ZNF331/NOTCH2/CDK5RAP2/YAP1/ESR2/PIF1/KIF2C/RFX5/CENPC/CREB5/PURB/TCF7L1/GATAD1/ELK4/ZNF589/WRN/E2F7/AR/CHD7/ZNF562/ZNF483/STAT5B/ZNF169/ZNF852/CIITA/CREB3L2/ZNF730/SP1/ZNF732/ZNF397/TEAD1/ZNF573/ZNF98/ZNF841/ZNF587/ZNF805/ZNF726/ZNF90	64
prenatal-specific female-biased	GO:0008017	microtubule binding	30/458	73/2803	2.87535865560874e-07	7.02291884637162e-06	5.86027295123067e-06	KRIT1/NDE1/GTSE1/SPAG5/KIF4A/MID1/MDM1/KIF20A/CENPF/KIF18A/TUBGCP3/MAP7D3/CDK5RAP2/NUSAP1/KIF23/TUBGCP4/KIF11/KIF20B/KIF2C/NUF2/STARD9/RACGAP1/KIF27/SKA3/PLK1/CEP135/KIF24/TOGARAM2/PRC1/KIFC1	30
prenatal-specific female-biased	GO:0005524	ATP binding	78/458	283/2803	3.06454640568943e-07	7.02291884637162e-06	5.86027295123067e-06	CFTR/ABCC2/POLQ/ATP2B4/HIPK2/ALPK1/ACACB/MAP3K4/RAD54L/AURKA/KIF4A/TRPM7/XYLB/CDC6/MYO3A/STK4/CDK6/DNAH11/DHX40/MAPK10/RFC5/FRK/KIF20A/SMC4/TTF2/DARS2/HELLS/KIF18A/CHD6/MCM8/MYO5C/STK33/TOP2A/MYH11/ROCK2/STK26/TTLL4/BRIP1/SMC2/KIF23/KIF11/KIF20B/DNA2/ZGRF1/PIF1/PLK4/KIF2C/ABCG8/MKI67/CHEK1/MAGI1/CHD1/LRRK1/SLFN13/AK9/MOV10/ATAD2/BUB1B/STARD9/NMNAT3/KIF27/WRN/ATP9B/PLK1/BUB1/CHD7/ATAD5/KCNJ10/DNHD1/CIITA/RAD51B/UBE2G2/KIF24/DYNC2H1/XRCC2/KIFC1/PRKDC/STRADA	78
prenatal-specific female-biased	GO:0003774	cytoskeletal motor activity	18/458	33/2803	4.74579209433676e-07	1.00391755841739e-05	8.37718766449727e-06	KIF4A/MYO3A/DNAH11/KIF20A/KIF18A/DNAI1/MYO5C/MYH11/KIF23/KIF11/KIF20B/KIF2C/STARD9/KIF27/DNHD1/KIF24/DYNC2H1/KIFC1	18
prenatal-specific female-biased	GO:0000976	transcription cis-regulatory region binding	56/458	185/2803	7.13303485687171e-07	1.30772305709315e-05	1.09122919213897e-05	BRCA1/KDM5A/REST/RFX2/ZFHX4/AGO1/NFATC4/VSX1/ZNF516/TBL1X/NFAT5/GLI3/FOXM1/NR2E1/SMAD5/TFDP2/BBX/HDAC1/TGIF2/PROX2/LHX4/ZNF391/ZNF780B/ZNF331/NOTCH2/CDK5RAP2/YAP1/ESR2/RFX5/CREB5/PURB/TCF7L1/ELK4/ZNF589/E2F7/AR/CHD7/ZNF562/ZNF483/STAT5B/ZNF169/ZNF852/CIITA/CREB3L2/ZNF730/SP1/ZNF732/ZNF397/TEAD1/ZNF573/ZNF98/ZNF841/ZNF587/ZNF805/ZNF726/ZNF90	56
prenatal-specific female-biased	GO:0001067	transcription regulatory region nucleic acid binding	56/458	185/2803	7.13303485687171e-07	1.30772305709315e-05	1.09122919213897e-05	BRCA1/KDM5A/REST/RFX2/ZFHX4/AGO1/NFATC4/VSX1/ZNF516/TBL1X/NFAT5/GLI3/FOXM1/NR2E1/SMAD5/TFDP2/BBX/HDAC1/TGIF2/PROX2/LHX4/ZNF391/ZNF780B/ZNF331/NOTCH2/CDK5RAP2/YAP1/ESR2/RFX5/CREB5/PURB/TCF7L1/ELK4/ZNF589/E2F7/AR/CHD7/ZNF562/ZNF483/STAT5B/ZNF169/ZNF852/CIITA/CREB3L2/ZNF730/SP1/ZNF732/ZNF397/TEAD1/ZNF573/ZNF98/ZNF841/ZNF587/ZNF805/ZNF726/ZNF90	56
prenatal-specific female-biased	GO:0032559	adenyl ribonucleotide binding	79/458	296/2803	1.09744010020379e-06	1.88622517222527e-05	1.57396014371334e-05	CFTR/ABCC2/POLQ/ATP2B4/HIPK2/ALPK1/ACACB/MAP3K4/RAD54L/AURKA/KIF4A/TRPM7/XYLB/CDC6/MYO3A/STK4/CDK6/DNAH11/DHX40/MAPK10/RFC5/FRK/KIF20A/SMC4/TTF2/DARS2/HELLS/KIF18A/CHD6/MCM8/MYO5C/STK33/TOP2A/MYH11/ROCK2/STK26/TTLL4/BRIP1/SMC2/KIF23/KIF11/KIF20B/DNA2/ZGRF1/PIF1/PLK4/KIF2C/ABCG8/MKI67/CHEK1/MAGI1/CHD1/LRRK1/SLFN13/AK9/MOV10/ATAD2/BUB1B/STARD9/NMNAT3/KIF27/WRN/ATP9B/PLK1/BUB1/CHD7/ATAD5/ACBD7/KCNJ10/DNHD1/CIITA/RAD51B/UBE2G2/KIF24/DYNC2H1/XRCC2/KIFC1/PRKDC/STRADA	79
prenatal-specific female-biased	GO:0003777	microtubule motor activity	14/458	25/2803	6.23852945778452e-06	0.000100917388287691	8.42104905137477e-05	KIF4A/DNAH11/KIF20A/KIF18A/KIF23/KIF11/KIF20B/KIF2C/STARD9/KIF27/DNHD1/KIF24/DYNC2H1/KIFC1	14
prenatal-specific female-biased	GO:0042393	histone binding	21/458	49/2803	8.45374745857548e-06	0.00012915447506157	0.000107772920816927	AASS/NCAPD2/KDM5A/MLLT10/CBX5/TBL1X/PHF19/HJURP/CHD6/ANP32E/NCAPG2/NCAPD3/CHD1/ATAD2/USP49/SETD5/CHD7/PHF8/SMARCC1/WDR5B/IPO9	21
prenatal-specific female-biased	GO:0003700	DNA-binding transcription factor activity	49/458	167/2803	1.0058634895937e-05	0.000136413301926681	0.000113830047157958	BRCA1/REST/RFX2/ZFHX4/NFATC4/VSX1/ZNF516/NFAT5/GLI3/FOXM1/NR2E1/SMAD5/TFDP2/BBX/TGIF2/PROX2/LHX4/ZNF391/ZNF780B/ZNF331/NOTCH2/ESR2/RFX5/CREB5/PURB/TCF7L1/ELK4/ZNF589/E2F7/AR/ZNF562/ZNF483/STAT5B/ZNF169/ZNF852/CREB3L2/ZNF730/SP1/ZNF732/ZNF397/TEAD1/ZNF573/ZNF98/ZNF841/ZNF587/ZNF805/ZNF726/ZNF90/ZNF234	49
prenatal-specific female-biased	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	47/458	158/2803	1.03058836438601e-05	0.000136413301926681	0.000113830047157958	REST/RFX2/ZFHX4/NFATC4/VSX1/ZNF516/NFAT5/GLI3/FOXM1/NR2E1/SMAD5/TFDP2/BBX/TGIF2/PROX2/LHX4/ZNF391/ZNF780B/ZNF331/NOTCH2/ESR2/RFX5/CREB5/PURB/TCF7L1/ELK4/ZNF589/E2F7/AR/ZNF562/ZNF483/STAT5B/ZNF169/ZNF852/CREB3L2/ZNF730/SP1/ZNF732/ZNF397/TEAD1/ZNF573/ZNF98/ZNF841/ZNF587/ZNF805/ZNF726/ZNF90	47
prenatal-specific female-biased	GO:0030554	adenyl nucleotide binding	79/458	312/2803	1.0417015783492e-05	0.000136413301926681	0.000113830047157958	CFTR/ABCC2/POLQ/ATP2B4/HIPK2/ALPK1/ACACB/MAP3K4/RAD54L/AURKA/KIF4A/TRPM7/XYLB/CDC6/MYO3A/STK4/CDK6/DNAH11/DHX40/MAPK10/RFC5/FRK/KIF20A/SMC4/TTF2/DARS2/HELLS/KIF18A/CHD6/MCM8/MYO5C/STK33/TOP2A/MYH11/ROCK2/STK26/TTLL4/BRIP1/SMC2/KIF23/KIF11/KIF20B/DNA2/ZGRF1/PIF1/PLK4/KIF2C/ABCG8/MKI67/CHEK1/MAGI1/CHD1/LRRK1/SLFN13/AK9/MOV10/ATAD2/BUB1B/STARD9/NMNAT3/KIF27/WRN/ATP9B/PLK1/BUB1/CHD7/ATAD5/ACBD7/KCNJ10/DNHD1/CIITA/RAD51B/UBE2G2/KIF24/DYNC2H1/XRCC2/KIFC1/PRKDC/STRADA	79
prenatal-specific female-biased	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	48/458	164/2803	1.34537189160003e-05	0.000168171486450003	0.000140330656635792	REST/RFX2/ZFHX4/NFATC4/ZNF516/NFAT5/GLI3/FOXM1/NR2E1/SMAD5/TFDP2/BBX/HDAC1/TGIF2/PROX2/LHX4/ZNF391/ZNF780B/ZNF331/YAP1/ESR2/RFX5/CREB5/PURB/TCF7L1/ELK4/ZNF589/E2F7/AR/CHD7/ZNF562/ZNF483/STAT5B/ZNF169/ZNF852/CREB3L2/ZNF730/SP1/ZNF732/ZNF397/TEAD1/ZNF573/ZNF98/ZNF841/ZNF587/ZNF805/ZNF726/ZNF90	48
prenatal-specific female-biased	GO:0004386	helicase activity	16/458	33/2803	1.55740974041043e-05	0.000186212034179508	0.000155384587372757	POLQ/RAD54L/DHX40/RFC5/TTF2/HELLS/CHD6/MCM8/BRIP1/DNA2/ZGRF1/PIF1/CHD1/MOV10/WRN/CHD7	16
prenatal-specific female-biased	GO:0140640	catalytic activity, acting on a nucleic acid	34/458	105/2803	2.68881794834253e-05	0.000308093723247582	0.000257088733657312	POLQ/RAD54L/CECR2/POLE2/ZC3H12B/DHX40/RFC5/TTF2/DARS2/HELLS/CHD6/MCM8/AGO3/TOP2A/PAN2/BRIP1/DNA2/ZGRF1/PIF1/DCLRE1C/CHD1/SLFN13/EME1/MOV10/TRMT10B/WRN/POLH/CHD7/ATAD5/TOP3A/GEN1/RAD51B/XRCC2/ERI2	34
