pathway	pval	padj	ES	NES	nMoreExtreme	size
ALS	0.170164609053498	0.587663849890212	0.955190464923696	1.21836205003993	826	8
BPwithoutPsycho	0.0991394765148799	0.495994873438001	0.954858055207478	1.21378032158067	552	17
alzheimer	0.397116869744294	0.680771776704504	0.801326595072647	1.15985260271622	2313	2
BP2	0.522994226557834	0.742787200559538	0.831654915650094	1.05739000658894	2626	14
BPSchizo	0.730568079350767	0.836701759778683	0.713707053060665	0.889086051449462	4050	12
BP	0.732114039806348	0.836701759778683	0.713707053060665	0.888175721995937	4082	12
epilepsy_ndd	0.982459016393443	0.982459016393443	-0.488625214741369	-0.561546031807856	5992	7
DDspe	0.956827137228028	0.982459016393443	-0.473546655364837	-0.626935441012219	5584	22
EPI	0.844203683640303	0.920949473062149	-0.580755421513715	-0.697386021343325	3895	3
scz	0.588039867109635	0.742787200559538	-0.615550167542976	-0.923284360783508	3185	44
constraint_genes	0.496670962199313	0.742787200559538	-0.489851366992094	-0.987917176862093	4624	240
prenatal_high_expressed_genes	0.383586626139818	0.680771776704504	-0.499912762302628	-1.01107477389413	1892	387
BPwithPsycho	0.57011140991164	0.742787200559538	-0.872950572634117	-1.03304778362452	2967	8
BP1	0.538263665594855	0.742787200559538	-0.869323693696454	-1.04663723052614	2510	9
epilepsy_dee	0.379017485428809	0.680771776704504	-0.928153118804331	-1.07457016419888	2275	8
DEE	0.325136612021858	0.680771776704504	-0.934198038595381	-1.0866031009613	1784	7
GGE	0.38516515356384	0.680771776704504	-0.933965244865719	-1.08772303596294	1993	3
ASDspe	0.281071737251513	0.680771776704504	-0.939259727934198	-1.09384306182999	1625	7
adult_high_expressed_genes	0.171401956217979	0.587663849890212	-0.545967124966641	-1.11031016249953	735	452
MS	0.207967589466577	0.62390276839973	-0.95260663507109	-1.18544884194718	923	3
ASD	0.103332265299583	0.495994873438001	-0.898357048062224	-1.28901029466073	644	35
NAFE	0.0405429226158999	0.324343380927199	-0.986418193303854	-1.28997893312443	229	2
DD	0.0125970664365833	0.151164797238999	-0.845786362955721	-1.46593178452865	72	93
NDD	0.00201106083459025	0.0482654600301659	-0.85499205751192	-1.52632650189338	11	121
