pathway	pval	padj	ES	NES	nMoreExtreme	size
NAFE	0.0371962803719628	0.892710728927107	0.97094125078964	1.71959555208657	371	2
MS	0.20987901209879	0.897830216978302	0.903633491311216	1.43232666370332	2098	3
EPI	0.296870312968703	0.897830216978302	0.884044233807267	1.34037684244214	2968	3
GGE	0.316968303169683	0.897830216978302	0.8739336492891	1.28260391774396	3169	3
ALS	0.146485351464854	0.897830216978302	0.940633502898379	1.16511780026982	1464	8
ASDspe	0.40985901409859	0.897830216978302	0.87662132236634	1.08519189141996	4098	7
DEE	0.45985401459854	0.897830216978302	0.873457766529579	1.08445769835579	4598	7
BP2	0.202779722027797	0.897830216978302	0.918833227647432	1.0699991459784	2027	14
BPwithoutPsycho	0.185981401859814	0.897830216978302	0.918996423979296	1.06839439596566	1859	17
epilepsy_dee	0.517148285171483	0.897830216978302	0.86802653652585	1.05017847749005	5171	8
epilepsy_ndd	0.607639236076392	0.911458854114588	0.845922817246585	1.04343232127016	6076	7
alzheimer	0.536646335366463	0.897830216978302	0.621604548325963	1.03831529363262	5366	2
BPSchizo	0.475452454754525	0.897830216978302	0.873257287705957	1.0226715055532	4754	12
BP	0.483751624837516	0.897830216978302	0.873257287705957	1.02089474165722	4837	12
ASD	0.401759824017598	0.897830216978302	0.857047362261383	1.00678101750984	4017	35
constraint_genes	0.561143885611439	0.897830216978302	0.844700412615169	0.999534082516634	5611	240
scz	0.657034296570343	0.927577830452249	0.838863613661336	0.987921267649365	6570	44
NDD	0.891710828917108	0.978302169783022	0.828728293212866	0.983574554920111	8917	121
prenatal_high_expressed_genes	0.966703329667033	0.978302169783022	0.825383798160321	0.982865136548308	9667	387
adult_high_expressed_genes	0.978302169783022	0.978302169783022	0.8220283480444	0.979647831592282	9783	452
BPwithPsycho	0.733226677332267	0.934011861971697	0.80333031946956	0.978461730990902	7332	8
DD	0.934006599340066	0.978302169783022	0.824842639325635	0.976423658069143	9340	93
BP1	0.739426057394261	0.934011861971697	0.808544966251059	0.969971803118482	7394	9
DDspe	0.915608439156084	0.978302169783022	0.806891761437216	0.937795843087332	9156	22
