pathway	pval	padj	ES	NES	nMoreExtreme	size
BPwithPsycho	0.222041876318779	0.380643216546479	0.339420621424514	1.16075343482916	1367	47
constraint_genes	0.0990900909909009	0.198180181981802	0.232272246937725	1.03642431029446	990	1202
ASDspe	0.520935751822343	0.712751308179565	0.314534657106024	0.958569924585645	3072	31
BPSchizo	0.842601319509896	0.943923081351834	0.215870192186302	0.801882255564269	5363	67
BP	0.865262824572514	0.943923081351834	0.209885197933144	0.784050815851172	5464	69
BP2	0.93984126984127	0.980703933747412	0.188453107580187	0.711475493285947	5920	63
MS	0.989450770261219	0.989450770261219	0.185249752588526	0.530382623699121	5908	21
alzheimer	0.834382566585956	0.943923081351834	-0.264813710690719	-0.727695861062342	3445	13
DDspe	0.587275693311582	0.741821928393578	-0.254091150771329	-0.943441281904316	2159	71
BP1	0.534563481134674	0.712751308179565	-0.248884227471455	-0.961593334052916	1940	64
BPwithoutPsycho	0.441193344807803	0.661790017211704	-0.231279687140342	-1.00016016010167	1537	83
ALS	0.402366863905325	0.643786982248521	-0.307425753188657	-1.034201976574	1631	32
scz	0.172351885098743	0.318188095566911	-0.250848220444822	-1.10822956833699	575	189
ASD	0.0400500625782228	0.0961201501877347	-0.298932913945303	-1.24647225388673	127	164
NDD	0.0015015015015015	0.00720720720720721	-0.267324663611928	-1.25917578792054	2	582
DD	0.0021468441391155	0.008587376556462	-0.278043197897626	-1.28146320087409	4	425
GGE	0.0941232680363115	0.198180181981802	-0.52742897684093	-1.38473171525844	393	14
prenatal_high_expressed_genes	0.00116009280742459	0.00696055684454756	-0.275962738946118	-1.39063086810632	0	1483
EPI	0.037776708373436	0.0961201501877347	-0.592955475903115	-1.54664176047254	156	13
NAFE	0.0144594904750975	0.0433784714252926	-0.678669028834255	-1.68626649672522	62	11
adult_high_expressed_genes	0.000958772770853308	0.00696055684454756	-0.333050646503116	-1.71800053156587	0	1499
DEE	0.00686779494726515	0.0235467255334805	-0.5968581117896	-1.71922315781599	27	19
epilepsy_dee	0.000246609124537608	0.00295930949445129	-0.68988543758808	-2.13513252601689	0	30
epilepsy_ndd	0.000244618395303327	0.00295930949445129	-0.811540282089538	-2.36324677319059	0	22
