pathway	pval	padj	ES	NES	nMoreExtreme	size
epilepsy_ndd	9.99900009999e-05	0.00047995200479952	0.781301086655997	1.72005240704777	0	22
DEE	9.99900009999e-05	0.00047995200479952	0.739313469206403	1.68188171441052	0	19
epilepsy_dee	9.99900009999e-05	0.00047995200479952	0.723947556137544	1.65172459165834	0	30
ASDspe	0.0260973902609739	0.0695930406959304	0.573770127609611	1.32156963878928	260	31
adult_high_expressed_genes	9.99900009999e-05	0.00047995200479952	0.467741508584191	1.26178939102009	0	1499
ASD	0.0021997800219978	0.0065993400659934	0.497622792741719	1.23599380799354	21	164
EPI	0.186481351864814	0.344273264981194	0.55963947673732	1.20991571997301	1864	13
NAFE	0.205979402059794	0.353107546388218	0.558549520448298	1.2086709932079	2059	11
BPwithPsycho	0.106889311068893	0.256534346565343	0.473767545979618	1.1846719105941	1068	47
GGE	0.235576442355764	0.376922307769223	0.541730498566216	1.16438979609479	2355	14
DD	0.0003999600039996	0.00137129144228434	0.45468737817943	1.15751978423519	3	425
prenatal_high_expressed_genes	9.99900009999e-05	0.00047995200479952	0.437110926736015	1.15036215774487	0	1483
NDD	0.0003999600039996	0.00137129144228434	0.448767764131155	1.14514160634226	3	582
DDspe	0.18048195180482	0.344273264981194	0.458836428293127	1.11147545489175	1804	71
ALS	0.281371862813719	0.422057794220578	0.44514901601241	1.10166624060974	2813	32
scz	0.395160483951605	0.557873624402266	0.388776337497092	1.02324712149182	3951	189
constraint_genes	0.171182881711829	0.344273264981194	0.396532820429234	1.01102263361447	1711	1202
BPwithoutPsycho	0.473652634736526	0.631536846315369	0.356019128752744	1.00824939065997	4736	83
BP1	0.765123487651235	0.966471773875244	0.349219511447969	0.900270043488001	7651	64
BP2	0.84981501849815	0.974202579742026	0.310599870048769	0.851439760767926	8498	63
BPSchizo	0.934606539346065	0.974202579742026	0.299107614968775	0.793654015588241	9346	67
BP	0.959504049595041	0.974202579742026	0.287206357471988	0.766422737258266	9595	69
alzheimer	0.913208679132087	0.974202579742026	0.27687719399822	0.650941974811675	9132	13
MS	0.974202579742026	0.974202579742026	0.256443525644516	0.599290577056467	9742	21
