pathway	pval	padj	ES	NES	nMoreExtreme	size
constraint_genes	0.00181561428283236	0.00726245713132943	0.198643868372312	1.09779237996568	17	1321
ALS	0.479966611018364	0.575959933222037	0.280366979916712	0.983223737116677	2299	32
BP2	0.583089064261556	0.666387502013207	0.222719999972262	0.939580499729045	2585	69
MS	0.648844221105528	0.677054839414464	0.276993192280358	0.880601882536074	3227	22
BP1	0.905318291700242	0.905318291700242	0.185729321024951	0.769804387799051	4493	70
prenatal_high_expressed_genes	0.642739000992392	0.677054839414464	-0.172773929293362	-0.973710799196562	3885	1651
BPSchizo	0.404263718910383	0.510648908097326	-0.249627204714997	-1.02581318948226	2047	72
DDspe	0.37114967462039	0.494866232827187	-0.245531506783225	-1.03779875576882	1710	80
BP	0.355022366815779	0.494866232827187	-0.252677141868344	-1.05141304478601	1745	74
BPwithoutPsycho	0.340054682159945	0.494866232827187	-0.24581204800811	-1.06301207722741	1989	93
alzheimer	0.340408958130477	0.494866232827187	-0.373594306679705	-1.09550554862582	1747	16
NAFE	0.236251808972504	0.40500310109572	-0.457451291910992	-1.20481135308238	1305	12
scz	0.0313171080887616	0.0835122882366977	-0.274721619590144	-1.3103151612058	174	209
BPwithPsycho	0.0634603871482738	0.126920774296548	-0.349642831241279	-1.35058913686129	317	53
ASDspe	0.0755537974683544	0.139483933787731	-0.388355389610426	-1.36530143963608	381	34
NDD	0.000192826841496336	0.0016220600162206	-0.270177826889737	-1.45381821416901	0	635
ASD	0.00270382695507488	0.009270263845971	-0.312737097793373	-1.476057249029	12	175
EPI	0.0476787954830615	0.104026462872134	-0.530767508648519	-1.50867145027024	227	14
DD	0.000202757502027575	0.0016220600162206	-0.288366472788338	-1.51074646792046	0	462
DEE	0.0387374461979914	0.0929698708751793	-0.493447595323831	-1.52703035713672	188	19
GGE	0.0246622346129101	0.0739867038387304	-0.543151737356764	-1.59333856440389	114	16
epilepsy_ndd	0.000841928015154704	0.00404125447274258	-0.597196422636946	-1.97544896662244	3	25
epilepsy_dee	0.000414765657403567	0.0024885939444214	-0.587054061756338	-2.06247355301857	1	34
adult_high_expressed_genes	0.000146972369194591	0.0016220600162206	-0.411598726037559	-2.30786191129804	0	1664
