pathway	pval	padj	ES	NES	nMoreExtreme	size
DEE	0.0012998700129987	0.0155984401559844	0.647038453356802	1.64860087111838	12	19
epilepsy_ndd	0.006999300069993	0.041995800419958	0.566664295076781	1.46618761365662	69	25
epilepsy_dee	0.0163983601639836	0.0655934406559344	0.518548869558222	1.38224960332455	163	34
GGE	0.108189181081892	0.288504482885045	0.520142182249017	1.28399712090134	1081	16
NAFE	0.160883911608839	0.386121387861214	0.527180087795459	1.24965297715213	1608	12
adult_high_expressed_genes	9.99900009999e-05	0.0023997600239976	0.390316893340935	1.19840933025973	0	1664
ASD	0.0226977302269773	0.0778207893496365	0.400482572512997	1.1799228293671	226	175
EPI	0.250674932506749	0.462784490781691	0.474435050210822	1.16190138751444	2506	14
DD	0.0026997300269973	0.0215978402159784	0.38452959437203	1.15935514808737	26	462
scz	0.0488951104889511	0.146685331466853	0.38540348254151	1.14568569191713	488	209
ASDspe	0.21997800219978	0.462784490781691	0.427264944483905	1.1355422820087	2199	34
NDD	0.015998400159984	0.0655934406559344	0.366463323842652	1.10853088209634	159	635
BP2	0.235676432356764	0.462784490781691	0.381661060620793	1.10315933149925	2356	69
alzheimer	0.382161783821618	0.611458854114589	0.426659498151454	1.0678763106788	3821	16
BPwithPsycho	0.443255674432557	0.661486792497221	0.369701114035028	1.02141353209884	4432	53
DDspe	0.468553144685532	0.661486792497221	0.354197093389966	1.00964537584488	4685	80
constraint_genes	0.346165383461654	0.593426371648549	0.327645611926754	1.00621973217656	3461	1321
prenatal_high_expressed_genes	0.903009699030097	0.970902909709029	0.313522086463209	0.957492660313278	9030	1651
ALS	0.627537246275372	0.836716328367163	0.347082188842223	0.936532706728138	6275	32
MS	0.69013098690131	0.871744404506918	0.348653263977021	0.891990915400126	6901	22
BPwithoutPsycho	0.837416258374163	0.970902909709029	0.296358025353796	0.87696465901915	8374	93
BPSchizo	0.906709329067093	0.970902909709029	0.285226150891706	0.818031121173341	9067	72
BP	0.944205579442056	0.970902909709029	0.271553920611391	0.780461253325684	9442	74
BP1	0.970902909709029	0.970902909709029	0.263369422281084	0.74479010098703	9709	70
