pathway	pval	padj	ES	NES	nMoreExtreme	size
NAFE	0.00392772977219167	0.0314218381775334	0.977290721586325	1.56135846540156	14	2
BPSchizo	0.0651877133105802	0.29066551426102	0.482301912910278	1.50556626483166	190	12
BP	0.0611279972982101	0.29066551426102	0.482301912910278	1.49817269077334	180	12
BPwithPsycho	0.0884535470466014	0.29066551426102	0.554448426100183	1.44489665227259	297	8
BP2	0.10568454763811	0.29066551426102	0.411775616245354	1.35727300791692	263	14
DEE	0.202508960573477	0.34715821812596	0.497590919794508	1.23742261125265	677	7
BPwithoutPsycho	0.163422131147541	0.34715821812596	0.338132349215071	1.23596109706078	318	17
GGE	0.336930771255594	0.523615753524197	0.608846761453397	1.08124522336099	1279	3
EPI	0.520983362304445	0.694644483072593	0.495102685624013	0.880135159709725	2097	3
BP1	0.635612817971589	0.777063236870311	0.304469225776755	0.856386808757395	1923	9
DDspe	0.955217912834866	0.955217912834866	-0.204348634981432	-0.624207656133326	7166	22
MS	0.883065184939459	0.921459323415088	-0.389809377657506	-0.65730518721903	5323	3
scz	0.730943905732171	0.797393351707823	-0.236845198697207	-0.840847723564927	5954	44
ASD	0.7229672586686	0.797393351707823	-0.250297039825211	-0.842271915179928	5983	35
alzheimer	0.647552697391926	0.777063236870311	-0.60330939359032	-0.88788016834449	3624	2
ASDspe	0.413279510022272	0.583453425913795	-0.480701842243393	-1.0589618014806	2968	7
constraint_genes	0.0970902909709029	0.29066551426102	-0.241827380551584	-1.09906705666481	970	240
epilepsy_ndd	0.349077169016131	0.523615753524197	-0.506722342514824	-1.10791313971448	2401	7
DD	0.193624690245551	0.34715821812596	-0.283698901765891	-1.16537623966542	1718	93
NDD	0.121110630942092	0.29066551426102	-0.28729203532101	-1.20793935769606	1120	121
ALS	0.175945657964838	0.34715821812596	-0.548878547825291	-1.27589532285895	1320	8
epilepsy_dee	0.116946477256421	0.29066551426102	-0.593515492884741	-1.36502804481924	814	8
prenatal_high_expressed_genes	0.000100331092605598	0.00120397311126718	-0.399548775022023	-1.82188225680062	0	387
adult_high_expressed_genes	0.000100140196274785	0.00120397311126718	-0.439369338825781	-1.96684641795993	0	452
