pathway	pval	padj	ES	NES	nMoreExtreme	size
NAFE	0.0063993600639936	0.131986801319868	0.963077202950823	1.80001138475929	63	2
ASDspe	0.010998900109989	0.131986801319868	0.728265876219945	1.64658244439926	109	7
DEE	0.22017798220178	0.880711928807119	0.53389576535725	1.19131468234559	2201	7
BPwithoutPsycho	0.19008099190081	0.880711928807119	0.419726536975891	1.14726689668972	1900	17
prenatal_high_expressed_genes	0.0362963703629637	0.266973302669733	0.326654115102714	1.09345626134265	362	387
BPSchizo	0.2995700429957	0.895110488951105	0.430148340794729	1.09198734364771	2995	12
BP	0.303869613038696	0.895110488951105	0.430148340794729	1.08807662545298	3038	12
alzheimer	0.437956204379562	0.895110488951105	0.586884883167073	1.06779152733205	4379	2
constraint_genes	0.0444955504449555	0.266973302669733	0.320000005219678	1.06706979627168	444	240
BP1	0.410758924107589	0.895110488951105	0.421694830264058	1.02552765285789	4107	9
MS	0.447555244475552	0.895110488951105	0.527576822595194	1.0230165795837	4475	3
epilepsy_dee	0.437256274372563	0.895110488951105	0.448341158786141	1.01821505837182	4372	8
adult_high_expressed_genes	0.771422857714229	0.998200179982002	0.285468697868649	0.963423696245715	7714	452
DDspe	0.601739826017398	0.998200179982002	0.349439817933184	0.937869889473436	6017	22
NDD	0.875812418758124	0.998200179982002	0.287682718656906	0.90529757900938	8758	121
BP2	0.676732326767323	0.998200179982002	0.345836682352316	0.89338968593178	6767	14
ALS	0.664633536646335	0.998200179982002	0.370397535167064	0.881883956169352	6646	8
DD	0.931406859314069	0.998200179982002	0.281228786563708	0.86972849229332	9314	93
scz	0.964703529647035	0.998200179982002	0.270350374216687	0.792185265288022	9647	44
epilepsy_ndd	0.812018798120188	0.998200179982002	0.350179567257693	0.770267787575673	8120	7
BPwithPsycho	0.837416258374163	0.998200179982002	0.330674688086583	0.759517915433992	8374	8
ASD	0.973602639736026	0.998200179982002	0.266500780135199	0.756455623910246	9736	35
EPI	0.98960103989601	0.998200179982002	0.123599324001616	0.234247076373416	9896	3
GGE	0.998200179982002	0.998200179982002	0.0492890995260663	0.0914936957971415	9982	3
