pathway	pval	padj	ES	NES	nMoreExtreme	size
adult_high_expressed_genes	0.000112410071942446	0.00269784172661871	0.493281642442707	2.42197982547924	0	1421
epilepsy_dee	0.000862254796292304	0.00517352877775383	0.591441480920667	1.88307298101737	3	27
ASDspe	0.00078600903910395	0.00517352877775383	0.56607313257261	1.82948695349057	3	31
alzheimer	0.0126227208976157	0.0335966403359664	0.671268208975004	1.66191078490877	71	10
epilepsy_ndd	0.0108520900321543	0.032556270096463	0.563499385558195	1.65019951369449	53	20
scz	0.00826317430620518	0.0283308833355606	0.320960236100036	1.38757927164466	52	186
ASD	0.00790513833992095	0.0283308833355606	0.32316518220547	1.37533148568251	33	159
EPI	0.105061504335552	0.193959700311787	0.521261878914955	1.36163777529427	520	12
NDD	0.000414593698175788	0.00497512437810945	0.284852717271079	1.35618369861166	1	553
GGE	0.156360771957464	0.268047037641366	0.487727670162503	1.28246119766199	793	13
DD	0.0178611297164546	0.0389697375631736	0.263225163125718	1.222374105029	79	390
prenatal_high_expressed_genes	0.0018598884066956	0.00892746435213887	0.241620374242254	1.19506674288539	14	1579
DEE	0.256042444488112	0.361471686336158	0.414563300451728	1.1581634584812	1302	16
NAFE	0.517893660531697	0.654181465934776	0.37592181289201	0.954466277240387	3038	12
ALS	0.67528051683101	0.810336620197212	0.260854626213521	0.873003471833965	3971	35
BPwithoutPsycho	0.781140149778389	0.89273159974673	0.211088577163998	0.837591527634728	5110	75
BPwithPsycho	0.909772088666875	0.966122616924976	0.213503243881906	0.740142712096405	5827	45
BP1	0.925867507886435	0.966122616924976	0.198313585476385	0.733865347528704	5869	61
MS	0.997889738855183	0.997889738855183	-0.14794356448822	-0.444284756234867	3782	18
DDspe	0.482330300909727	0.643107067879636	-0.269478922214047	-0.982850744650684	2756	67
constraint_genes	0.013998600139986	0.0335966403359664	-0.241856805160081	-1.04473971507942	139	1233
BP	0.207654955726935	0.311482433590403	-0.284375499542405	-1.14758049485538	726	61
BPSchizo	0.181946403385049	0.291114245416079	-0.293147023828595	-1.17349941267695	644	59
BP2	0.0857062306174232	0.171412461234846	-0.317067327698228	-1.28230945495357	303	60
