pathway	pval	padj	ES	NES	nMoreExtreme	size
epilepsy_ndd	0.0195980401959804	0.141585841415858	0.605585209411943	1.37708049175048	195	20
NAFE	0.0606939306069393	0.241042562410426	0.605593026539169	1.35968346883013	606	12
adult_high_expressed_genes	9.99900009999e-05	0.0023997600239976	0.481652945982438	1.33144890186722	0	1421
alzheimer	0.122387761223878	0.248098267096367	0.56936585431224	1.31384287931144	1223	10
epilepsy_dee	0.083991600839916	0.241042562410426	0.525522034460417	1.23659884625564	839	27
ASDspe	0.0875912408759124	0.241042562410426	0.509455534490947	1.22025110165081	875	31
DEE	0.172882711728827	0.296370362963704	0.525958309402263	1.20253599195412	1728	16
BPSchizo	0.0903909609039096	0.241042562410426	0.44256683630912	1.18972565499507	903	59
BP	0.125587441255874	0.248098267096367	0.431559619675968	1.16469842597964	1255	61
BP2	0.134386561343866	0.248098267096367	0.424242229577181	1.15944481533002	1343	60
DD	0.0235976402359764	0.141585841415858	0.420716165744322	1.10551176744829	235	390
scz	0.114388561143886	0.248098267096367	0.408739334501666	1.10072830352308	1143	186
BPwithoutPsycho	0.237776222377762	0.38044195580442	0.388903584903629	1.09365962600413	2377	75
prenatal_high_expressed_genes	0.0005999400059994	0.0071992800719928	0.403330780583966	1.09280005414592	5	1579
NDD	0.0433956604339566	0.208299170082992	0.40850476648338	1.07826647687583	433	553
DDspe	0.338866113388661	0.478399218901639	0.423062439953218	1.05126474040054	3388	67
ASD	0.313468653134687	0.47020297970203	0.405960499407468	1.04109354889806	3134	159
EPI	0.447855214478552	0.565711849867645	0.465259523517705	1.03860158110996	4478	12
BPwithPsycho	0.437056294370563	0.565711849867645	0.399960343636691	1.02471800899582	4370	45
constraint_genes	0.788121187881212	0.880384688803847	0.38475175390165	0.992921415682696	7881	1233
BP1	0.807019298070193	0.880384688803847	0.330592225274649	0.87715293506096	8070	61
GGE	0.789121087891211	0.880384688803847	0.368888352217877	0.817540229982314	7891	13
ALS	0.941605839416058	0.982545223738496	0.290482329813114	0.736087224445549	9416	35
MS	0.998800119988001	0.998800119988001	0.162921216554101	0.38480542168266	9988	18
