pathway	pval	padj	ES	NES	nMoreExtreme	size
NAFE	0.0420613868889731	0.243071786310518	0.468276221952954	1.54842611133266	110	14
BP	0.0506399554813578	0.243071786310518	0.26447702424908	1.32017119174214	90	73
BP2	0.0692307692307692	0.276923076923077	0.268350062657809	1.29521306801968	125	66
BPSchizo	0.0810055865921788	0.277733439744613	0.260927969225096	1.28648229316054	144	71
MS	0.243048740595355	0.450601862366568	0.320163184316079	1.1621853709972	742	21
BPwithoutPsycho	0.246386785960083	0.450601862366568	0.217162978453944	1.10405159633191	357	86
BP1	0.262851086380498	0.450601862366568	0.222218752121582	1.10228320311352	495	70
DDspe	0.261640798226164	0.450601862366568	0.202352770326758	1.09167326530703	353	82
BPwithPsycho	0.667946257197697	0.845988347075721	0.190887457046449	0.896399620800121	1391	53
DEE	0.744935237462637	0.845988347075721	0.226933648017481	0.803526092830457	2242	18
EPI	0.866886030511517	0.866886030511517	-0.240922319776972	-0.686970842553633	5795	14
GGE	0.824607713741018	0.860460223034106	-0.244266322158785	-0.723785173521205	5622	16
epilepsy_dee	0.775489318152744	0.845988347075721	-0.220780398775437	-0.786627324701354	6061	36
ASDspe	0.717605004468275	0.845988347075721	-0.234211777873223	-0.827212465645229	5620	35
epilepsy_ndd	0.696802051005263	0.845988347075721	-0.249937944424172	-0.828549724349955	5163	25
ASD	0.643844287372086	0.845988347075721	-0.198661231477699	-0.921915042579773	6102	178
DD	0.621139189731248	0.845988347075721	-0.196756566895946	-0.95974427758644	6193	469
constraint_genes	0.230876912308769	0.450601862366568	-0.197044959222403	-1.01966075203026	2308	1368
NDD	0.383491745872937	0.613586793396698	-0.209063390390148	-1.03316701030106	3832	647
alzheimer	0.261443414771132	0.450601862366568	-0.408862303397263	-1.17448591754266	1861	16
scz	0.135531135531136	0.406593406593407	-0.260295673004582	-1.19768200194777	1294	207
ALS	0.0333462582396278	0.243071786310518	-0.432591416132946	-1.51356979488424	257	35
prenatal_high_expressed_genes	9.99900009999e-05	0.0011998800119988	-0.343683604860818	-1.71044664460241	0	1697
adult_high_expressed_genes	9.99900009999e-05	0.0011998800119988	-0.455949306566955	-2.24433425024272	0	1651
