pathway	pval	padj	ES	NES	nMoreExtreme	size
adult_high_expressed_genes	9.99900009999e-05	0.0011998800119988	0.352597881243437	1.32063418739831	0	1651
prenatal_high_expressed_genes	9.99900009999e-05	0.0011998800119988	0.3081645631212	1.17214050819722	0	1697
DEE	0.261973802619738	0.991600839916008	0.402031709286521	1.15763009648155	2619	18
DDspe	0.178082191780822	0.991600839916008	0.329493185338689	1.1314981314126	1780	82
NAFE	0.345565443455654	0.991600839916008	0.405739457600943	1.10028112363903	3455	14
ASDspe	0.369063093690631	0.991600839916008	0.338170736598405	1.06329847205497	3690	35
scz	0.363463653634637	0.991600839916008	0.291429752290917	1.03276377124781	3634	207
constraint_genes	0.309269073092691	0.991600839916008	0.25981635393128	1.00672016265429	3092	1368
ALS	0.546145385461454	0.991600839916008	0.318907584721397	0.971472315537476	5461	35
BPSchizo	0.592940705929407	0.991600839916008	0.297017265540372	0.962810391803846	5929	71
epilepsy_dee	0.592440755924408	0.991600839916008	0.299750981498243	0.950549072215222	5924	36
BP	0.631536846315369	0.991600839916008	0.291660906167362	0.948171543443118	6315	73
BPwithoutPsycho	0.668533146685332	0.991600839916008	0.293229393545556	0.93903150878297	6685	86
BP2	0.691230876912309	0.991600839916008	0.287611962065945	0.91820306568896	6912	66
DD	0.948605139486051	0.991600839916008	0.237762575819947	0.890693193258147	9486	469
NDD	0.991600839916008	0.991600839916008	0.228262840451595	0.8627723382978	9916	647
EPI	0.735526447355265	0.991600839916008	0.297356893858586	0.827381024041643	7355	14
ASD	0.962303769623038	0.991600839916008	0.226829475376081	0.820514667894822	9623	178
alzheimer	0.83001699830017	0.991600839916008	0.282411228487989	0.762316180098028	8300	16
MS	0.864813518648135	0.991600839916008	0.254027195311633	0.734490049345715	8648	21
BPwithPsycho	0.952104789521048	0.991600839916008	0.222488984533382	0.712777002041545	9521	53
BP1	0.974702529747025	0.991600839916008	0.217634794023514	0.706437090802219	9747	70
epilepsy_ndd	0.923807619238076	0.991600839916008	0.227235543435954	0.692484037029369	9238	25
GGE	0.98980101989801	0.991600839916008	0.148184750339077	0.424129346719971	9898	16
