pathway	pval	padj	ES	NES	nMoreExtreme	size
BP2	0.967632719393283	0.967632719393283	-0.340947975429088	-0.621781079852737	7144	14
BP1	0.789103195832747	0.823412030434171	-0.463209395698847	-0.772101464424049	5604	9
BPwithoutPsycho	0.775762993232027	0.823412030434171	-0.422158313354712	-0.801771065772203	6074	17
BPwithPsycho	0.717340704102415	0.819817947545617	-0.517304170893949	-0.833495018603726	4930	8
DDspe	0.674271229404309	0.809125475285171	-0.447926308168382	-0.879428858311587	5319	22
epilepsy_ndd	0.575829383886256	0.746451670622411	-0.621453126647685	-0.966307481641066	4130	7
constraint_genes	0.590940905909409	0.746451670622411	-0.416210942016822	-0.988571996432388	5909	240
scz	0.428306048995704	0.604667363288053	-0.479048746684556	-1.02798933698032	3688	44
ASD	0.391800069100541	0.587700103650812	-0.505616159625812	-1.05026570797329	3401	35
alzheimer	0.387285223367698	0.587700103650812	-0.806332833620904	-1.08798899995799	2253	2
EPI	0.338032841267209	0.587700103650812	-0.816799989949717	-1.12082165442136	2037	3
ALS	0.344272166189974	0.587700103650812	-0.692153588588432	-1.13211359831317	2286	8
MS	0.271338876633294	0.542677753266588	-0.833075032001761	-1.15119788202513	1598	3
prenatal_high_expressed_genes	0.0287	0.321406665303619	-0.474642125732327	-1.16117982295632	286	387
NAFE	0.224610502019619	0.495840679397085	-0.885660138976627	-1.17799842126293	1556	2
GGE	0.160318188771608	0.480954566314823	-0.886255924170616	-1.20115426236897	1047	3
BPSchizo	0.227260311390331	0.495840679397085	-0.678916203443195	-1.20824685962177	1663	12
DD	0.0844101709045436	0.337640683618174	-0.522995120287507	-1.20908203702968	809	93
BP	0.223115299334812	0.495840679397085	-0.678916203443195	-1.21172757130951	1609	12
NDD	0.0401758331629524	0.321406665303619	-0.532452655992011	-1.2412563494484	392	121
DEE	0.127766302744172	0.438055895122877	-0.799337590523533	-1.26489802140441	865	7
epilepsy_dee	0.0822614840989399	0.337640683618174	-0.811808744386141	-1.31475324659633	581	8
ASDspe	0.0552350735506201	0.331410441303721	-0.845965127709046	-1.33720145747264	382	7
adult_high_expressed_genes	1e-04	0.0024	-0.671911111688177	-1.65417777120602	0	452
