pathway	pval	padj	ES	NES	nMoreExtreme	size
NAFE	0.200679932006799	0.552478085524781	0.848704990524321	1.3608390160841	2006	2
GGE	0.153484651534847	0.552478085524781	0.849289099526066	1.30143192508154	1534	3
MS	0.204479552044796	0.552478085524781	0.804007101512029	1.26482154560056	2044	3
ASDspe	0.111188881111889	0.552478085524781	0.788072055896328	1.19415717117633	1111	7
alzheimer	0.397760223977602	0.561543845615439	0.714734602414334	1.18673804919368	3977	2
epilepsy_dee	0.133486651334867	0.552478085524781	0.769087225398799	1.15816718480908	1334	8
EPI	0.391860813918608	0.561543845615439	0.734967446505799	1.14817432982991	3918	3
BP1	0.170582941705829	0.552478085524781	0.730875417232661	1.13943451803469	1705	9
epilepsy_ndd	0.207179282071793	0.552478085524781	0.755933776231151	1.13109312620159	2071	7
DEE	0.242775722427757	0.561543845615439	0.734168340286266	1.11591616217324	2427	7
adult_high_expressed_genes	0.0197980201979802	0.475152484751525	0.598908696668311	1.04848760693042	197	452
DDspe	0.336966303369663	0.561543845615439	0.645566141611942	1.03726426380304	3369	22
ASD	0.323067693230677	0.561543845615439	0.631599704243138	1.0316105604725	3230	35
NDD	0.282171782821718	0.561543845615439	0.601689786760117	1.02169921319162	2821	121
scz	0.379362063793621	0.561543845615439	0.613606845113964	1.02038145317038	3793	44
DD	0.359464053594641	0.561543845615439	0.600890729772157	1.01547950473367	3594	93
constraint_genes	0.15968403159684	0.552478085524781	0.588066450325444	1.01349288944597	1596	240
BPSchizo	0.466853314668533	0.58974102589741	0.638992249070572	1.01087989067509	4668	12
BP	0.478652134786521	0.58974102589741	0.638992249070572	1.0076324308695	4786	12
BPwithoutPsycho	0.491450854914509	0.58974102589741	0.616152924752661	1.00120046641071	4914	17
prenatal_high_expressed_genes	0.993500649935006	0.993500649935006	0.540176887211268	0.941020171451817	9935	387
BPwithPsycho	0.758924107589241	0.867341837244847	0.592903451487291	0.908299370704926	7589	8
BP2	0.877112288771123	0.915247605674215	0.54711828406182	0.867429519406239	8771	14
ALS	0.825717428257174	0.900782649007826	0.560508018968178	0.865230390252916	8257	8
