pathway	pval	padj	ES	NES	nMoreExtreme	size	data	type
constraint_genes	0.0951904809519048	0.163183681631837	0.232272246937725	1.03622249564452	951	1202	gtex	pseudotimeDE
BP	0.862717219589258	0.941146057733735	0.209885197933144	0.785134793952373	5460	69	gtex	pseudotimeDE
MS	0.990927419354839	0.990927419354839	0.185249752588526	0.531625250632425	5897	21	gtex	pseudotimeDE
alzheimer	0.846748851824994	0.941146057733735	-0.264813710690719	-0.721833877280452	3502	13	gtex	pseudotimeDE
ALS	0.402457372116349	0.536609829488465	-0.307425753188657	-1.03141985433198	1604	32	gtex	pseudotimeDE
scz	0.194029850746269	0.291044776119403	-0.250848220444822	-1.10461405340928	636	189	gtex	pseudotimeDE
ASD	0.0366687383467993	0.0798053527980535	-0.298932913945303	-1.24871801433362	117	164	gtex	pseudotimeDE
NDD	0.00200601805416249	0.00601805416248746	-0.267324663611928	-1.26166554279335	3	582	gtex	pseudotimeDE
prenatal_high_expressed_genes	0.00111482720178372	0.00445930880713489	-0.275962738946118	-1.39175519247052	0	1483	gtex	pseudotimeDE
EPI	0.0399026763990268	0.0798053527980535	-0.592955475903115	-1.53572865557303	163	13	gtex	pseudotimeDE
adult_high_expressed_genes	0.000928505106778087	0.00445930880713489	-0.333050646503116	-1.71813726506999	0	1499	gtex	pseudotimeDE
epilepsy_ndd	0.000240673886883273	0.00288808664259928	-0.811540282089538	-2.36150597637165	0	22	gtex	pseudotimeDE
constraint_genes	0.00262334779537887	0.00642107429512245	0.198643868372312	1.0978317107872	25	1321	gtex	sexDE
ALS	0.465542069533018	0.558650483439621	0.280366979916712	0.989136866090748	2262	32	gtex	sexDE
MS	0.647998382531339	0.656058345764959	0.276993192280358	0.875870863420714	3204	22	gtex	sexDE
prenatal_high_expressed_genes	0.656058345764959	0.656058345764959	-0.172773929293362	-0.97158735045826	3957	1651	gtex	sexDE
BP	0.354039788875355	0.472053051833807	-0.252677141868344	-1.05330660062701	1743	74	gtex	sexDE
alzheimer	0.341080766995933	0.472053051833807	-0.373594306679705	-1.09092948585175	1760	16	gtex	sexDE
scz	0.0241978849256139	0.0483957698512278	-0.274721619590144	-1.31169709057873	134	209	gtex	sexDE
NDD	0.00019466614755694	0.000837696335078534	-0.270177826889737	-1.45015237576337	0	635	gtex	sexDE
ASD	0.00267544762296769	0.00642107429512245	-0.312737097793373	-1.482251841793	12	175	gtex	sexDE
EPI	0.0488633949437009	0.0837658199034872	-0.530767508648519	-1.50357646209178	229	14	gtex	sexDE
epilepsy_ndd	0.000209424083769634	0.000837696335078534	-0.597196422636946	-1.95377163501889	0	25	gtex	sexDE
adult_high_expressed_genes	0.000147623265426631	0.000837696335078534	-0.411598726037559	-2.30680697992308	0	1664	gtex	sexDE
adult_high_expressed_genes	0.0001127649977447	0.0013531799729364	0.493281642442707	2.42035991319677	0	1421	hdbr	pseudotimeDE
epilepsy_ndd	0.00830531935930394	0.0169962917181706	0.563499385558195	1.66039271425124	41	20	hdbr	pseudotimeDE
alzheimer	0.0109717868338558	0.0188087774294671	0.671268208975004	1.65760314751877	62	10	hdbr	pseudotimeDE
scz	0.00849814585908529	0.0169962917181706	0.320960236100036	1.38592775042625	54	186	hdbr	pseudotimeDE
ASD	0.008	0.0169962917181706	0.32316518220547	1.38051951569213	33	159	hdbr	pseudotimeDE
EPI	0.111735205616851	0.148980274155801	0.521261878914955	1.35612883345496	556	12	hdbr	pseudotimeDE
NDD	0.000418585182084554	0.00251151109250733	0.284852717271079	1.35495030779526	1	553	hdbr	pseudotimeDE
prenatal_high_expressed_genes	0.00222194790766572	0.00888779163066288	0.241620374242254	1.19594007041628	17	1579	hdbr	pseudotimeDE
ALS	0.670437017994859	0.731385837812573	0.260854626213521	0.877606755991208	3911	35	hdbr	pseudotimeDE
MS	0.998949027850762	0.998949027850762	-0.14794356448822	-0.444824549566877	3801	18	hdbr	pseudotimeDE
constraint_genes	0.0134986501349865	0.0202479752024798	-0.241856805160081	-1.04475115106571	134	1233	hdbr	pseudotimeDE
BP	0.214085297418631	0.256902356902357	-0.284375499542405	-1.14042992479876	762	61	hdbr	pseudotimeDE
BP	0.0689467969598263	0.206840390879479	0.26447702424908	1.31408475467513	126	73	hdbr	sexDE
MS	0.257299896942631	0.402480033627575	0.320163184316079	1.1550211896717	748	21	hdbr	sexDE
EPI	0.853108167127675	0.853108167127675	-0.240922319776972	-0.68775571169822	5859	14	hdbr	sexDE
epilepsy_ndd	0.705285926727052	0.769402829156783	-0.249937944424172	-0.824129091838823	5216	25	hdbr	sexDE
ASD	0.65625	0.769402829156783	-0.198661231477699	-0.919197138641428	6215	178	hdbr	sexDE
constraint_genes	0.231876812318768	0.402480033627575	-0.197044959222403	-1.01949918348152	2318	1368	hdbr	sexDE
NDD	0.386993496748374	0.515991328997832	-0.209063390390148	-1.03247696580255	3867	647	hdbr	sexDE
alzheimer	0.268320022418383	0.402480033627575	-0.408862303397263	-1.17191833359764	1914	16	hdbr	sexDE
scz	0.136625169996862	0.327900407992468	-0.260295673004582	-1.19746993099799	1305	207	hdbr	sexDE
ALS	0.0318627450980392	0.127450980392157	-0.432591416132946	-1.51154084510466	246	35	hdbr	sexDE
prenatal_high_expressed_genes	9.99900009999e-05	0.0005999400059994	-0.343683604860818	-1.70774723974322	0	1697	hdbr	sexDE
adult_high_expressed_genes	9.99900009999e-05	0.0005999400059994	-0.455949306566955	-2.24681644113031	0	1651	hdbr	sexDE
