pathway	pval	padj	ES	NES	nMoreExtreme	size	data	type
ALS	0.167014613778706	0.487120701281187	0.955190464923696	1.22758401996577	799	8	gtex	adult specific
alzheimer	0.406096528365792	0.6961654771985	0.801326595072647	1.15334069855306	2397	2	gtex	adult specific
BP	0.736155137050158	0.88338616446019	0.713707053060665	0.885802425867119	3947	12	gtex	adult specific
epilepsy_ndd	0.982481990831696	0.982481990831696	-0.488625214741369	-0.559716098247973	6000	7	gtex	adult specific
EPI	0.845037846930194	0.921859469378393	-0.580755421513715	-0.699176897997897	4018	3	gtex	adult specific
scz	0.572228443449048	0.762971257932064	-0.615550167542976	-0.925641443301184	3065	44	gtex	adult specific
constraint_genes	0.48378728923476	0.72568093385214	-0.489851366992094	-0.989401746648006	4475	240	gtex	adult specific
prenatal_high_expressed_genes	0.38820688267257	0.6961654771985	-0.499912762302628	-1.01105339050911	1928	387	gtex	adult specific
adult_high_expressed_genes	0.16322869955157	0.487120701281187	-0.545967124966641	-1.11426702444064	727	452	gtex	adult specific
MS	0.202966958867161	0.487120701281187	-0.95260663507109	-1.19012764686082	902	3	gtex	adult specific
ASD	0.107050452781371	0.487120701281187	-0.898357048062224	-1.28512075463762	661	35	gtex	adult specific
NDD	0.00252312867956266	0.0302775441547519	-0.85499205751192	-1.53406078028098	14	121	gtex	adult specific
BP	0.0627572016460905	0.251028806584362	0.482301912910278	1.4949572255547	182	12	hdbr	prenatal specific
EPI	0.52850266024829	0.784777806147937	0.495102685624013	0.876658403642628	2085	3	hdbr	prenatal specific
MS	0.887051430461386	0.887051430461386	-0.389809377657506	-0.654890813518877	5363	3	hdbr	prenatal specific
scz	0.719379655635609	0.784777806147937	-0.236845198697207	-0.844751239055454	5890	44	hdbr	prenatal specific
ASD	0.71662026389057	0.784777806147937	-0.250297039825211	-0.845320002917422	5919	35	hdbr	prenatal specific
alzheimer	0.641039621955652	0.784777806147937	-0.60330939359032	-0.889831134995286	3526	2	hdbr	prenatal specific
constraint_genes	0.0897910208979102	0.269373062693731	-0.241827380551584	-1.10044907143886	897	240	hdbr	prenatal specific
epilepsy_ndd	0.344882806813219	0.591227668822661	-0.506722342514824	-1.11032230404731	2368	7	hdbr	prenatal specific
NDD	0.116673875432526	0.280017301038062	-0.28729203532101	-1.20952335694198	1078	121	hdbr	prenatal specific
ALS	0.180456112437019	0.360912224874039	-0.548878547825291	-1.27277258992238	1360	8	hdbr	prenatal specific
prenatal_high_expressed_genes	0.000100280786201364	0.000601684717208183	-0.399548775022023	-1.81731518034465	0	387	hdbr	prenatal specific
adult_high_expressed_genes	0.000100130169219986	0.000601684717208183	-0.439369338825781	-1.96914793160673	0	452	hdbr	prenatal specific
epilepsy_ndd	0.577641483133538	0.57954204579542	-0.621453126647685	-0.963627411780724	4143	7	hdbr	shared
constraint_genes	0.57954204579542	0.57954204579542	-0.416210942016822	-0.989735012889353	5795	240	hdbr	shared
scz	0.424161541139608	0.508993849367529	-0.479048746684556	-1.03095867095666	3654	44	hdbr	shared
ASD	0.387546040515654	0.508993849367529	-0.505616159625812	-1.05406036622567	3366	35	hdbr	shared
alzheimer	0.379877515310586	0.508993849367529	-0.806332833620904	-1.08992189981033	2170	2	hdbr	shared
EPI	0.334310372903436	0.508993849367529	-0.816799989949717	-1.12367605116016	2052	3	hdbr	shared
ALS	0.338541666666667	0.508993849367529	-0.692153588588432	-1.1349643164996	2274	8	hdbr	shared
MS	0.26889338731444	0.508993849367529	-0.833075032001761	-1.15576993073485	1593	3	hdbr	shared
prenatal_high_expressed_genes	0.0287086125837751	0.16366612111293	-0.474642125732327	-1.15912710109498	286	387	hdbr	shared
BP	0.235108427120505	0.508993849367529	-0.678916203443195	-1.20012018318995	1712	12	hdbr	shared
NDD	0.0409165302782324	0.16366612111293	-0.532452655992011	-1.24070377569969	399	121	hdbr	shared
adult_high_expressed_genes	0.000100030009002701	0.00120036010803241	-0.671911111688177	-1.65496934911676	0	452	hdbr	shared
