pathway	pval	padj	ES	NES	nMoreExtreme	size
ALS	0.167014613778706	0.487120701281187	0.955190464923696	1.22758401996577	799	8
alzheimer	0.406096528365792	0.6961654771985	0.801326595072647	1.15334069855306	2397	2
BP	0.736155137050158	0.88338616446019	0.713707053060665	0.885802425867119	3947	12
epilepsy_ndd	0.982481990831696	0.982481990831696	-0.488625214741369	-0.559716098247973	6000	7
EPI	0.845037846930194	0.921859469378393	-0.580755421513715	-0.699176897997897	4018	3
scz	0.572228443449048	0.762971257932064	-0.615550167542976	-0.925641443301184	3065	44
constraint_genes	0.48378728923476	0.72568093385214	-0.489851366992094	-0.989401746648006	4475	240
prenatal_high_expressed_genes	0.38820688267257	0.6961654771985	-0.499912762302628	-1.01105339050911	1928	387
adult_high_expressed_genes	0.16322869955157	0.487120701281187	-0.545967124966641	-1.11426702444064	727	452
MS	0.202966958867161	0.487120701281187	-0.95260663507109	-1.19012764686082	902	3
ASD	0.107050452781371	0.487120701281187	-0.898357048062224	-1.28512075463762	661	35
NDD	0.00252312867956266	0.0302775441547519	-0.85499205751192	-1.53406078028098	14	121
