pathway	pval	padj	ES	NES	nMoreExtreme	size
MS	0.212178782121788	0.884711528847115	0.903633491311216	1.43269526376382	2121	3
EPI	0.294970502949705	0.884711528847115	0.884044233807267	1.34478863477861	2949	3
ALS	0.143085691430857	0.884711528847115	0.940633502898379	1.16702890854985	1430	8
epilepsy_ndd	0.614238576142386	0.884711528847115	0.845922817246585	1.04434718534922	6142	7
alzheimer	0.53964603539646	0.884711528847115	0.621604548325963	1.03219609452269	5396	2
BP	0.469053094690531	0.884711528847115	0.873257287705957	1.02346489291775	4690	12
ASD	0.402359764023598	0.884711528847115	0.857047362261383	1.00658970167233	4023	35
constraint_genes	0.566343365663434	0.884711528847115	0.844700412615169	0.999506862215597	5663	240
scz	0.663533646635336	0.884711528847115	0.838863613661336	0.987966918141638	6635	44
NDD	0.893410658934107	0.97980201979802	0.828728293212866	0.983347536211666	8934	121
prenatal_high_expressed_genes	0.963603639636036	0.97980201979802	0.825383798160321	0.982898510119355	9636	387
adult_high_expressed_genes	0.97980201979802	0.97980201979802	0.8220283480444	0.979586410937896	9798	452
