pathway	pval	padj	ES	NES	nMoreExtreme	size
constraint_genes	0.0951904809519048	0.163183681631837	0.232272246937725	1.03622249564452	951	1202
BP	0.862717219589258	0.941146057733735	0.209885197933144	0.785134793952373	5460	69
MS	0.990927419354839	0.990927419354839	0.185249752588526	0.531625250632425	5897	21
alzheimer	0.846748851824994	0.941146057733735	-0.264813710690719	-0.721833877280452	3502	13
ALS	0.402457372116349	0.536609829488465	-0.307425753188657	-1.03141985433198	1604	32
scz	0.194029850746269	0.291044776119403	-0.250848220444822	-1.10461405340928	636	189
ASD	0.0366687383467993	0.0798053527980535	-0.298932913945303	-1.24871801433362	117	164
NDD	0.00200601805416249	0.00601805416248746	-0.267324663611928	-1.26166554279335	3	582
prenatal_high_expressed_genes	0.00111482720178372	0.00445930880713489	-0.275962738946118	-1.39175519247052	0	1483
EPI	0.0399026763990268	0.0798053527980535	-0.592955475903115	-1.53572865557303	163	13
adult_high_expressed_genes	0.000928505106778087	0.00445930880713489	-0.333050646503116	-1.71813726506999	0	1499
epilepsy_ndd	0.000240673886883273	0.00288808664259928	-0.811540282089538	-2.36150597637165	0	22
