pathway	pval	padj	ES	NES	nMoreExtreme	size
epilepsy_ndd	9.99900009999e-05	0.0003999600039996	0.781301086655997	1.72817068704053	0	22
adult_high_expressed_genes	9.99900009999e-05	0.0003999600039996	0.467741508584191	1.26240955220649	0	1499
ASD	0.0018998100189981	0.00455954404559544	0.497622792741719	1.23826194365788	18	164
EPI	0.192080791920808	0.329281357578528	0.55963947673732	1.20832805620705	1920	13
prenatal_high_expressed_genes	9.99900009999e-05	0.0003999600039996	0.437110926736015	1.15011570319609	0	1483
NDD	0.0007999200079992	0.0023997600239976	0.448767764131155	1.14470852022171	7	582
ALS	0.285671432856714	0.428507149285072	0.44514901601241	1.10035775076143	2856	32
scz	0.402359764023598	0.536479685364797	0.388776337497092	1.02022750110516	4023	189
constraint_genes	0.172782721727827	0.329281357578528	0.396532820429234	1.010852142522	1727	1202
BP	0.961503849615038	0.975302469753025	0.287206357471988	0.764706697190681	9615	69
alzheimer	0.919108089191081	0.975302469753025	0.27687719399822	0.647453230945884	9191	13
MS	0.975302469753025	0.975302469753025	0.256443525644516	0.601182255644981	9753	21
