pathway	pval	padj	ES	NES	nMoreExtreme	size
constraint_genes	0.00262334779537887	0.00642107429512245	0.198643868372312	1.0978317107872	25	1321
ALS	0.465542069533018	0.558650483439621	0.280366979916712	0.989136866090748	2262	32
MS	0.647998382531339	0.656058345764959	0.276993192280358	0.875870863420714	3204	22
prenatal_high_expressed_genes	0.656058345764959	0.656058345764959	-0.172773929293362	-0.97158735045826	3957	1651
BP	0.354039788875355	0.472053051833807	-0.252677141868344	-1.05330660062701	1743	74
alzheimer	0.341080766995933	0.472053051833807	-0.373594306679705	-1.09092948585175	1760	16
scz	0.0241978849256139	0.0483957698512278	-0.274721619590144	-1.31169709057873	134	209
NDD	0.00019466614755694	0.000837696335078534	-0.270177826889737	-1.45015237576337	0	635
ASD	0.00267544762296769	0.00642107429512245	-0.312737097793373	-1.482251841793	12	175
EPI	0.0488633949437009	0.0837658199034872	-0.530767508648519	-1.50357646209178	229	14
epilepsy_ndd	0.000209424083769634	0.000837696335078534	-0.597196422636946	-1.95377163501889	0	25
adult_high_expressed_genes	0.000147623265426631	0.000837696335078534	-0.411598726037559	-2.30680697992308	0	1664
