pathway	pval	padj	ES	NES	nMoreExtreme	size
epilepsy_ndd	0.0062993700629937	0.0377962203779622	0.566664295076781	1.47066329483233	62	25
adult_high_expressed_genes	9.99900009999e-05	0.0011998800119988	0.390316893340935	1.19848783768149	0	1664
ASD	0.0246975302469753	0.0740925907409259	0.400482572512997	1.17836514443254	246	175
EPI	0.251174882511749	0.502349765023498	0.474435050210822	1.16296593595997	2511	14
scz	0.0457954204579542	0.10990900909909	0.38540348254151	1.14454738507601	457	209
NDD	0.0152984701529847	0.0611938806119388	0.366463323842652	1.10929163695861	152	635
alzheimer	0.392260773922608	0.588391160883912	0.426659498151454	1.06624149184768	3922	16
constraint_genes	0.338366163383662	0.580056280086277	0.327645611926754	1.00619224972451	3383	1321
prenatal_high_expressed_genes	0.906009399060094	0.946605339466053	0.313522086463209	0.957296689275886	9060	1651
ALS	0.638936106389361	0.836676332366763	0.347082188842223	0.933358108509418	6389	32
MS	0.697230276972303	0.836676332366763	0.348653263977021	0.889459766171249	6972	22
BP	0.946605339466053	0.946605339466053	0.271553920611391	0.780180648312254	9466	74
