pathway	pval	padj	ES	NES	nMoreExtreme	size
BP	0.0627572016460905	0.251028806584362	0.482301912910278	1.4949572255547	182	12
EPI	0.52850266024829	0.784777806147937	0.495102685624013	0.876658403642628	2085	3
MS	0.887051430461386	0.887051430461386	-0.389809377657506	-0.654890813518877	5363	3
scz	0.719379655635609	0.784777806147937	-0.236845198697207	-0.844751239055454	5890	44
ASD	0.71662026389057	0.784777806147937	-0.250297039825211	-0.845320002917422	5919	35
alzheimer	0.641039621955652	0.784777806147937	-0.60330939359032	-0.889831134995286	3526	2
constraint_genes	0.0897910208979102	0.269373062693731	-0.241827380551584	-1.10044907143886	897	240
epilepsy_ndd	0.344882806813219	0.591227668822661	-0.506722342514824	-1.11032230404731	2368	7
NDD	0.116673875432526	0.280017301038062	-0.28729203532101	-1.20952335694198	1078	121
ALS	0.180456112437019	0.360912224874039	-0.548878547825291	-1.27277258992238	1360	8
prenatal_high_expressed_genes	0.000100280786201364	0.000601684717208183	-0.399548775022023	-1.81731518034465	0	387
adult_high_expressed_genes	0.000100130169219986	0.000601684717208183	-0.439369338825781	-1.96914793160673	0	452
