pathway	pval	padj	ES	NES	nMoreExtreme	size
prenatal_high_expressed_genes	0.0387961203879612	0.238776122387761	0.326654115102714	1.09411179438226	387	387
BP	0.299470052994701	0.99000099990001	0.430148340794729	1.0905653283867	2994	12
constraint_genes	0.0397960203979602	0.238776122387761	0.320000005219678	1.06746364270374	397	240
alzheimer	0.435556444355565	0.99000099990001	0.586884883167073	1.06549097629087	4355	2
MS	0.447555244475552	0.99000099990001	0.527576822595194	1.01766449414287	4475	3
adult_high_expressed_genes	0.782221777822218	0.99000099990001	0.285468697868649	0.963152935006051	7822	452
NDD	0.88041195880412	0.99000099990001	0.287682718656906	0.903709917190374	8804	121
ALS	0.656234376562344	0.99000099990001	0.370397535167064	0.883978320993651	6562	8
scz	0.968603139686031	0.99000099990001	0.270350374216687	0.789837716570973	9686	44
epilepsy_ndd	0.806119388061194	0.99000099990001	0.350179567257693	0.772274104457383	8061	7
ASD	0.976102389761024	0.99000099990001	0.266500780135199	0.758627791283986	9761	35
EPI	0.99000099990001	0.99000099990001	0.123599324001616	0.233361517874761	9900	3
