pathway	pval	padj	ES	NES	nMoreExtreme	size
adult_high_expressed_genes	0.0001127649977447	0.0013531799729364	0.493281642442707	2.42035991319677	0	1421
epilepsy_ndd	0.00830531935930394	0.0169962917181706	0.563499385558195	1.66039271425124	41	20
alzheimer	0.0109717868338558	0.0188087774294671	0.671268208975004	1.65760314751877	62	10
scz	0.00849814585908529	0.0169962917181706	0.320960236100036	1.38592775042625	54	186
ASD	0.008	0.0169962917181706	0.32316518220547	1.38051951569213	33	159
EPI	0.111735205616851	0.148980274155801	0.521261878914955	1.35612883345496	556	12
NDD	0.000418585182084554	0.00251151109250733	0.284852717271079	1.35495030779526	1	553
prenatal_high_expressed_genes	0.00222194790766572	0.00888779163066288	0.241620374242254	1.19594007041628	17	1579
ALS	0.670437017994859	0.731385837812573	0.260854626213521	0.877606755991208	3911	35
MS	0.998949027850762	0.998949027850762	-0.14794356448822	-0.444824549566877	3801	18
constraint_genes	0.0134986501349865	0.0202479752024798	-0.241856805160081	-1.04475115106571	134	1233
BP	0.214085297418631	0.256902356902357	-0.284375499542405	-1.14042992479876	762	61
