pathway	pval	padj	ES	NES	nMoreExtreme	size
epilepsy_ndd	0.0176982301769823	0.0707929207079292	0.605585209411943	1.3758727090565	176	20
adult_high_expressed_genes	9.99900009999e-05	0.0011998800119988	0.481652945982438	1.33103052909532	0	1421
alzheimer	0.122187781221878	0.212550173554073	0.56936585431224	1.31118737336887	1221	10
BP	0.123987601239876	0.212550173554073	0.431559619675968	1.16521865166276	1239	61
scz	0.111488851114889	0.212550173554073	0.408739334501666	1.09879039436432	1114	186
prenatal_high_expressed_genes	0.0004999500049995	0.002999700029997	0.403330780583966	1.09354428647743	4	1579
NDD	0.0398960103989601	0.11968803119688	0.40850476648338	1.07872399020899	398	553
ASD	0.2996700329967	0.44950504949505	0.405960499407468	1.04405302368479	2996	159
EPI	0.448255174482552	0.597673565976736	0.465259523517705	1.03720187705925	4482	12
constraint_genes	0.786221377862214	0.943465653434657	0.38475175390165	0.993044122426668	7862	1233
ALS	0.939106089391061	0.998300169983002	0.290482329813114	0.73952419806618	9391	35
MS	0.998300169983002	0.998300169983002	0.162921216554101	0.385632905897569	9983	18
