pathway	pval	padj	ES	NES	nMoreExtreme	size
BP	0.0689467969598263	0.206840390879479	0.26447702424908	1.31408475467513	126	73
MS	0.257299896942631	0.402480033627575	0.320163184316079	1.1550211896717	748	21
EPI	0.853108167127675	0.853108167127675	-0.240922319776972	-0.68775571169822	5859	14
epilepsy_ndd	0.705285926727052	0.769402829156783	-0.249937944424172	-0.824129091838823	5216	25
ASD	0.65625	0.769402829156783	-0.198661231477699	-0.919197138641428	6215	178
constraint_genes	0.231876812318768	0.402480033627575	-0.197044959222403	-1.01949918348152	2318	1368
NDD	0.386993496748374	0.515991328997832	-0.209063390390148	-1.03247696580255	3867	647
alzheimer	0.268320022418383	0.402480033627575	-0.408862303397263	-1.17191833359764	1914	16
scz	0.136625169996862	0.327900407992468	-0.260295673004582	-1.19746993099799	1305	207
ALS	0.0318627450980392	0.127450980392157	-0.432591416132946	-1.51154084510466	246	35
prenatal_high_expressed_genes	9.99900009999e-05	0.0005999400059994	-0.343683604860818	-1.70774723974322	0	1697
adult_high_expressed_genes	9.99900009999e-05	0.0005999400059994	-0.455949306566955	-2.24681644113031	0	1651
