pathway	pval	padj	ES	NES	nMoreExtreme	size
adult_high_expressed_genes	9.99900009999e-05	0.0005999400059994	0.352597881243437	1.32019178710274	0	1651
prenatal_high_expressed_genes	9.99900009999e-05	0.0005999400059994	0.3081645631212	1.1732724192111	0	1697
scz	0.368563143685631	0.992200779922008	0.291429752290917	1.03250325115762	3685	207
constraint_genes	0.305169483051695	0.992200779922008	0.25981635393128	1.00676184048163	3051	1368
ALS	0.553844615538446	0.992200779922008	0.318907584721397	0.971723440195416	5538	35
BP	0.634136586341366	0.992200779922008	0.291660906167362	0.945789456291162	6341	73
NDD	0.992200779922008	0.992200779922008	0.228262840451595	0.863031438945771	9922	647
EPI	0.724727527247275	0.992200779922008	0.297356893858586	0.831856568891742	7247	14
ASD	0.958804119588041	0.992200779922008	0.226829475376081	0.819650128305776	9588	178
alzheimer	0.828217178282172	0.992200779922008	0.282411228487989	0.764797454802138	8282	16
MS	0.862113788621138	0.992200779922008	0.254027195311633	0.7358881028251	8621	21
epilepsy_ndd	0.915308469153085	0.992200779922008	0.227235543435954	0.694848338850231	9153	25
