pathway	pval	padj	ES	NES	nMoreExtreme	size
epilepsy_ndd	0.577641483133538	0.57954204579542	-0.621453126647685	-0.963627411780724	4143	7
constraint_genes	0.57954204579542	0.57954204579542	-0.416210942016822	-0.989735012889353	5795	240
scz	0.424161541139608	0.508993849367529	-0.479048746684556	-1.03095867095666	3654	44
ASD	0.387546040515654	0.508993849367529	-0.505616159625812	-1.05406036622567	3366	35
alzheimer	0.379877515310586	0.508993849367529	-0.806332833620904	-1.08992189981033	2170	2
EPI	0.334310372903436	0.508993849367529	-0.816799989949717	-1.12367605116016	2052	3
ALS	0.338541666666667	0.508993849367529	-0.692153588588432	-1.1349643164996	2274	8
MS	0.26889338731444	0.508993849367529	-0.833075032001761	-1.15576993073485	1593	3
prenatal_high_expressed_genes	0.0287086125837751	0.16366612111293	-0.474642125732327	-1.15912710109498	286	387
BP	0.235108427120505	0.508993849367529	-0.678916203443195	-1.20012018318995	1712	12
NDD	0.0409165302782324	0.16366612111293	-0.532452655992011	-1.24070377569969	399	121
adult_high_expressed_genes	0.000100030009002701	0.00120036010803241	-0.671911111688177	-1.65496934911676	0	452
