pathway	pval	padj	ES	NES	nMoreExtreme	size
MS	0.216278372162784	0.536479685364797	0.804007101512029	1.26099655048319	2162	3
alzheimer	0.402359764023598	0.536479685364797	0.714734602414334	1.18057868686846	4023	2
EPI	0.401959804019598	0.536479685364797	0.734967446505799	1.14531483074081	4019	3
epilepsy_ndd	0.20967903209679	0.536479685364797	0.755933776231151	1.13013333810062	2096	7
adult_high_expressed_genes	0.0181981801819818	0.218378162183782	0.598908696668311	1.04864791524825	181	452
ASD	0.317868213178682	0.536479685364797	0.631599704243138	1.03249740882301	3178	35
NDD	0.28027197280272	0.536479685364797	0.601689786760117	1.02184548737871	2802	121
scz	0.381261873812619	0.536479685364797	0.613606845113964	1.01944796573226	3812	44
constraint_genes	0.158984101589841	0.536479685364797	0.588066450325444	1.01342552358448	1589	240
BP	0.468853114688531	0.562623737626237	0.638992249070572	1.01090592213421	4688	12
prenatal_high_expressed_genes	0.993600639936006	0.993600639936006	0.540176887211268	0.941255850079058	9936	387
ALS	0.816818318168183	0.891074528910745	0.560508018968178	0.865506007085781	8168	8
