pathway	pval	padj	ES	NES	nMoreExtreme	size
ALS	0.145753424657534	0.541220481646014	0.955190464923696	1.28248236867072	531	8
alzheimer	0.259721048182587	0.541220481646014	0.801326595072647	1.26712752608447	1228	2
BPwithoutPsycho	0.103484139365575	0.52852695395707	0.954858055207478	1.20203631142227	596	17
BP2	0.526457571675967	0.791933523828292	0.831654915650094	1.05480947769019	2735	14
BPSchizo	0.719546742209632	0.828411811652035	0.713707053060665	0.896224947197958	3555	12
BP	0.724860335195531	0.828411811652035	0.713707053060665	0.894227169270922	3632	12
epilepsy_ndd	0.977784316610269	0.977784316610269	-0.488625214741369	-0.562632340566415	6645	7
DDspe	0.959388089601165	0.977784316610269	-0.473546655364837	-0.619668321628562	5267	22
EPI	0.860884648742411	0.939146889537176	-0.580755421513715	-0.700573431280047	4962	3
constraint_genes	0.649915992057431	0.820946516283071	-0.489851366992094	-0.918499847752614	4254	240
scz	0.557852037859764	0.791933523828292	-0.615550167542976	-0.936533091611144	2887	44
prenatal_high_expressed_genes	0.596016578402026	0.794688771202702	-0.499912762302628	-0.955624531414338	5176	387
BPwithPsycho	0.560952912711707	0.791933523828292	-0.872950572634117	-1.04851825766085	3013	8
BP1	0.552276034088547	0.791933523828292	-0.869323693696454	-1.04886614474702	2656	9
adult_high_expressed_genes	0.22078831532613	0.541220481646014	-0.545967124966641	-1.05355681339296	2206	452
epilepsy_dee	0.293161094224924	0.541220481646014	-0.928153118804331	-1.0790474954877	1928	8
ASDspe	0.228888555572221	0.541220481646014	-0.939259727934198	-1.08268036640751	1525	7
DEE	0.272450288646568	0.541220481646014	-0.934198038595381	-1.09245247844968	1698	7
GGE	0.263157894736842	0.541220481646014	-0.933965244865719	-1.13703884893465	1479	3
MS	0.205876848212615	0.541220481646014	-0.95260663507109	-1.24881949875417	1099	3
ASD	0.11010978207439	0.52852695395707	-0.898357048062224	-1.26380215414842	671	35
NAFE	0.0392695857058708	0.314156685646966	-0.986418193303854	-1.28239185349719	199	2
DD	0.0317460317460317	0.314156685646966	-0.845786362955721	-1.3981010901277	193	93
NDD	0.00722614550829364	0.173427492199047	-0.85499205751192	-1.48629385017368	43	121
