pathway	pval	padj	ES	NES	nMoreExtreme	size
NAFE	0.0315968403159684	0.758324167583242	0.97094125078964	1.71435144904393	315	2
MS	0.25957404259574	0.771072892710729	0.903633491311216	1.45378520001394	2595	3
EPI	0.237376262373763	0.771072892710729	0.884044233807267	1.36566602690643	2373	3
GGE	0.273372662733727	0.771072892710729	0.8739336492891	1.35190606568133	2733	3
ALS	0.108689131086891	0.771072892710729	0.940633502898379	1.1568322250936	1086	8
DEE	0.377362263773623	0.771072892710729	0.873457766529579	1.11205293114522	3773	7
ASDspe	0.348165183481652	0.771072892710729	0.87662132236634	1.1052101363554	3481	7
alzheimer	0.514048595140486	0.771072892710729	0.621604548325963	1.07723313978656	5140	2
BP2	0.199480051994801	0.771072892710729	0.918833227647432	1.07233007976056	1994	14
epilepsy_ndd	0.495550444955504	0.771072892710729	0.845922817246585	1.06926293285356	4955	7
epilepsy_dee	0.406359364063594	0.771072892710729	0.86802653652585	1.06921181203936	4063	8
BPwithoutPsycho	0.214078592140786	0.771072892710729	0.918996423979296	1.06012462167346	2140	17
BPSchizo	0.490850914908509	0.771072892710729	0.873257287705957	1.02775948712292	4908	12
BP	0.478852114788521	0.771072892710729	0.873257287705957	1.02532789210733	4788	12
ASD	0.320567943205679	0.771072892710729	0.857047362261383	1.01889407309495	3205	35
constraint_genes	0.0816918308169183	0.771072892710729	0.844700412615169	1.01858221976117	816	240
prenatal_high_expressed_genes	0.588541145885412	0.797604450081308	0.825383798160321	0.998135774458308	5885	387
NDD	0.631436856314369	0.797604450081308	0.828728293212866	0.994409428682732	6314	121
adult_high_expressed_genes	0.941505849415059	0.941505849415059	0.8220283480444	0.993169710062727	9415	452
scz	0.6005399460054	0.797604450081308	0.838863613661336	0.992130232479032	6005	44
DD	0.735026497350265	0.801847088018471	0.824842639325635	0.987062486435775	7350	93
BP1	0.731826817318268	0.801847088018471	0.808544966251059	0.982819969049889	7318	9
BPwithPsycho	0.72992700729927	0.801847088018471	0.80333031946956	0.982226027717734	7299	8
DDspe	0.859314068593141	0.896675549836321	0.806891761437216	0.94114797557787	8593	22
