pathway	pval	padj	ES	NES	nMoreExtreme	size
BPwithPsycho	0.18344384167169	0.36688768334338	0.339420621424514	1.18616401768303	912	47
constraint_genes	0.0966347638159926	0.257692703509314	0.232272246937725	1.07019695975188	312	1202
ASDspe	0.510772578890098	0.766158868335147	0.314534657106024	0.969481268801664	2346	31
BPSchizo	0.800622568093385	0.993600639936006	0.215870192186302	0.819975626677722	5143	67
BP	0.833693972179289	0.993600639936006	0.209885197933144	0.799406840472436	5393	69
BP2	0.921750861939739	0.993600639936006	0.188453107580187	0.721537872972053	6148	63
MS	0.978919004596608	0.993600639936006	0.185249752588526	0.548619932217524	6175	21
alzheimer	0.92053685556029	0.993600639936006	-0.264813710690719	-0.66288913292819	4320	13
DDspe	0.772741730279898	0.993600639936006	-0.254091150771329	-0.858268906433952	4858	71
ALS	0.579319087287215	0.817862240876068	-0.307425753188657	-0.92794951312376	3198	32
BP1	0.494952044422009	0.766158868335147	-0.248884227471455	-0.980097275753198	1960	64
adult_high_expressed_genes	0.993600639936006	0.993600639936006	-0.333050646503116	-0.985689684021818	9936	1499
BPwithoutPsycho	0.481337857489094	0.766158868335147	-0.231279687140342	-0.986647482059742	1985	83
prenatal_high_expressed_genes	0.166065705128205	0.362325174825175	-0.275962738946118	-1.0525405174657	1657	1483
scz	0.247154471544715	0.456285178236398	-0.250848220444822	-1.08047403268382	1063	189
ASD	0.135149384885765	0.324358523725835	-0.298932913945303	-1.15226561683876	768	164
NDD	0.0463737266230804	0.185494906492322	-0.267324663611928	-1.15926952172748	304	582
DD	0.0598612786489747	0.205238669653627	-0.278043197897626	-1.16356443652473	396	425
GGE	0.0851480303401028	0.255444091020308	-0.52742897684093	-1.39000313677896	347	14
EPI	0.0252365930599369	0.121135646687697	-0.592955475903115	-1.61083472328588	95	13
DEE	0.0157268891446107	0.094361334867664	-0.5968581117896	-1.62152773122675	81	19
NAFE	0.00911779201577132	0.0729423361261705	-0.678669028834255	-1.72479519188863	36	11
epilepsy_dee	0.000183992640294388	0.00220791168353266	-0.68988543758808	-2.00694389805079	0	30
epilepsy_ndd	0.000179888469149128	0.00220791168353266	-0.811540282089538	-2.20589315669543	0	22
