pathway	pval	padj	ES	NES	nMoreExtreme	size
epilepsy_ndd	9.99900009999e-05	0.0023997600239976	0.781301086655997	1.62801626679647	0	22
DEE	0.0004999500049995	0.003999600039996	0.739313469206403	1.61485322921338	4	19
epilepsy_dee	0.0001999800019998	0.0023997600239976	0.723947556137544	1.54613280343927	1	30
ASDspe	0.0517948205179482	0.177582241775822	0.573770127609611	1.2491410805964	517	31
EPI	0.144985501449855	0.38662800386628	0.55963947673732	1.24670786534101	1449	13
NAFE	0.223377662233777	0.532746725327467	0.558549520448298	1.18273763988046	2233	11
ASD	0.0092990700929907	0.0537546245375463	0.497622792741719	1.17897204576896	92	164
BPwithPsycho	0.12048795120488	0.361463853614639	0.473767545979618	1.17445657356376	1204	47
GGE	0.244175582441756	0.532746725327467	0.541730498566216	1.1522549233558	2441	14
NDD	0.0111988801119888	0.0537546245375463	0.448767764131155	1.10038903171063	111	582
DD	0.0241975802419758	0.0967903209679032	0.45468737817943	1.09849601492824	241	425
DDspe	0.349065093490651	0.698130186981302	0.458836428293127	1.0436423121476	3490	71
BPwithoutPsycho	0.449355064493551	0.8003199680032	0.356019128752744	1.01614901181681	4493	83
scz	0.466853314668533	0.8003199680032	0.388776337497092	1.00768521983771	4668	189
adult_high_expressed_genes	0.95980401959804	0.967503249675033	0.467741508584191	0.994115478948543	9598	1499
ALS	0.524547545245475	0.839276072392761	0.44514901601241	0.993137610889572	5245	32
prenatal_high_expressed_genes	0.696330366963304	0.967503249675033	0.437110926736015	0.988521155085957	6963	1483
constraint_genes	0.845415458454155	0.967503249675033	0.396532820429234	0.969054334195284	8454	1202
BP1	0.690630936906309	0.967503249675033	0.349219511447969	0.93092236396808	6906	64
BP2	0.804619538046195	0.967503249675033	0.310599870048769	0.87816967739358	8046	63
BPSchizo	0.917408259174083	0.967503249675033	0.299107614968775	0.813909168891991	9174	67
BP	0.95040495950405	0.967503249675033	0.287206357471988	0.782742146522003	9504	69
MS	0.949005099490051	0.967503249675033	0.256443525644516	0.649787585171078	9490	21
alzheimer	0.967503249675033	0.967503249675033	0.27687719399822	0.579179922481506	9675	13
