pathway	pval	padj	ES	NES	nMoreExtreme	size
ALS	0.322164948453608	0.677097041477799	0.280366979916712	1.06628632381596	499	32
BP2	0.562130177514793	0.760529063696485	0.222719999972262	0.949685039709963	2564	69
MS	0.610028420625254	0.761708039722344	0.276993192280358	0.899030732258664	3004	22
BP1	0.866473616473616	0.962584683104646	0.185729321024951	0.811408929081894	2692	70
prenatal_high_expressed_genes	1	1	-0.172773929293362	-0.509629663212961	10000	1651
DDspe	0.878881667182503	0.962584683104646	-0.245531506783225	-0.766045937298074	8518	80
NDD	0.629237076292371	0.761708039722344	-0.270177826889737	-0.972155788434894	6292	635
alzheimer	0.479884225759769	0.712353764623538	-0.373594306679705	-0.991242149946505	3315	16
adult_high_expressed_genes	1	1	-0.411598726037559	-1	10000	1664
DD	0.495550444955504	0.712353764623538	-0.288366472788338	-1.00235268146866	4955	462
BPSchizo	0.412146025247356	0.677097041477799	-0.249627204714997	-1.01952179840973	2415	72
BP	0.392740409427146	0.677097041477799	-0.252677141868344	-1.03509728373628	2282	74
BPwithoutPsycho	0.362965289775404	0.677097041477799	-0.24581204800811	-1.04770377175214	2310	93
ASD	0.347865394274234	0.677097041477799	-0.312737097793373	-1.06024490055169	3462	175
ASDspe	0.333295976689454	0.677097041477799	-0.388355389610426	-1.10036150167889	2973	34
scz	0.207880724174654	0.677097041477799	-0.274721619590144	-1.12877032448394	1951	209
NAFE	0.278352207451173	0.677097041477799	-0.457451291910992	-1.16449556136966	1695	12
BPwithPsycho	0.160639958376691	0.615786507110649	-0.349642831241279	-1.22839603741768	1234	53
DEE	0.131276150627615	0.603870292887029	-0.493447595323831	-1.31860234129793	1003	19
EPI	0.0811724915445321	0.46674182638106	-0.530767508648519	-1.41443575404884	503	14
GGE	0.0707467714766985	0.46674182638106	-0.543151737356764	-1.43046960359506	503	16
epilepsy_ndd	0.0126495726495727	0.145470085470085	-0.597196422636946	-1.56293514960901	110	25
epilepsy_dee	0.00285181529011736	0.0655917516726994	-0.587054061756338	-1.62678166274729	25	34
constraint_genes			0.198643868372312		0	1321
