pathway	pval	padj	ES	NES	nMoreExtreme	size
DEE	0.0035996400359964	0.0863913608639136	0.647038453356802	1.56087330303547	35	19
epilepsy_ndd	0.028997100289971	0.347965203479652	0.566664295076781	1.34531055053279	289	25
epilepsy_dee	0.0543945605439456	0.382041795820418	0.518548869558222	1.26440786143772	543	34
GGE	0.151284871512849	0.518690988044053	0.520142182249017	1.22997141030117	1512	16
NAFE	0.182381761823818	0.520507949205079	0.527180087795459	1.22524726391552	1823	12
EPI	0.292270772922708	0.637681686376817	0.474435050210822	1.13564913456291	2922	14
scz	0.0795920407959204	0.382041795820418	0.38540348254151	1.12324745214292	795	209
BP2	0.216878312168783	0.520507949205079	0.381661060620793	1.11182649920267	2168	69
ASD	0.134586541345865	0.518690988044053	0.400482572512997	1.09600094128795	1345	175
DD	0.0790920907909209	0.382041795820418	0.38452959437203	1.08012282305046	790	462
ASDspe	0.358364163583642	0.716728327167283	0.427264944483905	1.05896096130504	3583	34
NDD	0.197580241975802	0.520507949205079	0.366463323842652	1.04197779043483	1975	635
alzheimer	0.483651634836516	0.829117088291171	0.426659498151454	1.01107376363879	4836	16
BPwithPsycho	0.477452254774523	0.829117088291171	0.369701114035028	1.00854608320832	4774	53
adult_high_expressed_genes	1	1	0.390316893340935	1	10000	1664
constraint_genes	0.967803219678032	1	0.327645611926754	0.93681638055594	9678	1321
DDspe	0.71972802719728	1	0.354197093389966	0.930102186174192	7197	80
MS	0.64953504649535	1	0.348653263977021	0.915209403771354	6495	22
BPwithoutPsycho	0.839016098390161	1	0.296358025353796	0.87349426010796	8390	93
ALS	0.767823217678232	1	0.347082188842223	0.872667118134134	7678	32
prenatal_high_expressed_genes	1	1	0.313522086463209	0.847160151841611	10000	1651
BPSchizo	0.906309369063094	1	0.285226150891706	0.819751054397505	9063	72
BP	0.947105289471053	1	0.271553920611391	0.783052729447855	9471	74
BP1	0.965503449655035	1	0.263369422281084	0.751994698325281	9655	70
