pathway	pval	padj	ES	NES	nMoreExtreme	size
BP	0.044059795436664	0.264358772619984	0.482301912910278	1.52880080707017	111	12
BPSchizo	0.0396856581532416	0.264358772619984	0.482301912910278	1.52706374136733	100	12
BPwithPsycho	0.0609800362976407	0.292704174228675	0.554448426100183	1.52002923169583	167	8
NAFE	0.0182157870154134	0.21858944418496	0.977290721586325	1.51771276647677	77	2
DEE	0.0846877673224979	0.333706606942889	0.497590919794508	1.42825057519608	98	7
BP2	0.106786427145709	0.333706606942889	0.411775616245354	1.3470889029193	320	14
GGE	0.311532239426855	0.679706704204047	0.608846761453397	1.11856107500667	1347	3
BPwithoutPsycho	0.300341296928328	0.679706704204047	0.338132349215071	1.11408069567185	1319	17
EPI	0.42814549791294	0.790422457685427	0.495102685624013	0.947857153033292	1435	3
BP1	0.619124797406807	0.942894289428943	0.304469225776755	0.872019017013744	1909	9
DDspe	0.982254697286013	0.996700329967003	-0.204348634981432	-0.547855580515098	9409	22
MS	0.906784841075795	0.989219826628139	-0.389809377657506	-0.654186005596398	5933	3
ASD	0.897448979591837	0.989219826628139	-0.250297039825211	-0.722753818667659	8794	35
constraint_genes	0.996700329967003	0.996700329967003	-0.241827380551584	-0.747225419273242	9967	240
scz	0.835428329988381	0.989219826628139	-0.236845198697207	-0.777852616487622	7908	44
DD	0.809323729491797	0.989219826628139	-0.283698901765891	-0.871546920008038	8089	93
alzheimer	0.656920968478758	0.942894289428943	-0.60330939359032	-0.882675243453751	4313	2
NDD	0.707170717071707	0.942894289428943	-0.28729203532101	-0.925028040910058	7070	121
prenatal_high_expressed_genes	0.687131286871313	0.942894289428943	-0.399548775022023	-0.987475992739194	6871	387
epilepsy_ndd	0.510736703006277	0.875548633725046	-0.506722342514824	-1.01490217534044	4637	7
ASDspe	0.425210084033613	0.790422457685427	-0.480701842243393	-1.05280257695818	3288	7
ALS	0.165147173743162	0.440392463315099	-0.548878547825291	-1.28415904837144	1267	8
adult_high_expressed_genes	9.99900009999e-05	0.0023997600239976	-0.439369338825781	-1.31702998409369	0	452
epilepsy_dee	0.11123553564763	0.333706606942889	-0.593515492884741	-1.34727052297928	893	8
