pathway	pval	padj	ES	NES	nMoreExtreme	size
NAFE	0.0118988101189881	0.191980801919808	0.963077202950823	1.72433584827625	118	2
ASDspe	0.015998400159984	0.191980801919808	0.728265876219945	1.62142686656265	159	7
DEE	0.20987901209879	0.912708729127087	0.53389576535725	1.19990916783647	2098	7
BPwithoutPsycho	0.155684431556844	0.912708729127087	0.419726536975891	1.17965595515864	1556	17
BP	0.326667333266673	0.912708729127087	0.430148340794729	1.08092443313366	3266	12
BPSchizo	0.324567543245675	0.912708729127087	0.430148340794729	1.08064132068388	3245	12
epilepsy_dee	0.371862813718628	0.912708729127087	0.448341158786141	1.05288729724857	3718	8
alzheimer	0.456354364563544	0.912708729127087	0.586884883167073	1.03961292825962	4563	2
BP1	0.3996600339966	0.912708729127087	0.421694830264058	1.03272018111426	3996	9
MS	0.423257674232577	0.912708729127087	0.527576822595194	1.03159002079479	4232	3
prenatal_high_expressed_genes	0.163583641635836	0.912708729127087	0.326654115102714	1.01819602595241	1635	387
constraint_genes	0.404559544045596	0.912708729127087	0.320000005219678	1.00983311938227	4045	240
DDspe	0.597140285971403	0.998500149985001	0.349439817933184	0.948613810057109	5971	22
BP2	0.635536446355364	0.998500149985001	0.345836682352316	0.91010552543356	6355	14
adult_high_expressed_genes	0.998000199980002	0.998500149985001	0.285468697868649	0.900475039124246	9980	452
NDD	0.936206379362064	0.998500149985001	0.287682718656906	0.892035999509216	9362	121
ALS	0.66963303669633	0.998500149985001	0.370397535167064	0.877104189789831	6696	8
DD	0.966803319668033	0.998500149985001	0.281228786563708	0.860873648742636	9668	93
scz	0.971102889711029	0.998500149985001	0.270350374216687	0.799120573160139	9711	44
epilepsy_ndd	0.808519148085192	0.998500149985001	0.350179567257693	0.77902448329199	8085	7
BPwithPsycho	0.837316268373163	0.998500149985001	0.330674688086583	0.762248360581971	8373	8
ASD	0.983801619838016	0.998500149985001	0.266500780135199	0.756374135976786	9838	35
EPI	0.995800419958004	0.998500149985001	0.123599324001616	0.235820435608373	9958	3
GGE	0.998500149985001	0.998500149985001	0.0492890995260663	0.0987301366324589	9985	3
