pathway	pval	padj	ES	NES	nMoreExtreme	size
adult_high_expressed_genes	0.000101173613921489	0.00242816673411574	0.493281642442707	2.16028106304618	0	1421
epilepsy_dee	0.00125097732603597	0.012326656394453	0.591441480920667	1.78177528048176	7	27
ASDspe	0.00154083204930663	0.012326656394453	0.56607313257261	1.7302783467446	9	31
alzheimer	0.00989927058006252	0.0395970823202501	0.671268208975004	1.67665643484602	56	10
epilepsy_ndd	0.0183179356482956	0.0549538069448869	0.563499385558195	1.56766910253011	114	20
scz	0.0171451898217445	0.0549538069448869	0.320960236100036	1.33313503204649	125	186
EPI	0.141541186891054	0.296070392960704	0.521261878914955	1.3060230918707	798	12
ASD	0.0437927406628091	0.116780641767491	0.32316518220547	1.2689672923626	332	159
GGE	0.183997240903604	0.296070392960704	0.487727670162503	1.25073174259552	1066	13
NDD	0.00979498861047836	0.0395970823202501	0.284852717271079	1.24347266508459	85	553
DEE	0.303761173891044	0.428839304316768	0.414563300451728	1.11874541481478	1800	16
DD	0.152322565432681	0.296070392960704	0.263225163125718	1.11218905710746	1291	390
prenatal_high_expressed_genes	0.197380261973803	0.296070392960704	0.241620374242254	1.01246890293248	1973	1579
NAFE	0.528618939261334	0.667729186435369	0.37592181289201	0.949648310793314	3019	12
ALS	0.725240119666194	0.870288143599433	0.260854626213521	0.845321270441723	4605	35
BPwithoutPsycho	0.773856407149349	0.884407322456399	0.211088577163998	0.841691417555902	5108	75
BPwithPsycho	0.89955540918821	0.950013336889837	0.213503243881906	0.747468804178613	5462	45
BP1	0.910429447852761	0.950013336889837	0.198313585476385	0.745415979393454	5935	61
MS	0.993441086905598	0.993441086905598	-0.14794356448822	-0.475388569649573	4240	18
DDspe	0.362597911227154	0.483463881636205	-0.269478922214047	-1.03863694269775	1110	67
BP	0.19521800281294	0.296070392960704	-0.284375499542405	-1.15618774729882	693	61
BPSchizo	0.172696438665913	0.296070392960704	-0.293147023828595	-1.18038395624418	610	59
constraint_genes	0.0028328611898017	0.0169971671388102	-0.241856805160081	-1.20369382946916	0	1233
BP2	0.0780434185215719	0.187304204451772	-0.317067327698228	-1.29218406634275	283	60
