pathway	pval	padj	ES	NES	nMoreExtreme	size
epilepsy_ndd	0.0223977602239776	0.251756642517566	0.605585209411943	1.35699378958372	223	20
NAFE	0.0643935606439356	0.251756642517566	0.605593026539169	1.34250611909227	643	12
alzheimer	0.115388461153885	0.251756642517566	0.56936585431224	1.30791808203159	1153	10
adult_high_expressed_genes	9.99900009999e-05	0.0023997600239976	0.481652945982438	1.22252660528079	0	1421
epilepsy_dee	0.0927907209279072	0.251756642517566	0.525522034460417	1.2193755989117	927	27
BPSchizo	0.0768923107689231	0.251756642517566	0.44256683630912	1.20080571443507	768	59
ASDspe	0.10978902109789	0.251756642517566	0.509455534490947	1.19208596902656	1097	31
BP	0.0977902209779022	0.251756642517566	0.431559619675968	1.17901117419963	977	61
DEE	0.198780121987801	0.340765923407659	0.525958309402263	1.17507439187323	1987	16
BP2	0.108789121087891	0.251756642517566	0.424242229577181	1.17423493226728	1087	60
BPwithoutPsycho	0.187681231876812	0.340765923407659	0.388903584903629	1.11634031899222	1876	75
DD	0.0748925107489251	0.251756642517566	0.420716165744322	1.07430159620184	748	390
scz	0.176382361763824	0.340765923407659	0.408739334501666	1.0723018956313	1763	186
NDD	0.0965903409659034	0.251756642517566	0.40850476648338	1.05905888959067	965	553
DDspe	0.387361263873613	0.570742925707429	0.423062439953218	1.03474005386077	3873	67
BPwithPsycho	0.428057194280572	0.570742925707429	0.399960343636691	1.02454994175516	4280	45
ASD	0.405359464053595	0.570742925707429	0.405960499407468	1.01981895271117	4053	159
EPI	0.48955104489551	0.618380267236434	0.465259523517705	1.0113036410837	4895	12
prenatal_high_expressed_genes	0.34036596340366	0.544585541445855	0.403330780583966	1.00256480724408	3403	1579
constraint_genes	0.611838816118388	0.734206579342066	0.38475175390165	0.991605693756554	6118	1233
BP1	0.761023897610239	0.869741597268845	0.330592225274649	0.902078818194901	7610	61
GGE	0.805219478052195	0.878421248784212	0.368888352217877	0.811609597949665	8052	13
ALS	0.957004299570043	0.994100589941006	0.290482329813114	0.71947304547472	9570	35
MS	0.994100589941006	0.994100589941006	0.162921216554101	0.439754446774759	9941	18
