pathway	pval	padj	ES	NES	nMoreExtreme	size
NAFE	0.0563961485557084	0.451169188445667	0.468276221952954	1.48548707082441	163	14
BP	0.0788617886178862	0.472681067344346	0.26447702424908	1.26372749253252	193	73
BPSchizo	0.102111158983197	0.472681067344346	0.260927969225096	1.24248929491032	236	71
BP2	0.118170266836086	0.472681067344346	0.268350062657809	1.23290489077664	371	66
MS	0.337946428571429	0.812151898734177	0.320163184316079	1.0815211903481	1513	21
DDspe	0.302752293577982	0.812151898734177	0.202352770326758	1.07287760824906	32	82
BP1	0.338396624472574	0.812151898734177	0.222218752121582	1.05135469564886	801	70
BPwithoutPsycho	0.384750219106047	0.839455023504103	0.217162978453944	1.03253583791219	1316	86
BPwithPsycho	0.771607918879768	1	0.190887457046449	0.857038597637695	1597	53
DEE	0.791028446389497	1	0.226933648017481	0.80034330096059	1445	18
EPI	0.922192064107535	1	-0.240922319776972	-0.625423698377625	7134	14
GGE	0.891665576344367	1	-0.244266322158785	-0.665531170550447	6814	16
ASD	0.989194597298649	1	-0.198661231477699	-0.672205079987344	9886	178
epilepsy_dee	0.902528684415729	1	-0.220780398775437	-0.685836322879184	8101	36
epilepsy_ndd	0.883267630310994	1	-0.249937944424172	-0.690800094255961	8065	25
DD	0.999100089991001	1	-0.196756566895946	-0.692932358457141	9991	469
ASDspe	0.90262252794497	1	-0.234211777873223	-0.694564078110085	8397	35
constraint_genes	1	1	-0.197044959222403	-0.704487093110742	10000	1368
NDD	0.998200179982002	1	-0.209063390390148	-0.759490011917911	9982	647
prenatal_high_expressed_genes	1	1	-0.343683604860818	-1	10000	1697
scz	0.433739796432531	0.867479592865061	-0.260295673004582	-1.02576997139689	4303	207
alzheimer	0.263110170772253	0.812151898734177	-0.408862303397263	-1.17098484038789	1740	16
ALS	0.0550305060413925	0.451169188445667	-0.432591416132946	-1.41574156775485	459	35
adult_high_expressed_genes	9.99900009999e-05	0.0023997600239976	-0.455949306566955	-1.55940944461764	0	1651
