pathway	pval	padj	ES	NES	nMoreExtreme	size
adult_high_expressed_genes	9.99900009999e-05	0.0023997600239976	0.352597881243437	1.15663373214785	0	1651
DEE	0.402059794020598	1	0.402031709286521	1.05186220229479	4020	18
NAFE	0.437356264373563	1	0.405739457600943	1.03729697288828	4373	14
prenatal_high_expressed_genes	1	1	0.3081645631212	1	10000	1697
DDspe	0.503149685031497	1	0.329493185338689	0.997734332225743	5031	82
ASDspe	0.583041695830417	1	0.338170736598405	0.958314901676702	5830	35
scz	0.793820617938206	1	0.291429752290917	0.926419016259692	7938	207
BPSchizo	0.713228677132287	1	0.297017265540372	0.918145121926464	7132	71
BPwithoutPsycho	0.729127087291271	1	0.293229393545556	0.915461109410301	7291	86
ALS	0.683231676832317	1	0.318907584721397	0.909301213643962	6832	35
BP	0.746425357464254	1	0.291660906167362	0.904484329500543	7464	73
BP2	0.773522647735227	1	0.287611962065945	0.884614637295224	7735	66
constraint_genes	1	1	0.25981635393128	0.855590022020324	10000	1368
epilepsy_dee	0.789221077892211	1	0.299750981498243	0.854255635189398	7892	36
DD	1	1	0.237762575819947	0.771198258783146	10000	469
EPI	0.840615938406159	1	0.297356893858586	0.754930778500508	8406	14
NDD	1	1	0.228262840451595	0.747097270238625	10000	647
alzheimer	0.867013298670133	1	0.282411228487989	0.733439137817519	8670	16
ASD	0.999500049995001	1	0.226829475376081	0.715000237194389	9995	178
MS	0.912608739126087	1	0.254027195311633	0.694577824935646	9126	21
BP1	0.99020097990201	1	0.217634794023514	0.672390171659814	9902	70
BPwithPsycho	0.984201579842016	1	0.222488984533382	0.662802212152904	9842	53
epilepsy_ndd	0.974602539746025	1	0.227235543435954	0.620682780889353	9746	25
GGE	0.996400359964004	1	0.148184750339077	0.385249918102624	9964	16
