pathway	pval	padj	ES	NES	nMoreExtreme	size
BP2	0.967080999863407	0.967080999863407	-0.340947975429088	-0.627765770504929	7079	14
BP1	0.799397763120161	0.834154187603646	-0.463209395698847	-0.772793516669764	5574	9
BPwithoutPsycho	0.738583996648513	0.805878127074486	-0.422158313354712	-0.826197411571162	5288	17
BPwithPsycho	0.723068165646791	0.805878127074486	-0.517304170893949	-0.829450653341427	5080	8
DDspe	0.71000704721635	0.805878127074486	-0.447926308168382	-0.855682225182269	6044	22
constraint_genes	0.738721616484946	0.805878127074486	-0.416210942016822	-0.936948431146691	7384	240
epilepsy_ndd	0.665791119449656	0.805878127074486	-0.621453126647685	-0.93755878548314	5322	7
prenatal_high_expressed_genes	0.644135586441356	0.805878127074486	-0.474642125732327	-0.989505367062057	6441	387
scz	0.464039189490091	0.696058784235137	-0.479048746684556	-1.01458248003141	4167	44
ASD	0.452171980891012	0.696058784235137	-0.505616159625812	-1.0250435746883	4069	35
alzheimer	0.428161834979293	0.696058784235137	-0.806332833620904	-1.07611329075437	2687	2
ALS	0.354939587775409	0.655273085123831	-0.692153588588432	-1.12599012229597	2496	8
EPI	0.270030120481928	0.540060240963855	-0.816799989949717	-1.14175603964912	1792	3
MS	0.268172300329046	0.540060240963855	-0.833075032001761	-1.14329254995715	1792	3
DD	0.174676053463932	0.540060240963855	-0.522995120287507	-1.15062052581154	1711	93
BPSchizo	0.255910800644815	0.540060240963855	-0.678916203443195	-1.18838930638761	1904	12
BP	0.246517917511832	0.540060240963855	-0.678916203443195	-1.19358676956589	1822	12
NDD	0.0823386607323488	0.494031964394093	-0.532452655992011	-1.20153267350607	813	121
NAFE	0.202347083926031	0.540060240963855	-0.885660138976627	-1.20890150379002	1137	2
DEE	0.149974385245902	0.540060240963855	-0.799337590523533	-1.21608793651255	1170	7
GGE	0.132702967068797	0.540060240963855	-0.886255924170616	-1.23637514417647	813	3
epilepsy_dee	0.0808039376538146	0.494031964394093	-0.811808744386141	-1.30263418565993	590	8
ASDspe	0.0546895995700081	0.494031964394093	-0.845965127709046	-1.30353989977709	406	7
adult_high_expressed_genes	9.99900009999e-05	0.0023997600239976	-0.671911111688177	-1.50593046420515	0	452
