pathway	pval	padj	ES	NES	nMoreExtreme	size
NAFE	0.17008299170083	0.394246289656749	0.848704990524321	1.47636958222475	1700	2
GGE	0.124887511248875	0.394246289656749	0.849289099526066	1.3299645876159	1248	3
MS	0.22997700229977	0.394246289656749	0.804007101512029	1.24608244326182	2299	3
alzheimer	0.402159784021598	0.567754989206962	0.714734602414334	1.22010707195151	4021	2
ASDspe	0.115388461153885	0.394246289656749	0.788072055896328	1.20795819643917	1153	7
EPI	0.313568643135686	0.47035296470353	0.734967446505799	1.20405526208413	3135	3
epilepsy_dee	0.113588641135886	0.394246289656749	0.769087225398799	1.19082509653	1135	8
epilepsy_ndd	0.155884411558844	0.394246289656749	0.755933776231151	1.17620567768749	1558	7
BP1	0.157084291570843	0.394246289656749	0.730875417232661	1.1425199717932	1570	9
DEE	0.225177482251775	0.394246289656749	0.734168340286266	1.13276046916487	2251	7
adult_high_expressed_genes	0.0001999800019998	0.0047995200479952	0.598908696668311	1.10409013167384	1	452
DDspe	0.217578242175782	0.394246289656749	0.645566141611942	1.08055618304653	2175	22
ASD	0.184981501849815	0.394246289656749	0.631599704243138	1.07287250309548	1849	35
constraint_genes	0.0180981901809819	0.217178282171783	0.588066450325444	1.07241521219084	180	240
NDD	0.0725927407259274	0.394246289656749	0.601689786760117	1.0687656338956	725	121
DD	0.123987601239876	0.394246289656749	0.600890729772157	1.06010570056479	1239	93
scz	0.255274472552745	0.408439156084392	0.613606845113964	1.04594227748944	2552	44
BP	0.474752524747525	0.599687399681085	0.638992249070572	1.0084675640476	4747	12
BPSchizo	0.472352764723528	0.599687399681085	0.638992249070572	1.00823979770099	4723	12
BPwithoutPsycho	0.525547445255475	0.630656934306569	0.616152924752661	0.99306118643077	5255	17
prenatal_high_expressed_genes	0.788521147885211	0.840124683183856	0.540176887211268	0.99011524857455	7885	387
BPwithPsycho	0.753524647535247	0.840124683183856	0.592903451487291	0.90699460686723	7535	8
ALS	0.805119488051195	0.840124683183856	0.560508018968178	0.878435989880626	8051	8
BP2	0.861613838616138	0.861613838616138	0.54711828406182	0.877434218423307	8616	14
