pathway	pval	padj	ES	NES	nMoreExtreme	size	data	type
constraint_genes	0.0932674490426189	0.279802347127857	0.232272246937725	1.0684298258316	301	1202	gtex	pseudotimeDE
BP	0.840987191502656	0.993700629937006	0.209885197933144	0.798932563274069	5383	69	gtex	pseudotimeDE
MS	0.981905524419536	0.993700629937006	0.185249752588526	0.54633706993808	6131	21	gtex	pseudotimeDE
alzheimer	0.916930212945393	0.993700629937006	-0.264813710690719	-0.665850889452124	4348	13	gtex	pseudotimeDE
ALS	0.582539967666607	0.87380995149991	-0.307425753188657	-0.922779581967761	3242	32	gtex	pseudotimeDE
adult_high_expressed_genes	0.993700629937006	0.993700629937006	-0.333050646503116	-0.985772228393412	9937	1499	gtex	pseudotimeDE
prenatal_high_expressed_genes	0.166683351686856	0.333366703373711	-0.275962738946118	-1.05275175672244	1664	1483	gtex	pseudotimeDE
scz	0.238227146814404	0.408389394538979	-0.250848220444822	-1.08018749329183	1031	189	gtex	pseudotimeDE
ASD	0.133310068050951	0.319944163322282	-0.298932913945303	-1.15327449503426	763	164	gtex	pseudotimeDE
NDD	0.0420438852232622	0.168175540893049	-0.267324663611928	-1.15891203970072	273	582	gtex	pseudotimeDE
EPI	0.029986962190352	0.168175540893049	-0.592955475903115	-1.59539748002036	114	13	gtex	pseudotimeDE
epilepsy_ndd	0.000179340028694405	0.00215208034433286	-0.811540282089538	-2.19999775593164	0	22	gtex	pseudotimeDE
ALS	0.329936305732484	0.698780624859519	0.280366979916712	1.0643440441718	517	32	gtex	sexDE
MS	0.599230457675172	0.774689197746892	0.276993192280358	0.903871111844606	2958	22	gtex	sexDE
prenatal_high_expressed_genes	1	1	-0.172773929293362	-0.50984915065333	10000	1651	gtex	sexDE
NDD	0.633836616338366	0.774689197746892	-0.270177826889737	-0.971077432958299	6338	635	gtex	sexDE
alzheimer	0.475428571428571	0.747102040816326	-0.373594306679705	-0.994100398862935	3327	16	gtex	sexDE
adult_high_expressed_genes	1	1	-0.411598726037559	-1	10000	1664	gtex	sexDE
BP	0.381153068105192	0.698780624859519	-0.252677141868344	-1.03880216068375	2260	74	gtex	sexDE
ASD	0.34598349104087	0.698780624859519	-0.312737097793373	-1.0605913410309	3436	175	gtex	sexDE
scz	0.20679766330324	0.698780624859519	-0.274721619590144	-1.13066478177015	1946	209	gtex	sexDE
EPI	0.0822050290135397	0.452127659574468	-0.530767508648519	-1.4193902197602	509	14	gtex	sexDE
epilepsy_ndd	0.0108225108225108	0.119047619047619	-0.597196422636946	-1.57492294969536	94	25	gtex	sexDE
constraint_genes	0.198643868372312	0	1321	NA	NA	NA	gtex	sexDE
adult_high_expressed_genes	0.000101276078590237	0.00121531294308284	0.493281642442707	2.16118840165353	0	1421	hdbr	pseudotimeDE
alzheimer	0.0127920859628177	0.038376257888453	0.671268208975004	1.65206513739012	74	10	hdbr	pseudotimeDE
epilepsy_ndd	0.0193866200540283	0.0387732401080566	0.563499385558195	1.56538985530919	121	20	hdbr	pseudotimeDE
scz	0.0170446735395189	0.0387732401080566	0.320960236100036	1.33017632016097	123	186	hdbr	pseudotimeDE
EPI	0.145943097997893	0.218914646996839	0.521261878914955	1.29704726045779	830	12	hdbr	pseudotimeDE
ASD	0.0452446906740536	0.0775623268698061	0.32316518220547	1.26852879512697	342	159	hdbr	pseudotimeDE
NDD	0.0081846083892236	0.0327384335568944	0.284852717271079	1.24387048147603	71	553	hdbr	pseudotimeDE
prenatal_high_expressed_genes	0.201479852014799	0.241775822417758	0.241620374242254	1.01238719369013	2014	1579	hdbr	pseudotimeDE
ALS	0.72068196303378	0.786198505127759	0.260854626213521	0.847727160071514	4522	35	hdbr	pseudotimeDE
MS	0.996381182147165	0.996381182147165	-0.14794356448822	-0.468165361310597	4129	18	hdbr	pseudotimeDE
BP	0.201224603395491	0.241775822417758	-0.284375499542405	-1.15119904146483	722	61	hdbr	pseudotimeDE
constraint_genes	0.00306748466257669	0.0184049079754601	-0.241856805160081	-1.20140411004199	0	1233	hdbr	pseudotimeDE
BP	0.0951986754966887	0.380794701986755	0.26447702424908	1.25519896161431	229	73	hdbr	sexDE
MS	0.328036322360954	0.787287173666288	0.320163184316079	1.09063885020993	1444	21	hdbr	sexDE
EPI	0.924238513164688	1	-0.240922319776972	-0.624668841523204	7160	14	hdbr	sexDE
ASD	0.987593796898449	1	-0.198661231477699	-0.674853025448906	9870	178	hdbr	sexDE
epilepsy_ndd	0.88840548183598	1	-0.249937944424172	-0.690561791714398	8167	25	hdbr	sexDE
constraint_genes	1	1	-0.197044959222403	-0.703403431086512	10000	1368	hdbr	sexDE
NDD	0.998500149985001	1	-0.209063390390148	-0.759745639156904	9985	647	hdbr	sexDE
prenatal_high_expressed_genes	1	1	-0.343683604860818	-1	10000	1697	hdbr	sexDE
scz	0.438470849304015	0.876941698608029	-0.260295673004582	-1.02265423312389	4346	207	hdbr	sexDE
alzheimer	0.242536759245507	0.727610277736522	-0.408862303397263	-1.18545748464005	1632	16	hdbr	sexDE
ALS	0.0581575497556906	0.348945298534144	-0.432591416132946	-1.41431664335258	487	35	hdbr	sexDE
adult_high_expressed_genes	9.99900009999e-05	0.0011998800119988	-0.455949306566955	-1.5581055140653	0	1651	hdbr	sexDE
